NRT|MAN,|MAN|IST|NRT|
NRT|MED,|MED|IST|NRT|
NRT|MHD,|MHD|IST|NRT|
NRT|MLA,|MLA|IST|NRT|
NRT|MRS,|MRS|IST|NRT|
NRT|MSQ,|MSQ|IST|NRT|
NRT|MXP,|MXP|IST|NRT|
NRT|MZH,|MZH|IST|NRT|
NRT|MZR,|MZR|IST|NRT|
NRT|NAJ,|NAJ|IST|NRT|
NRT|NAV,|NAV|IST|NRT|
NRT|NCE,|NCE|IST|NRT|
NRT|NIM,|NIM|IST|NRT|
NRT|NJF,|NJF|IST|NRT|
NRT|NSI,|NSI|IST|NRT|
NRT|NUE,|NUE|IST|NRT|
NRT|ODS,|ODS|IST|NRT|
NRT|ORN,|ORN|IST|NRT|
NRT|OTP,|OTP|IST|NRT|
NRT|PRG,|PRG|IST|NRT|
NRT|PRN,|PRN|IST|NRT|
NRT|RIX,|RIX|IST|NRT|
NRT|ROV,|ROV|IST|NRT|
NRT|RTM,|RTM|IST|NRT|
NRT|RUH,|RUH|IST|NRT|
NRT|SAH,|SAH|IST|NRT|
NRT|SJJ,|SJJ|IST|NRT|
NRT|SKG,|SKG|IST|NRT|
NRT|SKP,|SKP|IST|NRT|
NRT|SSH,|SSH|IST|NRT|
NRT|STR,|STR|IST|NRT|
NRT|SVX,|SVX|IST|NRT|
NRT|SYZ,|SYZ|IST|NRT|
NRT|SZG,|SZG|IST|NRT|
NRT|TBZ,|TBZ|IST|NRT|
NRT|TGD,|TGD|IST|NRT|
NRT|TIA,|TIA|IST|NRT|
NRT|TIF,|TIF|IST|NRT|
NRT|TIP,|TIP|IST|NRT|
NRT|TLL,|TLL|IST|NRT|
NRT|TLS,|TLS|IST|NRT|
NRT|TRN,|TRN|IST|NRT|
NRT|TUN,|TUN|IST|NRT|
NRT|TXL,|TXL|IST|NRT|
NRT|UFA,|UFA|IST|NRT|
NRT|VAS,|VAS|IST|NRT|
NRT|VCE,|VCE|IST|NRT|
NRT|YNB,|YNB|IST|NRT|
NRT|ZAG,|ZAG|IST|NRT|
NRT|MGQ,|MGQ|JIB|IST|NRT|
NRT|CPT,|CPT|JNB|IST|NRT|
NRT|MBA,|MBA|JRO|IST|NRT|
NRT|NDJ,|NDJ|KAN|IST|NRT|
NRT|CMB,|CMB|MLE|CAN|NRT|
NRT|ADE,|ADE|SAH|IST|NRT|
NRT|ASF,|ASF|SAW|TBS|URC|PEK|NRT|
NRT|STW,|STW|SAW|TBS|URC|PEK|NRT|
NRT|LFW,|LFW|ABJ|OUA|NIM|IST|NRT|
NRT|CEC,|CEC|SFO|NRT|
NRT|SMF,|SMF|SFO|NRT|
NRT|CDR,|CDR|AIA|DEN|NRT|
NRT|FMN,|FMN|DEN|NRT|
NRT|JST,|JST|IAD|NRT|
NRT|JHW,|JHW|CLE|ORD|NRT|
NRT|SHD,|SHD|IAD|NRT|
NRT|PTY,|PTY|IAH|NRT|
NRT|FNA,|FNA|BRU|IST|NRT|
NRT|SXB,|SXB|BRU|IST|NRT|
NRT|ACV,|ACV|SFO|NRT|
NRT|MGW,|MGW|IAD|NRT|
NRT|ALB,|ALB|EWR|NRT|
NRT|AUS,|AUS|DEN|NRT|
NRT|BFD,|BFD|CLE|ORD|NRT|
NRT|BUF,|BUF|ORD|NRT|
NRT|CHS,|CHS|ORD|NRT|
NRT|DAY,|DAY|ORD|NRT|
NRT|DUJ,|DUJ|CLE|ORD|NRT|
NRT|ERI,|ERI|CLE|ORD|NRT|
NRT|FKL,|FKL|CLE|ORD|NRT|
NRT|FNT,|FNT|CLE|ORD|NRT|
NRT|GRR,|GRR|ORD|NRT|
NRT|GSP,|GSP|ORD|NRT|
NRT|PBI,|PBI|ATL|ORD|NRT|
NRT|PKB,|PKB|CLE|ORD|NRT|
NRT|RIC,|RIC|IAD|NRT|
NRT|SDF,|SDF|ORD|NRT|
NRT|GUM,|GUM|NRT|
NRT|WRL,|WRL|CYS|DEN|NRT|
NRT|LBL,|NRT|
NRT|ABQ,|ABQ|SEA|NRT|
NRT|AIA,|AIA|DEN|NRT|
NRT|ALS,|ALS|DEN|NRT|
NRT|AMA,|AMA|DEN|NRT|
NRT|ANC,|ANC|SEA|NRT|
NRT|ASE,|ASE|DEN|NRT|
NRT|BFL,|BFL|SFO|NRT|
NRT|BHM,|BHM|ORD|NRT|
NRT|BIL,|BIL|DEN|NRT|
NRT|BIS,|BIS|DEN|NRT|
NRT|BOI,|BOI|SFO|NRT|
NRT|BUR,|BUR|SFO|NRT|
NRT|BZN,|BZN|DEN|NRT|
NRT|CID,|CID|ORD|NRT|
NRT|COD,|COD|DEN|NRT|
NRT|COS,|COS|DEN|NRT|
NRT|CPR,|CPR|DEN|NRT|
NRT|CYS,|CYS|DEN|NRT|
NRT|DIK,|DIK|DEN|NRT|
NRT|DRO,|DRO|DEN|NRT|
NRT|DSM,|DSM|DEN|NRT|
NRT|EGE,|EGE|DEN|NRT|
NRT|ELP,|ELP|LAS|SFO|NRT|
NRT|EUG,|EUG|PDX|SEA|NRT|
NRT|FAR,|FAR|DEN|NRT|
NRT|FAT,|FAT|SFO|NRT|
NRT|FCA,|FCA|DEN|NRT|
NRT|FSD,|FSD|DEN|NRT|
NRT|GCC,|GCC|DEN|NRT|
NRT|GEG,|GEG|BOI|SFO|NRT|
NRT|GJT,|GJT|DEN|NRT|
NRT|GTF,|GTF|DEN|NRT|
NRT|GUC,|GUC|DEN|NRT|
NRT|HDN,|HDN|DEN|NRT|
NRT|HLN,|HLN|DEN|NRT|
NRT|HSV,|HSV|ORD|NRT|
NRT|ICT,|ICT|DEN|NRT|
NRT|IDA,|IDA|DEN|NRT|
NRT|ISN,|ISN|DEN|NRT|
NRT|JAC,|JAC|DEN|NRT|
NRT|KOA,|KOA|YVR|NRT|
NRT|LAR,|LAR|DEN|NRT|
NRT|LBB,|LBB|DEN|NRT|
NRT|LIH,|LIH|HNL|NRT|
NRT|LIT,|LIT|DEN|NRT|
NRT|LNK,|LNK|DEN|NRT|
NRT|MAF,|MAF|LAS|SFO|NRT|
NRT|MEM,|MEM|DEN|NRT|
NRT|MFR,|MFR|SFO|NRT|
NRT|MLI,|MLI|ORD|NRT|
NRT|MOT,|MOT|DEN|NRT|
NRT|MRY,|MRY|SFO|NRT|
NRT|MSN,|MSN|ORD|NRT|
NRT|MSO,|MSO|DEN|NRT|
NRT|MTJ,|MTJ|DEN|NRT|
NRT|OKC,|OKC|DEN|NRT|
