FNA|BGW,|BGW|IST|BRU|ROB|FNA|
FNA|EBL,|EBL|IST|BRU|ROB|FNA|
FNA|VKO,|VKO|IST|BRU|ROB|FNA|
FNA|MCT,|MCT|IST|BRU|ROB|FNA|
FNA|AYT,|AYT|IST|BRU|ROB|FNA|
FNA|SCQ,|SCQ|BIO|IST|BRU|ROB|FNA|
FNA|AAL,|AAL|IST|BRU|ROB|FNA|
FNA|AOE,|AOE|BRU|ROB|FNA|
FNA|JNB,|JNB|IST|BRU|ROB|FNA|
FNA|LBV,|LBV|DLA|BRU|ROB|FNA|
FNA|ADA,|ADA|SAW|BRU|ROB|FNA|
FNA|ADB,|ADB|IST|BRU|ROB|FNA|
FNA|ADF,|ADF|ESB|SAW|BRU|ROB|FNA|
FNA|AJI,|AJI|IST|BRU|ROB|FNA|
FNA|BAL,|BAL|ESB|SAW|BRU|ROB|FNA|
FNA|BJV,|BJV|IST|BRU|ROB|FNA|
FNA|CKZ,|CKZ|ESB|SAW|BRU|ROB|FNA|
FNA|DIY,|DIY|SAW|BRU|ROB|FNA|
FNA|ECN,|ECN|IST|BRU|ROB|FNA|
FNA|ERC,|ERC|IST|BRU|ROB|FNA|
FNA|ERZ,|ERZ|SAW|BRU|ROB|FNA|
FNA|EZS,|EZS|SAW|BRU|ROB|FNA|
FNA|GNY,|GNY|IST|BRU|ROB|FNA|
FNA|GZP,|GZP|ESB|SAW|BRU|ROB|FNA|
FNA|GZT,|GZT|SAW|BRU|ROB|FNA|
FNA|HTY,|HTY|SAW|BRU|ROB|FNA|
FNA|KCM,|KCM|IST|BRU|ROB|FNA|
FNA|KSY,|KSY|SAW|BRU|ROB|FNA|
FNA|MLX,|MLX|ESB|SAW|BRU|ROB|FNA|
FNA|MQM,|MQM|SAW|BRU|ROB|FNA|
FNA|MSR,|MSR|ESB|SAW|BRU|ROB|FNA|
FNA|TEQ,|TEQ|ESB|SAW|BRU|ROB|FNA|
FNA|TZX,|TZX|SAW|BRU|ROB|FNA|
FNA|VAN,|VAN|SAW|BRU|ROB|FNA|
FNA|ULN,|ULN|FRU|IST|BRU|ROB|FNA|
FNA|HIJ,|HIJ|ICN|IST|BRU|ROB|FNA|
FNA|VVO,|VVO|ICN|IST|BRU|ROB|FNA|
FNA|ACC,|ACC|IST|BRU|ROB|FNA|
FNA|AER,|AER|IST|BRU|ROB|FNA|
FNA|AGP,|AGP|IST|BRU|ROB|FNA|
FNA|ALG,|ALG|IST|BRU|ROB|FNA|
FNA|AMM,|AMM|IST|BRU|ROB|FNA|
FNA|AQJ,|AQJ|IST|BRU|ROB|FNA|
FNA|ARN,|ARN|GOT|BRU|ROB|FNA|
FNA|ASR,|ASR|SAW|BRU|ROB|FNA|
FNA|ATH,|ATH|IST|BRU|ROB|FNA|
FNA|BAH,|BAH|IST|BRU|ROB|FNA|
FNA|BEG,|BEG|IST|BRU|ROB|FNA|
FNA|BEN,|BEN|IST|BRU|ROB|FNA|
FNA|BEY,|BEY|IST|BRU|ROB|FNA|
FNA|BHX,|BHX|BRU|ROB|FNA|
FNA|BIO,|BIO|IST|BRU|ROB|FNA|
FNA|BLQ,|BLQ|IST|BRU|ROB|FNA|
FNA|BOM,|BOM|IST|BRU|ROB|FNA|
FNA|BRE,|BRE|IST|BRU|ROB|FNA|
FNA|BSL,|BSL|IST|BRU|ROB|FNA|
FNA|BSR,|BSR|IST|BRU|ROB|FNA|
FNA|BUD,|BUD|IST|BRU|ROB|FNA|
FNA|BUS,|BUS|IST|BRU|ROB|FNA|
FNA|CAI,|CAI|IST|BRU|ROB|FNA|
FNA|CGN,|CGN|IST|BRU|ROB|FNA|
FNA|CMN,|CMN|IST|BRU|ROB|FNA|
FNA|CND,|CND|IST|BRU|ROB|FNA|
FNA|DAR,|DAR|IST|BRU|ROB|FNA|
FNA|DLM,|DLM|IST|BRU|ROB|FNA|
FNA|DMM,|DMM|IST|BRU|ROB|FNA|
FNA|DNK,|DNK|IST|BRU|ROB|FNA|
FNA|DNZ,|DNZ|IST|BRU|ROB|FNA|
FNA|DOK,|DOK|IST|BRU|ROB|FNA|
FNA|DUS,|DUS|IST|BRU|ROB|FNA|
FNA|EDI,|EDI|IST|BRU|ROB|FNA|
FNA|ELQ,|ELQ|IST|BRU|ROB|FNA|
FNA|FDH,|FDH|IST|BRU|ROB|FNA|
FNA|GOA,|GOA|IST|BRU|ROB|FNA|
FNA|GOT,|GOT|BRU|ROB|FNA|
FNA|HAJ,|HAJ|BRU|ROB|FNA|
FNA|HBE,|HBE|IST|BRU|ROB|FNA|
FNA|HEL,|HEL|IST|BRU|ROB|FNA|
FNA|HRG,|HRG|IST|BRU|ROB|FNA|
