MLI|ACC,|ACC|IST|ORD|MLI|
MLI|AER,|AER|IST|ORD|MLI|
MLI|AGP,|AGP|IST|ORD|MLI|
MLI|ALG,|ALG|IST|ORD|MLI|
MLI|AMM,|AMM|IST|ORD|MLI|
MLI|AQJ,|AQJ|IST|ORD|MLI|
MLI|ARN,|ARN|EWR|ORD|MLI|
MLI|ASR,|ASR|SAW|VIE|ORD|MLI|
MLI|ATH,|ATH|IST|ORD|MLI|
MLI|BAH,|BAH|IST|ORD|MLI|
MLI|BEG,|BEG|IST|ORD|MLI|
MLI|BEN,|BEN|IST|ORD|MLI|
MLI|BEY,|BEY|IST|ORD|MLI|
MLI|BHX,|BHX|EWR|ORD|MLI|
MLI|BIO,|BIO|IST|ORD|MLI|
MLI|BLQ,|BLQ|IST|ORD|MLI|
MLI|BOM,|BOM|IST|ORD|MLI|
MLI|BRE,|BRE|IST|ORD|MLI|
MLI|BSL,|BSL|IST|ORD|MLI|
MLI|BSR,|BSR|IST|ORD|MLI|
MLI|BUD,|BUD|IST|ORD|MLI|
MLI|BUS,|BUS|IST|ORD|MLI|
MLI|CAI,|CAI|IST|ORD|MLI|
MLI|CGN,|CGN|IST|ORD|MLI|
MLI|CMN,|CMN|IST|ORD|MLI|
MLI|CND,|CND|IST|ORD|MLI|
MLI|DAR,|DAR|NBO|ZRH|ORD|MLI|
MLI|DLM,|DLM|IST|ORD|MLI|
MLI|DMM,|DMM|IST|ORD|MLI|
MLI|DNK,|DNK|IST|ORD|MLI|
MLI|DNZ,|DNZ|IST|ORD|MLI|
MLI|DOK,|DOK|IST|ORD|MLI|
MLI|DUS,|DUS|ORD|MLI|
MLI|EDI,|EDI|EWR|ORD|MLI|
MLI|ELQ,|ELQ|IST|ORD|MLI|
MLI|FDH,|FDH|IST|ORD|MLI|
MLI|GOA,|GOA|IST|ORD|MLI|
MLI|GOT,|GOT|BRU|ORD|MLI|
MLI|HAJ,|HAJ|BRU|ORD|MLI|
MLI|HBE,|HBE|IST|ORD|MLI|
MLI|HEL,|HEL|IST|ORD|MLI|
MLI|HRG,|HRG|IST|ORD|MLI|
MLI|IFN,|IFN|IST|ORD|MLI|
MLI|ISE,|ISE|IST|ORD|MLI|
MLI|ISU,|ISU|IST|ORD|MLI|
MLI|JIB,|JIB|IST|ORD|MLI|
MLI|JRO,|JRO|IST|ORD|MLI|
MLI|KAN,|KAN|IST|ORD|MLI|
MLI|KBL,|KBL|IST|ORD|MLI|
