GND|TBS,|TBS|SAW|VIE|YYZ|GND|
GND|TCG,|TCG|URC|TSE|FRA|YYZ|GND|
GND|TSE,|TSE|FRA|YYZ|GND|
GND|YIN,|YIN|URC|TSE|FRA|YYZ|GND|
GND|ENH,|ENH|WUH|PEK|YYZ|GND|
GND|ENY,|ENY|XIY|PEK|YYZ|GND|
GND|WXN,|WXN|XIY|PEK|YYZ|GND|
GND|BLL,|BLL|IST|YYZ|GND|
GND|ESB,|ESB|VIE|YYZ|GND|
GND|SAW,|SAW|VIE|YYZ|GND|
GND|HAM,|HAM|EWR|YYZ|GND|
GND|HRE,|HRE|ADD|JED|FRA|YYZ|GND|
GND|JUB,|JUB|CAI|IST|YYZ|GND|
GND|SSG,|SSG|DLA|BRU|YUL|YYZ|GND|
GND|BGW,|BGW|ESB|VIE|YYZ|GND|
GND|EBL,|EBL|IST|YYZ|GND|
GND|VKO,|VKO|IST|YYZ|GND|
GND|MCT,|MCT|AUH|YYZ|GND|
GND|AYT,|AYT|IST|YYZ|GND|
GND|SCQ,|SCQ|BIO|IST|YYZ|GND|
GND|AAL,|AAL|IST|YYZ|GND|
GND|AOE,|AOE|BRU|YUL|YYZ|GND|
GND|JNB,|JNB|JFK|YYZ|GND|
GND|LBV,|LBV|DLA|BRU|YUL|YYZ|GND|
GND|ADA,|ADA|SAW|VIE|YYZ|GND|
GND|ADB,|ADB|IST|YYZ|GND|
GND|ADF,|ADF|ESB|VIE|YYZ|GND|
GND|AJI,|AJI|ESB|VIE|YYZ|GND|
GND|BAL,|BAL|ESB|VIE|YYZ|GND|
GND|BJV,|BJV|IST|YYZ|GND|
GND|CKZ,|CKZ|ESB|VIE|YYZ|GND|
GND|DIY,|DIY|ESB|VIE|YYZ|GND|
GND|ECN,|ECN|IST|YYZ|GND|
GND|ERC,|ERC|ESB|VIE|YYZ|GND|
GND|ERZ,|ERZ|ESB|VIE|YYZ|GND|
GND|EZS,|EZS|ESB|VIE|YYZ|GND|
GND|GNY,|GNY|ESB|VIE|YYZ|GND|
GND|GZP,|GZP|ESB|VIE|YYZ|GND|
GND|GZT,|GZT|ESB|VIE|YYZ|GND|
GND|HTY,|HTY|SAW|VIE|YYZ|GND|
GND|KCM,|KCM|ESB|VIE|YYZ|GND|
GND|KSY,|KSY|ESB|VIE|YYZ|GND|
GND|MLX,|MLX|ESB|VIE|YYZ|GND|
GND|MQM,|MQM|ESB|VIE|YYZ|GND|
GND|MSR,|MSR|ESB|VIE|YYZ|GND|
GND|TEQ,|TEQ|ESB|VIE|YYZ|GND|
GND|TZX,|TZX|ESB|VIE|YYZ|GND|
GND|VAN,|VAN|ESB|VIE|YYZ|GND|
GND|ULN,|ULN|FRU|IST|YYZ|GND|
GND|HIJ,|HIJ|ICN|PEK|YYZ|GND|
GND|VVO,|VVO|ICN|PEK|YYZ|GND|
GND|ACC,|ACC|IST|YYZ|GND|
GND|AER,|AER|IST|YYZ|GND|
GND|AGP,|AGP|IST|YYZ|GND|
GND|ALG,|ALG|IST|YYZ|GND|
GND|AMM,|AMM|IST|YYZ|GND|
GND|AQJ,|AQJ|IST|YYZ|GND|
GND|ARN,|ARN|EWR|YYZ|GND|
GND|ASR,|ASR|SAW|VIE|YYZ|GND|
GND|ATH,|ATH|IST|YYZ|GND|
GND|BAH,|BAH|IST|YYZ|GND|
GND|BEG,|BEG|IST|YYZ|GND|
GND|BEN,|BEN|IST|YYZ|GND|
GND|BEY,|BEY|IST|YYZ|GND|
GND|BHX,|BHX|EWR|YYZ|GND|
GND|BIO,|BIO|IST|YYZ|GND|
GND|BLQ,|BLQ|IST|YYZ|GND|
GND|BOM,|BOM|IST|YYZ|GND|
GND|BRE,|BRE|IST|YYZ|GND|
GND|BSL,|BSL|IST|YYZ|GND|
GND|BSR,|BSR|IST|YYZ|GND|
GND|BUD,|BUD|IST|YYZ|GND|
GND|BUS,|BUS|IST|YYZ|GND|
GND|CAI,|CAI|IST|YYZ|GND|
GND|CGN,|CGN|IST|YYZ|GND|
GND|CMN,|CMN|IST|YYZ|GND|
GND|CND,|CND|IST|YYZ|GND|
GND|DAR,|DAR|NBO|ZRH|YYZ|GND|
GND|DLM,|DLM|IST|YYZ|GND|
GND|DMM,|DMM|IST|YYZ|GND|
GND|DNK,|DNK|IST|YYZ|GND|
GND|DNZ,|DNZ|IST|YYZ|GND|
GND|DOK,|DOK|IST|YYZ|GND|
GND|DUS,|DUS|EWR|YYZ|GND|
GND|EDI,|EDI|EWR|YYZ|GND|
GND|ELQ,|ELQ|IST|YYZ|GND|
GND|FDH,|FDH|IST|YYZ|GND|
GND|GOA,|GOA|IST|YYZ|GND|
GND|GOT,|GOT|BRU|YUL|YYZ|GND|
GND|HAJ,|HAJ|BRU|YUL|YYZ|GND|
GND|HBE,|HBE|IST|YYZ|GND|
GND|HEL,|HEL|IST|YYZ|GND|
GND|HRG,|HRG|IST|YYZ|GND|
GND|IFN,|IFN|IST|YYZ|GND|
GND|ISE,|ISE|IST|YYZ|GND|
GND|ISU,|ISU|IST|YYZ|GND|
GND|JIB,|JIB|IST|YYZ|GND|
GND|JRO,|JRO|IST|YYZ|GND|
GND|KAN,|KAN|IST|YYZ|GND|
GND|KBL,|KBL|IST|YYZ|GND|
GND|KBP,|KBP|IST|YYZ|GND|
GND|KFS,|KFS|IST|YYZ|GND|
GND|KHI,|KHI|IST|YYZ|GND|
GND|KIV,|KIV|IST|YYZ|GND|
GND|KRT,|KRT|IST|YYZ|GND|
GND|KSH,|KSH|IST|YYZ|GND|
GND|KVD,|KVD|IST|YYZ|GND|
GND|KWI,|KWI|SAW|VIE|YYZ|GND|
GND|KYA,|KYA|IST|YYZ|GND|
GND|KZN,|KZN|IST|YYZ|GND|
GND|KZR,|KZR|IST|YYZ|GND|
GND|LED,|LED|VIE|YYZ|GND|
GND|LEJ,|LEJ|IST|YYZ|GND|
GND|LGW,|LGW|IST|YYZ|GND|
GND|LHE,|LHE|IST|YYZ|GND|
GND|LIS,|LIS|EWR|YYZ|GND|
GND|LJU,|LJU|IST|YYZ|GND|
GND|LOS,|LOS|FRA|YYZ|GND|
GND|LUX,|LUX|IST|YYZ|GND|
GND|LWO,|LWO|IST|YYZ|GND|
GND|LYS,|LYS|IST|YYZ|GND|
GND|MAD,|MAD|EWR|YYZ|GND|
GND|MAN,|MAN|EWR|YYZ|GND|
GND|MED,|MED|IST|YYZ|GND|
GND|MHD,|MHD|IST|YYZ|GND|
GND|MLA,|MLA|IST|YYZ|GND|
GND|MRS,|MRS|IST|YYZ|GND|
GND|MSQ,|MSQ|IST|YYZ|GND|
GND|MXP,|MXP|EWR|YYZ|GND|
GND|MZH,|MZH|IST|YYZ|GND|
GND|MZR,|MZR|IST|YYZ|GND|
GND|NAJ,|NAJ|IST|YYZ|GND|
GND|NAV,|NAV|IST|YYZ|GND|
GND|NCE,|NCE|IST|YYZ|GND|
GND|NIM,|NIM|IST|YYZ|GND|
GND|NJF,|NJF|IST|YYZ|GND|
GND|NSI,|NSI|BRU|YUL|YYZ|GND|
GND|NUE,|NUE|IST|YYZ|GND|
GND|ODS,|ODS|IST|YYZ|GND|
GND|ORN,|ORN|IST|YYZ|GND|
GND|OTP,|OTP|IST|YYZ|GND|
GND|PRG,|PRG|BRU|YUL|YYZ|GND|
GND|PRN,|PRN|IST|YYZ|GND|
GND|RIX,|RIX|IST|YYZ|GND|
GND|ROV,|ROV|IST|YYZ|GND|
GND|RTM,|RTM|IST|YYZ|GND|
GND|RUH,|RUH|IST|YYZ|GND|
GND|SAH,|SAH|IST|YYZ|GND|
GND|SJJ,|SJJ|IST|YYZ|GND|
GND|SKG,|SKG|IST|YYZ|GND|
GND|SKP,|SKP|IST|YYZ|GND|
GND|SSH,|SSH|IST|YYZ|GND|
GND|STR,|STR|EWR|YYZ|GND|
GND|SVX,|SVX|IST|YYZ|GND|
GND|SYZ,|SYZ|IST|YYZ|GND|
GND|SZG,|SZG|IST|YYZ|GND|
GND|TBZ,|TBZ|IST|YYZ|GND|
GND|TGD,|TGD|IST|YYZ|GND|
GND|TIA,|TIA|IST|YYZ|GND|
GND|TIF,|TIF|IST|YYZ|GND|
GND|TIP,|TIP|IST|YYZ|GND|
GND|TLL,|TLL|VNO|CPH|YYZ|GND|
GND|TLS,|TLS|IST|YYZ|GND|
GND|TRN,|TRN|IST|YYZ|GND|
GND|TUN,|TUN|IST|YYZ|GND|
GND|TXL,|TXL|EWR|YYZ|GND|
GND|UFA,|UFA|IST|YYZ|GND|
GND|VAS,|VAS|SAW|VIE|YYZ|GND|
GND|VCE,|VCE|IST|YYZ|GND|
GND|YNB,|YNB|IST|YYZ|GND|
GND|ZAG,|ZAG|IST|YYZ|GND|
GND|MGQ,|MGQ|JIB|IST|YYZ|GND|
GND|CPT,|CPT|JNB|JFK|YYZ|GND|
GND|MBA,|MBA|JRO|IST|YYZ|GND|
GND|NDJ,|NDJ|KAN|IST|YYZ|GND|
GND|CMB,|CMB|MLE|IST|YYZ|GND|
GND|ADE,|ADE|SAH|IST|YYZ|GND|
GND|ASF,|ASF|SAW|VIE|YYZ|GND|
GND|STW,|STW|SAW|VIE|YYZ|GND|
GND|LFW,|LFW|ABJ|BRU|YUL|YYZ|GND|
GND|CEC,|CEC|ACV|SMF|ORD|YYZ|GND|
GND|SMF,|SMF|ORD|YYZ|GND|
GND|CDR,|CDR|AIA|DEN|YYZ|GND|
GND|FMN,|FMN|DEN|YYZ|GND|
GND|JST,|JST|IAD|YYZ|GND|
GND|JHW,|JHW|CLE|YYZ|GND|
GND|SHD,|SHD|IAD|YYZ|GND|
GND|PTY,|PTY|MIA|YYZ|GND|
GND|FNA,|FNA|BRU|YUL|YYZ|GND|
GND|SXB,|SXB|BRU|YUL|YYZ|GND|
GND|ACV,|ACV|SMF|ORD|YYZ|GND|
GND|MGW,|MGW|IAD|YYZ|GND|
GND|ALB,|ALB|EWR|YYZ|GND|
GND|AUS,|AUS|CLE|YYZ|GND|
GND|BFD,|BFD|CLE|YYZ|GND|
GND|BUF,|BUF|CLE|YYZ|GND|
GND|CHS,|CHS|IAD|YYZ|GND|
GND|DAY,|DAY|CLE|YYZ|GND|
GND|DUJ,|DUJ|CLE|YYZ|GND|
GND|ERI,|ERI|CLE|YYZ|GND|
GND|FKL,|FKL|CLE|YYZ|GND|
GND|FNT,|FNT|CLE|YYZ|GND|
