SHD|EZS,|EZS|ESB|VIE|IAD|SHD|
SHD|GNY,|GNY|ESB|VIE|IAD|SHD|
SHD|GZP,|GZP|ESB|VIE|IAD|SHD|
SHD|GZT,|GZT|ESB|VIE|IAD|SHD|
SHD|HTY,|HTY|SAW|FRA|IAD|SHD|
SHD|KCM,|KCM|ESB|VIE|IAD|SHD|
SHD|KSY,|KSY|ESB|VIE|IAD|SHD|
SHD|MLX,|MLX|ESB|VIE|IAD|SHD|
SHD|MQM,|MQM|ESB|VIE|IAD|SHD|
SHD|MSR,|MSR|ESB|VIE|IAD|SHD|
SHD|TEQ,|TEQ|ESB|VIE|IAD|SHD|
SHD|TZX,|TZX|ESB|VIE|IAD|SHD|
SHD|VAN,|VAN|ESB|VIE|IAD|SHD|
SHD|ULN,|ULN|FRU|IST|IAD|SHD|
SHD|HIJ,|HIJ|ICN|JFK|IAD|SHD|
SHD|VVO,|VVO|ICN|JFK|IAD|SHD|
SHD|ACC,|ACC|IST|IAD|SHD|
SHD|AER,|AER|IST|IAD|SHD|
SHD|AGP,|AGP|IST|IAD|SHD|
SHD|ALG,|ALG|IST|IAD|SHD|
SHD|AMM,|AMM|IST|IAD|SHD|
SHD|AQJ,|AQJ|IST|IAD|SHD|
SHD|ARN,|ARN|EWR|IAD|SHD|
SHD|ASR,|ASR|SAW|FRA|IAD|SHD|
SHD|ATH,|ATH|IST|IAD|SHD|
SHD|BAH,|BAH|KWI|IAD|SHD|
SHD|BEG,|BEG|IST|IAD|SHD|
SHD|BEN,|BEN|IST|IAD|SHD|
SHD|BEY,|BEY|IST|IAD|SHD|
SHD|BHX,|BHX|EWR|IAD|SHD|
SHD|BIO,|BIO|IST|IAD|SHD|
SHD|BLQ,|BLQ|IST|IAD|SHD|
SHD|BOM,|BOM|EWR|IAD|SHD|
SHD|BRE,|BRE|IST|IAD|SHD|
SHD|BSL,|BSL|IST|IAD|SHD|
SHD|BSR,|BSR|IST|IAD|SHD|
SHD|BUD,|BUD|IST|IAD|SHD|
SHD|BUS,|BUS|IST|IAD|SHD|
SHD|CAI,|CAI|JFK|IAD|SHD|
SHD|CGN,|CGN|IST|IAD|SHD|
SHD|CMN,|CMN|IST|IAD|SHD|
SHD|CND,|CND|IST|IAD|SHD|
SHD|DAR,|DAR|NBO|ZRH|IAD|SHD|
SHD|DLM,|DLM|IST|IAD|SHD|
SHD|DMM,|DMM|IST|IAD|SHD|
SHD|DNK,|DNK|IST|IAD|SHD|
SHD|DNZ,|DNZ|IST|IAD|SHD|
SHD|DOK,|DOK|IST|IAD|SHD|
SHD|DUS,|DUS|EWR|IAD|SHD|
SHD|EDI,|EDI|EWR|IAD|SHD|
SHD|ELQ,|ELQ|IST|IAD|SHD|
SHD|FDH,|FDH|IST|IAD|SHD|
SHD|GOA,|GOA|IST|IAD|SHD|
SHD|GOT,|GOT|BRU|IAD|SHD|
SHD|HAJ,|HAJ|BRU|IAD|SHD|
SHD|HBE,|HBE|IST|IAD|SHD|
SHD|HEL,|HEL|IST|IAD|SHD|
SHD|HRG,|HRG|IST|IAD|SHD|
SHD|IFN,|IFN|IST|IAD|SHD|
SHD|ISE,|ISE|IST|IAD|SHD|
SHD|ISU,|ISU|IST|IAD|SHD|
SHD|JIB,|JIB|IST|IAD|SHD|
SHD|JRO,|JRO|IST|IAD|SHD|
SHD|KAN,|KAN|IST|IAD|SHD|
SHD|KBL,|KBL|IST|IAD|SHD|
SHD|KBP,|KBP|IST|IAD|SHD|
SHD|KFS,|KFS|IST|IAD|SHD|
SHD|KHI,|KHI|IST|IAD|SHD|
SHD|KIV,|KIV|IST|IAD|SHD|
SHD|KRT,|KRT|IST|IAD|SHD|
SHD|KSH,|KSH|IST|IAD|SHD|
SHD|KVD,|KVD|IST|IAD|SHD|
SHD|KWI,|KWI|IAD|SHD|
SHD|KYA,|KYA|IST|IAD|SHD|
SHD|KZN,|KZN|IST|IAD|SHD|
SHD|KZR,|KZR|IST|IAD|SHD|
SHD|LED,|LED|VIE|IAD|SHD|
SHD|LEJ,|LEJ|IST|IAD|SHD|
SHD|LGW,|LGW|IST|IAD|SHD|
SHD|LHE,|LHE|IST|IAD|SHD|
SHD|LIS,|LIS|EWR|IAD|SHD|
SHD|LJU,|LJU|IST|IAD|SHD|
SHD|LOS,|LOS|FRA|IAD|SHD|
SHD|LUX,|LUX|IST|IAD|SHD|
SHD|LWO,|LWO|IST|IAD|SHD|
SHD|LYS,|LYS|IST|IAD|SHD|
SHD|MAD,|MAD|EWR|IAD|SHD|
SHD|MAN,|MAN|IAD|SHD|
SHD|MED,|MED|IST|IAD|SHD|
SHD|MHD,|MHD|IST|IAD|SHD|
SHD|MLA,|MLA|IST|IAD|SHD|
SHD|MRS,|MRS|IST|IAD|SHD|
SHD|MSQ,|MSQ|IST|IAD|SHD|
SHD|MXP,|MXP|EWR|IAD|SHD|
SHD|MZH,|MZH|IST|IAD|SHD|
SHD|MZR,|MZR|IST|IAD|SHD|
SHD|NAJ,|NAJ|IST|IAD|SHD|
SHD|NAV,|NAV|IST|IAD|SHD|
SHD|NCE,|NCE|IST|IAD|SHD|
SHD|NIM,|NIM|IST|IAD|SHD|
SHD|NJF,|NJF|IST|IAD|SHD|
SHD|NSI,|NSI|BRU|IAD|SHD|
SHD|NUE,|NUE|IST|IAD|SHD|
SHD|ODS,|ODS|IST|IAD|SHD|
SHD|ORN,|ORN|IST|IAD|SHD|
SHD|OTP,|OTP|IST|IAD|SHD|
SHD|PRG,|PRG|BRU|IAD|SHD|
SHD|PRN,|PRN|IST|IAD|SHD|
SHD|RIX,|RIX|IST|IAD|SHD|
SHD|ROV,|ROV|IST|IAD|SHD|
SHD|RTM,|RTM|IST|IAD|SHD|
SHD|RUH,|RUH|IST|IAD|SHD|
SHD|SAH,|SAH|IST|IAD|SHD|
SHD|SJJ,|SJJ|IST|IAD|SHD|
SHD|SKG,|SKG|IST|IAD|SHD|
SHD|SKP,|SKP|IST|IAD|SHD|
SHD|SSH,|SSH|IST|IAD|SHD|
SHD|STR,|STR|EWR|IAD|SHD|
SHD|SVX,|SVX|IST|IAD|SHD|
SHD|SYZ,|SYZ|IST|IAD|SHD|
SHD|SZG,|SZG|IST|IAD|SHD|
SHD|TBZ,|TBZ|IST|IAD|SHD|
SHD|TGD,|TGD|IST|IAD|SHD|
SHD|TIA,|TIA|IST|IAD|SHD|
SHD|TIF,|TIF|IST|IAD|SHD|
SHD|TIP,|TIP|IST|IAD|SHD|
SHD|TLL,|TLL|VNO|CPH|YYZ|IAD|SHD|
SHD|TLS,|TLS|IST|IAD|SHD|
SHD|TRN,|TRN|IST|IAD|SHD|
SHD|TUN,|TUN|IST|IAD|SHD|
SHD|TXL,|TXL|EWR|IAD|SHD|
SHD|UFA,|UFA|IST|IAD|SHD|
SHD|VAS,|VAS|SAW|FRA|IAD|SHD|
SHD|VCE,|VCE|IST|IAD|SHD|
SHD|YNB,|YNB|IST|IAD|SHD|
