SAP|ORN,|ORN|IST|ZRH|MIA|SAP|
SAP|OTP,|OTP|IST|ZRH|MIA|SAP|
SAP|PRG,|PRG|BRU|EWR|SAP|
SAP|PRN,|PRN|IST|ZRH|MIA|SAP|
SAP|RIX,|RIX|IST|ZRH|MIA|SAP|
SAP|ROV,|ROV|IST|ZRH|MIA|SAP|
SAP|RTM,|RTM|IST|ZRH|MIA|SAP|
SAP|RUH,|RUH|IST|ZRH|MIA|SAP|
SAP|SAH,|SAH|IST|ZRH|MIA|SAP|
SAP|SJJ,|SJJ|IST|ZRH|MIA|SAP|
SAP|SKG,|SKG|IST|ZRH|MIA|SAP|
SAP|SKP,|SKP|IST|ZRH|MIA|SAP|
SAP|SSH,|SSH|IST|ZRH|MIA|SAP|
