RIC|PRG,|PRG|BRU|EWR|RIC|
RIC|PRN,|PRN|IST|BHX|EWR|RIC|
RIC|RIX,|RIX|IST|BHX|EWR|RIC|
RIC|ROV,|ROV|IST|BHX|EWR|RIC|
RIC|RTM,|RTM|IST|BHX|EWR|RIC|
RIC|RUH,|RUH|IST|BHX|EWR|RIC|
RIC|SAH,|SAH|IST|BHX|EWR|RIC|
RIC|SJJ,|SJJ|IST|BHX|EWR|RIC|
RIC|SKG,|SKG|IST|BHX|EWR|RIC|
RIC|SKP,|SKP|IST|BHX|EWR|RIC|
RIC|SSH,|SSH|IST|BHX|EWR|RIC|
RIC|STR,|STR|EWR|RIC|
RIC|SVX,|SVX|IST|BHX|EWR|RIC|
RIC|SYZ,|SYZ|IST|BHX|EWR|RIC|
RIC|SZG,|SZG|IST|BHX|EWR|RIC|
RIC|TBZ,|TBZ|IST|BHX|EWR|RIC|
RIC|TGD,|TGD|IST|BHX|EWR|RIC|
RIC|TIA,|TIA|IST|BHX|EWR|RIC|
RIC|TIF,|TIF|IST|BHX|EWR|RIC|
RIC|TIP,|TIP|IST|BHX|EWR|RIC|
RIC|TLL,|TLL|VNO|CPH|AMS|EWR|RIC|
RIC|TLS,|TLS|IST|BHX|EWR|RIC|
RIC|TRN,|TRN|IST|BHX|EWR|RIC|
RIC|TUN,|TUN|IST|BHX|EWR|RIC|
