ENH|NDG,|NDG|PVG|WUH|ENH|
ENH|JXA,|JXA|SHE|WUH|ENH|
ENH|PUS,|PUS|SHE|WUH|ENH|
ENH|BKI,|BKI|SZX|WUH|ENH|
ENH|AKU,|AKU|URC|WUH|ENH|
ENH|ALA,|ALA|URC|WUH|ENH|
ENH|ASB,|ASB|URC|WUH|ENH|
ENH|DNH,|DNH|XIY|WUH|ENH|
ENH|DYU,|DYU|URC|WUH|ENH|
ENH|FRU,|FRU|URC|WUH|ENH|
ENH|GYD,|GYD|URC|WUH|ENH|
ENH|HTN,|HTN|URC|WUH|ENH|
ENH|IKA,|IKA|URC|WUH|ENH|
ENH|KCA,|KCA|URC|WUH|ENH|
ENH|KHG,|KHG|URC|WUH|ENH|
ENH|KRL,|KRL|URC|WUH|ENH|
ENH|KRY,|KRY|URC|WUH|ENH|
ENH|LBD,|LBD|URC|WUH|ENH|
ENH|NLT,|NLT|URC|WUH|ENH|
ENH|OSS,|OSS|URC|WUH|ENH|
ENH|OVB,|OVB|URC|WUH|ENH|
ENH|TBS,|TBS|URC|WUH|ENH|
ENH|TCG,|TCG|URC|WUH|ENH|
ENH|TSE,|TSE|URC|WUH|ENH|
ENH|YIN,|YIN|URC|WUH|ENH|
ENH|ENY,|ENY|XIY|WUH|ENH|
ENH|WXN,|WXN|XIY|WUH|ENH|
ENH|BLL,|BLL|IST|URC|WUH|ENH|
ENH|ESB,|ESB|SAW|TBS|URC|WUH|ENH|
ENH|SAW,|SAW|TBS|URC|WUH|ENH|
ENH|HAM,|HAM|IST|URC|WUH|ENH|
ENH|HRE,|HRE|ADD|IST|URC|WUH|ENH|
ENH|JUB,|JUB|CAI|IST|URC|WUH|ENH|
ENH|SSG,|SSG|DLA|IST|URC|WUH|ENH|
ENH|BGW,|BGW|ESB|SAW|TBS|URC|WUH|ENH|
ENH|EBL,|EBL|IST|URC|WUH|ENH|
ENH|VKO,|VKO|IST|URC|WUH|ENH|
ENH|MCT,|MCT|IST|URC|WUH|ENH|
ENH|AYT,|AYT|IST|URC|WUH|ENH|
ENH|SCQ,|SCQ|BIO|IST|URC|WUH|ENH|
ENH|AAL,|AAL|IST|URC|WUH|ENH|
ENH|AOE,|AOE|BRU|IST|URC|WUH|ENH|
ENH|JNB,|JNB|IST|URC|WUH|ENH|
ENH|LBV,|LBV|DLA|IST|URC|WUH|ENH|
ENH|ADA,|ADA|SAW|TBS|URC|WUH|ENH|
ENH|ADB,|ADB|IST|URC|WUH|ENH|
ENH|ADF,|ADF|ESB|SAW|TBS|URC|WUH|ENH|
ENH|AJI,|AJI|ESB|SAW|TBS|URC|WUH|ENH|
ENH|BAL,|BAL|ESB|SAW|TBS|URC|WUH|ENH|
ENH|BJV,|BJV|IST|URC|WUH|ENH|
ENH|CKZ,|CKZ|ESB|SAW|TBS|URC|WUH|ENH|
ENH|DIY,|DIY|SAW|TBS|URC|WUH|ENH|
ENH|ECN,|ECN|SAW|TBS|URC|WUH|ENH|
ENH|ERC,|ERC|ESB|SAW|TBS|URC|WUH|ENH|
ENH|ERZ,|ERZ|SAW|TBS|URC|WUH|ENH|
ENH|EZS,|EZS|SAW|TBS|URC|WUH|ENH|
ENH|GNY,|GNY|ESB|SAW|TBS|URC|WUH|ENH|
ENH|GZP,|GZP|ESB|SAW|TBS|URC|WUH|ENH|
ENH|GZT,|GZT|SAW|TBS|URC|WUH|ENH|
ENH|HTY,|HTY|SAW|TBS|URC|WUH|ENH|
ENH|KCM,|KCM|ESB|SAW|TBS|URC|WUH|ENH|
ENH|KSY,|KSY|SAW|TBS|URC|WUH|ENH|
ENH|MLX,|MLX|ESB|SAW|TBS|URC|WUH|ENH|
ENH|MQM,|MQM|SAW|TBS|URC|WUH|ENH|
ENH|MSR,|MSR|ESB|SAW|TBS|URC|WUH|ENH|
ENH|TEQ,|TEQ|ESB|SAW|TBS|URC|WUH|ENH|
ENH|TZX,|TZX|SAW|TBS|URC|WUH|ENH|
ENH|VAN,|VAN|SAW|TBS|URC|WUH|ENH|
ENH|ULN,|ULN|FRU|URC|WUH|ENH|
ENH|HIJ,|HIJ|ICN|WUH|ENH|
ENH|VVO,|VVO|ICN|WUH|ENH|
ENH|ACC,|ACC|IST|URC|WUH|ENH|
ENH|AER,|AER|IST|URC|WUH|ENH|
ENH|AGP,|AGP|IST|URC|WUH|ENH|
ENH|ALG,|ALG|IST|URC|WUH|ENH|
ENH|AMM,|AMM|IST|URC|WUH|ENH|
