DLM|CDR,|CDR|AIA|DEN|FRA|IST|DLM|
DLM|FMN,|FMN|DEN|FRA|IST|DLM|
DLM|JST,|JST|IAD|IST|DLM|
DLM|JHW,|JHW|CLE|YYZ|IST|DLM|
DLM|SHD,|SHD|IAD|IST|DLM|
DLM|PTY,|PTY|MIA|ZRH|IST|DLM|
DLM|FNA,|FNA|BRU|IST|DLM|
DLM|SXB,|SXB|BRU|IST|DLM|
DLM|ACV,|ACV|SMF|SEA|FRA|IST|DLM|
DLM|MGW,|MGW|IAD|IST|DLM|
DLM|ALB,|ALB|EWR|BHX|IST|DLM|
DLM|AUS,|AUS|ORD|IST|DLM|
DLM|BFD,|BFD|CLE|YYZ|IST|DLM|
DLM|BUF,|BUF|EWR|BHX|IST|DLM|
DLM|CHS,|CHS|EWR|BHX|IST|DLM|
DLM|DAY,|DAY|CLE|YYZ|IST|DLM|
DLM|DUJ,|DUJ|CLE|YYZ|IST|DLM|
DLM|ERI,|ERI|CLE|YYZ|IST|DLM|
DLM|FKL,|FKL|CLE|YYZ|IST|DLM|
DLM|FNT,|FNT|CLE|YYZ|IST|DLM|
DLM|GRR,|GRR|CLE|YYZ|IST|DLM|
DLM|GSP,|GSP|EWR|BHX|IST|DLM|
DLM|PBI,|PBI|EWR|BHX|IST|DLM|
DLM|PKB,|PKB|CLE|YYZ|IST|DLM|
DLM|RIC,|RIC|EWR|BHX|IST|DLM|
DLM|SDF,|SDF|CLE|YYZ|IST|DLM|
DLM|GUM,|GUM|FUK|ICN|IST|DLM|
DLM|WRL,|WRL|CYS|DEN|FRA|IST|DLM|
DLM|LBL,|DLM|
DLM|ABQ,|ABQ|DEN|FRA|IST|DLM|
