TLS|ZAT,|ZAT|KMG|CTU|URC|IST|TLS|
TLS|LUN,|LUN|NBO|IST|TLS|
TLS|AOG,|AOG|PEK|IST|TLS|
TLS|GMP,|GMP|PEK|IST|TLS|
TLS|ISB,|ISB|IST|TLS|
TLS|TAS,|TAS|IST|TLS|
TLS|WUS,|WUS|PEK|IST|TLS|
TLS|JMU,|JMU|PVG|IST|TLS|
TLS|NDG,|NDG|PVG|IST|TLS|
TLS|JXA,|JXA|SHE|PEK|IST|TLS|
TLS|PUS,|PUS|SHE|PEK|IST|TLS|
TLS|BKI,|BKI|SZX|CKG|URC|IST|TLS|
TLS|AKU,|AKU|URC|IST|TLS|
TLS|ALA,|ALA|IST|TLS|
TLS|ASB,|ASB|IST|TLS|
TLS|DNH,|DNH|URC|IST|TLS|
TLS|DYU,|DYU|IST|TLS|
TLS|FRU,|FRU|IST|TLS|
TLS|GYD,|GYD|IST|TLS|
TLS|HTN,|HTN|URC|IST|TLS|
TLS|IKA,|IKA|IST|TLS|
TLS|KCA,|KCA|URC|IST|TLS|
TLS|KHG,|KHG|URC|IST|TLS|
TLS|KRL,|KRL|URC|IST|TLS|
TLS|KRY,|KRY|URC|IST|TLS|
TLS|LBD,|LBD|URC|IST|TLS|
TLS|NLT,|NLT|URC|IST|TLS|
TLS|OSS,|OSS|IST|TLS|
TLS|OVB,|OVB|IST|TLS|
TLS|TBS,|TBS|IST|TLS|
TLS|TCG,|TCG|URC|IST|TLS|
TLS|TSE,|TSE|IST|TLS|
TLS|YIN,|YIN|URC|IST|TLS|
TLS|ENH,|ENH|WUH|URC|IST|TLS|
TLS|ENY,|ENY|XIY|URC|IST|TLS|
TLS|WXN,|WXN|XIY|URC|IST|TLS|
TLS|BLL,|BLL|IST|TLS|
TLS|ESB,|ESB|IST|TLS|
TLS|SAW,|SAW|ADB|IST|TLS|
TLS|HAM,|HAM|IST|TLS|
TLS|HRE,|HRE|ADD|IST|TLS|
TLS|JUB,|JUB|CAI|IST|TLS|
TLS|SSG,|SSG|DLA|IST|TLS|
TLS|BGW,|BGW|IST|TLS|
TLS|EBL,|EBL|IST|TLS|
TLS|VKO,|VKO|IST|TLS|
TLS|MCT,|MCT|IST|TLS|
TLS|AYT,|AYT|IST|TLS|
TLS|SCQ,|SCQ|BIO|IST|TLS|
TLS|AAL,|AAL|IST|TLS|
TLS|AOE,|AOE|BRU|IST|TLS|
TLS|JNB,|JNB|IST|TLS|
TLS|LBV,|LBV|DLA|IST|TLS|
TLS|ADA,|ADA|IST|TLS|
TLS|ADB,|ADB|IST|TLS|
TLS|ADF,|ADF|IST|TLS|
TLS|AJI,|AJI|IST|TLS|
TLS|BAL,|BAL|IST|TLS|
TLS|BJV,|BJV|IST|TLS|
TLS|CKZ,|CKZ|ESB|IST|TLS|
TLS|DIY,|DIY|IST|TLS|
TLS|ECN,|ECN|IST|TLS|
TLS|ERC,|ERC|IST|TLS|
TLS|ERZ,|ERZ|IST|TLS|
TLS|EZS,|EZS|IST|TLS|
TLS|GNY,|GNY|IST|TLS|
TLS|GZP,|GZP|ESB|IST|TLS|
TLS|GZT,|GZT|IST|TLS|
TLS|HTY,|HTY|IST|TLS|
TLS|KCM,|KCM|IST|TLS|
TLS|KSY,|KSY|IST|TLS|
TLS|MLX,|MLX|IST|TLS|
TLS|MQM,|MQM|IST|TLS|
TLS|MSR,|MSR|IST|TLS|
TLS|TEQ,|TEQ|ESB|IST|TLS|
TLS|TZX,|TZX|IST|TLS|
TLS|VAN,|VAN|IST|TLS|
TLS|ULN,|ULN|FRU|IST|TLS|
TLS|HIJ,|HIJ|ICN|IST|TLS|
TLS|VVO,|VVO|ICN|IST|TLS|
TLS|ACC,|ACC|IST|TLS|
TLS|AER,|AER|IST|TLS|
TLS|AGP,|AGP|IST|TLS|
TLS|ALG,|ALG|IST|TLS|
TLS|AMM,|AMM|IST|TLS|
TLS|AQJ,|AQJ|IST|TLS|
TLS|ARN,|ARN|IST|TLS|
TLS|ASR,|ASR|IST|TLS|
TLS|ATH,|ATH|IST|TLS|
TLS|BAH,|BAH|IST|TLS|
TLS|BEG,|BEG|IST|TLS|
TLS|BEN,|BEN|IST|TLS|
TLS|BEY,|BEY|IST|TLS|
TLS|BHX,|BHX|IST|TLS|
TLS|BIO,|BIO|IST|TLS|
TLS|BLQ,|BLQ|IST|TLS|
TLS|BOM,|BOM|IST|TLS|
TLS|BRE,|BRE|IST|TLS|
TLS|BSL,|BSL|IST|TLS|
TLS|BSR,|BSR|IST|TLS|
TLS|BUD,|BUD|IST|TLS|
TLS|BUS,|BUS|IST|TLS|
TLS|CAI,|CAI|IST|TLS|
TLS|CGN,|CGN|IST|TLS|
TLS|CMN,|CMN|IST|TLS|
TLS|CND,|CND|IST|TLS|
TLS|DAR,|DAR|IST|TLS|
TLS|DLM,|DLM|IST|TLS|
TLS|DMM,|DMM|IST|TLS|
TLS|DNK,|DNK|IST|TLS|
TLS|DNZ,|DNZ|IST|TLS|
TLS|DOK,|DOK|IST|TLS|
TLS|DUS,|DUS|IST|TLS|
TLS|EDI,|EDI|IST|TLS|
TLS|ELQ,|ELQ|IST|TLS|
TLS|FDH,|FDH|IST|TLS|
TLS|GOA,|GOA|IST|TLS|
TLS|GOT,|GOT|IST|TLS|
TLS|HAJ,|HAJ|IST|TLS|
TLS|HBE,|HBE|IST|TLS|
TLS|HEL,|HEL|IST|TLS|
TLS|HRG,|HRG|IST|TLS|
TLS|IFN,|IFN|IST|TLS|
TLS|ISE,|ISE|IST|TLS|
TLS|ISU,|ISU|IST|TLS|
TLS|JIB,|JIB|IST|TLS|
TLS|JRO,|JRO|IST|TLS|
TLS|KAN,|KAN|IST|TLS|
TLS|KBL,|KBL|IST|TLS|
TLS|KBP,|KBP|IST|TLS|
TLS|KFS,|KFS|IST|TLS|
TLS|KHI,|KHI|IST|TLS|
TLS|KIV,|KIV|IST|TLS|
TLS|KRT,|KRT|IST|TLS|
TLS|KSH,|KSH|IST|TLS|
TLS|KVD,|KVD|IST|TLS|
TLS|KWI,|KWI|IST|TLS|
TLS|KYA,|KYA|IST|TLS|
TLS|KZN,|KZN|IST|TLS|
TLS|KZR,|KZR|IST|TLS|
TLS|LED,|LED|IST|TLS|
TLS|LEJ,|LEJ|IST|TLS|
TLS|LGW,|LGW|IST|TLS|
TLS|LHE,|LHE|IST|TLS|
TLS|LIS,|LIS|IST|TLS|
TLS|LJU,|LJU|IST|TLS|
TLS|LOS,|LOS|IST|TLS|
TLS|LUX,|LUX|IST|TLS|
TLS|LWO,|LWO|IST|TLS|
TLS|LYS,|LYS|IST|TLS|
TLS|MAD,|MAD|IST|TLS|
TLS|MAN,|MAN|IST|TLS|
TLS|MED,|MED|IST|TLS|
TLS|MHD,|MHD|IST|TLS|
