CMH|KSY,|KSY|ESB|VIE|YYZ|CMH|
CMH|MLX,|MLX|ESB|VIE|YYZ|CMH|
CMH|MQM,|MQM|ESB|VIE|YYZ|CMH|
CMH|MSR,|MSR|ESB|VIE|YYZ|CMH|
CMH|TEQ,|TEQ|ESB|VIE|YYZ|CMH|
CMH|TZX,|TZX|ESB|VIE|YYZ|CMH|
CMH|VAN,|VAN|ESB|VIE|YYZ|CMH|
CMH|ULN,|ULN|FRU|IST|YYZ|CMH|
CMH|HIJ,|HIJ|ICN|YVR|ORD|CMH|
CMH|VVO,|VVO|ICN|YVR|ORD|CMH|
CMH|ACC,|ACC|IST|YYZ|CMH|
CMH|AER,|AER|IST|YYZ|CMH|
CMH|AGP,|AGP|IST|YYZ|CMH|
CMH|ALG,|ALG|IST|YYZ|CMH|
CMH|AMM,|AMM|IST|YYZ|CMH|
CMH|AQJ,|AQJ|IST|YYZ|CMH|
CMH|ARN,|ARN|EWR|CMH|
CMH|ASR,|ASR|SAW|VIE|YYZ|CMH|
CMH|ATH,|ATH|IST|YYZ|CMH|
CMH|BAH,|BAH|IST|YYZ|CMH|
CMH|BEG,|BEG|IST|YYZ|CMH|
CMH|BEN,|BEN|IST|YYZ|CMH|
CMH|BEY,|BEY|IST|YYZ|CMH|
CMH|BHX,|BHX|EWR|CMH|
CMH|BIO,|BIO|IST|YYZ|CMH|
CMH|BLQ,|BLQ|IST|YYZ|CMH|
CMH|BOM,|BOM|EWR|CMH|
CMH|BRE,|BRE|IST|YYZ|CMH|
CMH|BSL,|BSL|IST|YYZ|CMH|
CMH|BSR,|BSR|IST|YYZ|CMH|
CMH|BUD,|BUD|IST|YYZ|CMH|
CMH|BUS,|BUS|IST|YYZ|CMH|
CMH|CAI,|CAI|JFK|IAD|CMH|
CMH|CGN,|CGN|IST|YYZ|CMH|
CMH|CMN,|CMN|IST|YYZ|CMH|
CMH|CND,|CND|IST|YYZ|CMH|
CMH|DAR,|DAR|NBO|ZRH|YYZ|CMH|
CMH|DLM,|DLM|IST|YYZ|CMH|
CMH|DMM,|DMM|IST|YYZ|CMH|
CMH|DNK,|DNK|IST|YYZ|CMH|
CMH|DNZ,|DNZ|IST|YYZ|CMH|
CMH|DOK,|DOK|IST|YYZ|CMH|
CMH|DUS,|DUS|EWR|CMH|
CMH|EDI,|EDI|EWR|CMH|
CMH|ELQ,|ELQ|IST|YYZ|CMH|
CMH|FDH,|FDH|IST|YYZ|CMH|
CMH|GOA,|GOA|IST|YYZ|CMH|
CMH|GOT,|GOT|BRU|YUL|YYZ|CMH|
CMH|HAJ,|HAJ|BRU|YUL|YYZ|CMH|
CMH|HBE,|HBE|IST|YYZ|CMH|
CMH|HEL,|HEL|IST|YYZ|CMH|
CMH|HRG,|HRG|IST|YYZ|CMH|
CMH|IFN,|IFN|IST|YYZ|CMH|
CMH|ISE,|ISE|IST|YYZ|CMH|
CMH|ISU,|ISU|IST|YYZ|CMH|
CMH|JIB,|JIB|IST|YYZ|CMH|
CMH|JRO,|JRO|IST|YYZ|CMH|
CMH|KAN,|KAN|IST|YYZ|CMH|
CMH|KBL,|KBL|IST|YYZ|CMH|
CMH|KBP,|KBP|IST|YYZ|CMH|
CMH|KFS,|KFS|IST|YYZ|CMH|
CMH|KHI,|KHI|IST|YYZ|CMH|
CMH|KIV,|KIV|IST|YYZ|CMH|
CMH|KRT,|KRT|IST|YYZ|CMH|
CMH|KSH,|KSH|IST|YYZ|CMH|
CMH|KVD,|KVD|IST|YYZ|CMH|
CMH|KWI,|KWI|SAW|VIE|YYZ|CMH|
CMH|KYA,|KYA|IST|YYZ|CMH|
CMH|KZN,|KZN|IST|YYZ|CMH|
CMH|KZR,|KZR|IST|YYZ|CMH|
CMH|LED,|LED|VIE|YYZ|CMH|
CMH|LEJ,|LEJ|IST|YYZ|CMH|
CMH|LGW,|LGW|IST|YYZ|CMH|
CMH|LHE,|LHE|IST|YYZ|CMH|
CMH|LIS,|LIS|EWR|CMH|
CMH|LJU,|LJU|IST|YYZ|CMH|
CMH|LOS,|LOS|FRA|YYZ|CMH|
CMH|LUX,|LUX|IST|YYZ|CMH|
CMH|LWO,|LWO|IST|YYZ|CMH|
CMH|LYS,|LYS|IST|YYZ|CMH|
CMH|MAD,|MAD|EWR|CMH|
CMH|MAN,|MAN|EWR|CMH|
CMH|MED,|MED|IST|YYZ|CMH|
CMH|MHD,|MHD|IST|YYZ|CMH|
CMH|MLA,|MLA|IST|YYZ|CMH|
CMH|MRS,|MRS|IST|YYZ|CMH|
CMH|MSQ,|MSQ|IST|YYZ|CMH|
CMH|MXP,|MXP|EWR|CMH|
CMH|MZH,|MZH|IST|YYZ|CMH|
CMH|MZR,|MZR|IST|YYZ|CMH|
CMH|NAJ,|NAJ|IST|YYZ|CMH|
CMH|NAV,|NAV|IST|YYZ|CMH|
CMH|NCE,|NCE|IST|YYZ|CMH|
CMH|NIM,|NIM|IST|YYZ|CMH|
CMH|NJF,|NJF|IST|YYZ|CMH|
CMH|NSI,|NSI|BRU|YUL|YYZ|CMH|
CMH|NUE,|NUE|IST|YYZ|CMH|
CMH|ODS,|ODS|IST|YYZ|CMH|
CMH|ORN,|ORN|IST|YYZ|CMH|
CMH|OTP,|OTP|IST|YYZ|CMH|
CMH|PRG,|PRG|BRU|YUL|YYZ|CMH|
CMH|PRN,|PRN|IST|YYZ|CMH|
CMH|RIX,|RIX|IST|YYZ|CMH|
CMH|ROV,|ROV|IST|YYZ|CMH|
CMH|RTM,|RTM|IST|YYZ|CMH|
CMH|RUH,|RUH|IST|YYZ|CMH|
CMH|SAH,|SAH|IST|YYZ|CMH|
CMH|SJJ,|SJJ|IST|YYZ|CMH|
CMH|SKG,|SKG|IST|YYZ|CMH|
CMH|SKP,|SKP|IST|YYZ|CMH|
CMH|SSH,|SSH|IST|YYZ|CMH|
CMH|STR,|STR|EWR|CMH|
CMH|SVX,|SVX|IST|YYZ|CMH|
CMH|SYZ,|SYZ|IST|YYZ|CMH|
CMH|SZG,|SZG|IST|YYZ|CMH|
CMH|TBZ,|TBZ|IST|YYZ|CMH|
CMH|TGD,|TGD|IST|YYZ|CMH|
CMH|TIA,|TIA|IST|YYZ|CMH|
