GRU|BAH,|BAH|IST|GRU|
GRU|BEG,|BEG|IST|GRU|
GRU|BEN,|BEN|IST|GRU|
GRU|BEY,|BEY|IST|GRU|
GRU|BHX,|BHX|EWR|GRU|
GRU|BIO,|BIO|IST|GRU|
GRU|BLQ,|BLQ|IST|GRU|
GRU|BOM,|BOM|IST|GRU|
GRU|BRE,|BRE|IST|GRU|
GRU|BSL,|BSL|IST|GRU|
GRU|BSR,|BSR|IST|GRU|
GRU|BUD,|BUD|IST|GRU|
GRU|BUS,|BUS|IST|GRU|
GRU|CAI,|CAI|IST|GRU|
GRU|CGN,|CGN|IST|GRU|
GRU|CMN,|CMN|IST|GRU|
GRU|CND,|CND|IST|GRU|
GRU|DAR,|DAR|IST|GRU|
GRU|DLM,|DLM|IST|GRU|
GRU|DMM,|DMM|IST|GRU|
GRU|DNK,|DNK|IST|GRU|
GRU|DNZ,|DNZ|IST|GRU|
GRU|DOK,|DOK|IST|GRU|
GRU|DUS,|DUS|IST|GRU|
GRU|EDI,|EDI|EWR|GRU|
GRU|ELQ,|ELQ|IST|GRU|
GRU|FDH,|FDH|IST|GRU|
GRU|GOA,|GOA|IST|GRU|
GRU|GOT,|GOT|IST|GRU|
GRU|HAJ,|HAJ|IST|GRU|
GRU|HBE,|HBE|IST|GRU|
GRU|HEL,|HEL|IST|GRU|
GRU|HRG,|HRG|IST|GRU|
GRU|IFN,|IFN|IST|GRU|
GRU|ISE,|ISE|IST|GRU|
GRU|ISU,|ISU|IST|GRU|
GRU|JIB,|JIB|IST|GRU|
GRU|JRO,|JRO|IST|GRU|
GRU|KAN,|KAN|IST|GRU|
GRU|KBL,|KBL|IST|GRU|
GRU|KBP,|KBP|IST|GRU|
GRU|KFS,|KFS|IST|GRU|
GRU|KHI,|KHI|IST|GRU|
GRU|KIV,|KIV|IST|GRU|
GRU|KRT,|KRT|IST|GRU|
GRU|KSH,|KSH|IST|GRU|
GRU|KVD,|KVD|IST|GRU|
GRU|KWI,|KWI|IST|GRU|
GRU|KYA,|KYA|IST|GRU|
GRU|KZN,|KZN|IST|GRU|
GRU|KZR,|KZR|IST|GRU|
GRU|LED,|LED|IST|GRU|
GRU|LEJ,|LEJ|IST|GRU|
GRU|LGW,|LGW|IST|GRU|
GRU|LHE,|LHE|IST|GRU|
GRU|LIS,|LIS|EWR|GRU|
GRU|LJU,|LJU|IST|GRU|
GRU|LOS,|LOS|IST|GRU|
GRU|LUX,|LUX|IST|GRU|
GRU|LWO,|LWO|IST|GRU|
GRU|LYS,|LYS|IST|GRU|
GRU|MAD,|MAD|IST|GRU|
GRU|MAN,|MAN|EWR|GRU|
GRU|MED,|MED|IST|GRU|
GRU|MHD,|MHD|IST|GRU|
GRU|MLA,|MLA|IST|GRU|
GRU|MRS,|MRS|IST|GRU|
GRU|MSQ,|MSQ|IST|GRU|
GRU|MXP,|MXP|IST|GRU|
GRU|MZH,|MZH|IST|GRU|
GRU|MZR,|MZR|IST|GRU|
GRU|NAJ,|NAJ|IST|GRU|
GRU|NAV,|NAV|IST|GRU|
GRU|NCE,|NCE|IST|GRU|
GRU|NIM,|NIM|IST|GRU|
GRU|NJF,|NJF|IST|GRU|
GRU|NSI,|NSI|IST|GRU|
GRU|NUE,|NUE|IST|GRU|
GRU|ODS,|ODS|IST|GRU|
GRU|ORN,|ORN|IST|GRU|
GRU|OTP,|OTP|IST|GRU|
GRU|PRG,|PRG|IST|GRU|
GRU|PRN,|PRN|IST|GRU|
GRU|RIX,|RIX|IST|GRU|
GRU|ROV,|ROV|IST|GRU|
GRU|RTM,|RTM|IST|GRU|
GRU|RUH,|RUH|IST|GRU|
GRU|SAH,|SAH|IST|GRU|
GRU|SJJ,|SJJ|IST|GRU|
GRU|SKG,|SKG|IST|GRU|
GRU|SKP,|SKP|IST|GRU|
GRU|SSH,|SSH|IST|GRU|
GRU|STR,|STR|IST|GRU|
GRU|SVX,|SVX|IST|GRU|
GRU|SYZ,|SYZ|IST|GRU|
GRU|SZG,|SZG|IST|GRU|
GRU|TBZ,|TBZ|IST|GRU|
GRU|TGD,|TGD|IST|GRU|
GRU|TIA,|TIA|IST|GRU|
GRU|TIF,|TIF|IST|GRU|
GRU|TIP,|TIP|IST|GRU|
GRU|TLL,|TLL|IST|GRU|
GRU|TLS,|TLS|IST|GRU|
GRU|TRN,|TRN|IST|GRU|
GRU|TUN,|TUN|IST|GRU|
GRU|TXL,|TXL|IST|GRU|
GRU|UFA,|UFA|IST|GRU|
GRU|VAS,|VAS|IST|GRU|
GRU|VCE,|VCE|IST|GRU|
GRU|YNB,|YNB|IST|GRU|
GRU|ZAG,|ZAG|IST|GRU|
GRU|MGQ,|MGQ|JIB|IST|GRU|
GRU|CPT,|CPT|JNB|IST|GRU|
GRU|MBA,|MBA|JRO|IST|GRU|
GRU|NDJ,|NDJ|KAN|IST|GRU|
GRU|CMB,|CMB|MLE|IST|GRU|
GRU|ADE,|ADE|SAH|IST|GRU|
GRU|ASF,|ASF|SAW|ADB|IST|GRU|
GRU|STW,|STW|SAW|ADB|IST|GRU|
GRU|LFW,|LFW|ABJ|OUA|NIM|IST|GRU|
GRU|CEC,|CEC|ACV|SMF|IAH|GRU|
GRU|SMF,|SMF|IAH|GRU|
GRU|CDR,|CDR|AIA|DEN|IAH|GRU|
GRU|FMN,|FMN|DEN|IAH|GRU|
GRU|JST,|JST|IAD|GRU|
GRU|JHW,|JHW|CLE|IAD|GRU|
GRU|SHD,|SHD|IAD|GRU|
GRU|PTY,|PTY|IAH|GRU|
GRU|FNA,|FNA|BRU|IST|GRU|
GRU|SXB,|SXB|BRU|IST|GRU|
GRU|ACV,|ACV|SMF|IAH|GRU|
GRU|MGW,|MGW|IAD|GRU|
GRU|ALB,|ALB|EWR|GRU|
GRU|AUS,|AUS|IAH|GRU|
GRU|BFD,|BFD|CLE|IAD|GRU|
GRU|BUF,|BUF|IAD|GRU|
GRU|CHS,|CHS|IAD|GRU|
GRU|DAY,|DAY|IAD|GRU|
GRU|DUJ,|DUJ|CLE|IAD|GRU|
GRU|ERI,|ERI|CLE|IAD|GRU|
GRU|FKL,|FKL|CLE|IAD|GRU|
GRU|FNT,|FNT|CLE|IAD|GRU|
GRU|GRR,|GRR|IAD|GRU|
GRU|GSP,|GSP|IAD|GRU|
GRU|PBI,|PBI|TPA|IAD|GRU|
GRU|PKB,|PKB|CLE|IAD|GRU|
GRU|RIC,|RIC|IAD|GRU|
GRU|SDF,|SDF|IAD|GRU|
GRU|GUM,|GUM|HNL|IAH|GRU|
GRU|WRL,|WRL|CYS|DEN|IAH|GRU|
GRU|LBL,|GRU|
GRU|ABQ,|ABQ|IAH|GRU|
GRU|AIA,|AIA|DEN|IAH|GRU|
GRU|ALS,|ALS|DEN|IAH|GRU|
GRU|AMA,|AMA|IAH|GRU|
GRU|ANC,|ANC|ORD|GRU|
GRU|ASE,|ASE|DEN|IAH|GRU|
GRU|BFL,|BFL|IAH|GRU|
GRU|BHM,|BHM|IAH|GRU|
GRU|BIL,|BIL|DEN|IAH|GRU|
GRU|BIS,|BIS|DEN|IAH|GRU|
GRU|BOI,|BOI|DEN|IAH|GRU|
GRU|BUR,|BUR|PHX|IAH|GRU|
GRU|BZN,|BZN|DEN|IAH|GRU|
GRU|CID,|CID|ORD|GRU|
GRU|COD,|COD|DEN|IAH|GRU|
GRU|COS,|COS|IAH|GRU|
GRU|CPR,|CPR|DEN|IAH|GRU|
GRU|CYS,|CYS|DEN|IAH|GRU|
GRU|DIK,|DIK|DEN|IAH|GRU|
GRU|DRO,|DRO|DEN|IAH|GRU|
GRU|DSM,|DSM|ORD|GRU|
GRU|EGE,|EGE|DEN|IAH|GRU|
GRU|ELP,|ELP|IAH|GRU|
GRU|EUG,|EUG|DEN|IAH|GRU|
GRU|FAR,|FAR|ORD|GRU|
GRU|FAT,|FAT|LAS|IAH|GRU|
GRU|FCA,|FCA|DEN|IAH|GRU|
