STW|ZAT,|ZAT|KMG|CTU|URC|TBS|SAW|STW|
STW|LUN,|LUN|NBO|IST|ADB|SAW|STW|
STW|AOG,|AOG|PEK|URC|TBS|SAW|STW|
STW|GMP,|GMP|PEK|URC|TBS|SAW|STW|
STW|ISB,|ISB|IST|ADB|SAW|STW|
STW|TAS,|TAS|IST|ADB|SAW|STW|
STW|WUS,|WUS|PEK|URC|TBS|SAW|STW|
STW|JMU,|JMU|PVG|URC|TBS|SAW|STW|
STW|NDG,|NDG|PVG|URC|TBS|SAW|STW|
STW|JXA,|JXA|SHE|HET|URC|TBS|SAW|STW|
STW|PUS,|PUS|SHE|HET|URC|TBS|SAW|STW|
STW|BKI,|BKI|SZX|CKG|URC|TBS|SAW|STW|
STW|AKU,|AKU|URC|TBS|SAW|STW|
STW|ALA,|ALA|IST|ADB|SAW|STW|
STW|ASB,|ASB|IST|ADB|SAW|STW|
STW|DNH,|DNH|URC|TBS|SAW|STW|
STW|DYU,|DYU|IST|ADB|SAW|STW|
STW|FRU,|FRU|IST|ADB|SAW|STW|
STW|GYD,|GYD|IST|ADB|SAW|STW|
STW|HTN,|HTN|URC|TBS|SAW|STW|
STW|IKA,|IKA|SAW|STW|
STW|KCA,|KCA|URC|TBS|SAW|STW|
STW|KHG,|KHG|URC|TBS|SAW|STW|
STW|KRL,|KRL|URC|TBS|SAW|STW|
STW|KRY,|KRY|URC|TBS|SAW|STW|
STW|LBD,|LBD|URC|TBS|SAW|STW|
STW|NLT,|NLT|URC|TBS|SAW|STW|
STW|OSS,|OSS|IST|ADB|SAW|STW|
STW|OVB,|OVB|IST|ADB|SAW|STW|
STW|TBS,|TBS|SAW|STW|
STW|TCG,|TCG|URC|TBS|SAW|STW|
STW|TSE,|TSE|IST|ADB|SAW|STW|
STW|YIN,|YIN|URC|TBS|SAW|STW|
STW|ENH,|ENH|WUH|URC|TBS|SAW|STW|
STW|ENY,|ENY|XIY|URC|TBS|SAW|STW|
STW|WXN,|WXN|XIY|URC|TBS|SAW|STW|
STW|BLL,|BLL|IST|ADB|SAW|STW|
STW|ESB,|ESB|SAW|STW|
STW|SAW,|SAW|STW|
STW|HAM,|HAM|ADB|SAW|STW|
STW|HRE,|HRE|ADD|IST|ADB|SAW|STW|
STW|JUB,|JUB|CAI|IST|ADB|SAW|STW|
STW|SSG,|SSG|DLA|IST|ADB|SAW|STW|
STW|BGW,|BGW|ESB|SAW|STW|
STW|EBL,|EBL|AYT|SAW|STW|
STW|VKO,|VKO|ESB|SAW|STW|
STW|MCT,|MCT|BAH|KWI|SAW|STW|
STW|AYT,|AYT|SAW|STW|
STW|SCQ,|SCQ|BIO|IST|ADB|SAW|STW|
STW|AAL,|AAL|IST|ADB|SAW|STW|
STW|AOE,|AOE|BRU|SAW|STW|
STW|JNB,|JNB|IST|ADB|SAW|STW|
STW|LBV,|LBV|DLA|IST|ADB|SAW|STW|
STW|ADA,|ADA|SAW|STW|
STW|ADB,|ADB|SAW|STW|
STW|ADF,|ADF|ESB|SAW|STW|
STW|AJI,|AJI|ESB|SAW|STW|
STW|BAL,|BAL|ESB|SAW|STW|
STW|BJV,|BJV|SAW|STW|
STW|CKZ,|CKZ|ESB|SAW|STW|
STW|DIY,|DIY|SAW|STW|
STW|ECN,|ECN|SAW|STW|
STW|ERC,|ERC|ESB|SAW|STW|
STW|ERZ,|ERZ|SAW|STW|
STW|EZS,|EZS|SAW|STW|
STW|GNY,|GNY|ESB|SAW|STW|
STW|GZP,|GZP|ESB|SAW|STW|
STW|GZT,|GZT|SAW|STW|
STW|HTY,|HTY|SAW|STW|
STW|KCM,|KCM|ESB|SAW|STW|
STW|KSY,|KSY|SAW|STW|
STW|MLX,|MLX|ESB|SAW|STW|
STW|MQM,|MQM|SAW|STW|
STW|MSR,|MSR|ESB|SAW|STW|
STW|TEQ,|TEQ|ESB|SAW|STW|
STW|TZX,|TZX|SAW|STW|
STW|VAN,|VAN|SAW|STW|
STW|ULN,|ULN|FRU|IST|ADB|SAW|STW|
STW|HIJ,|HIJ|ICN|PEK|URC|TBS|SAW|STW|
STW|VVO,|VVO|ICN|PEK|URC|TBS|SAW|STW|
STW|ACC,|ACC|IST|ADB|SAW|STW|
STW|AER,|AER|IST|ADB|SAW|STW|
STW|AGP,|AGP|IST|ADB|SAW|STW|
STW|ALG,|ALG|IST|ADB|SAW|STW|
STW|AMM,|AMM|IST|ADB|SAW|STW|
STW|AQJ,|AQJ|IST|ADB|SAW|STW|
STW|ARN,|ARN|IST|ADB|SAW|STW|
STW|ASR,|ASR|SAW|STW|
STW|ATH,|ATH|IST|ADB|SAW|STW|
STW|BAH,|BAH|KWI|SAW|STW|
STW|BEG,|BEG|IST|ADB|SAW|STW|
STW|BEN,|BEN|IST|ADB|SAW|STW|
STW|BEY,|BEY|IST|ADB|SAW|STW|
STW|BHX,|BHX|BRU|SAW|STW|
STW|BIO,|BIO|IST|ADB|SAW|STW|
STW|BLQ,|BLQ|IST|ADB|SAW|STW|
STW|BOM,|BOM|IST|ADB|SAW|STW|
STW|BRE,|BRE|IST|ADB|SAW|STW|
STW|BSL,|BSL|IST|ADB|SAW|STW|
STW|BSR,|BSR|IST|ADB|SAW|STW|
STW|BUD,|BUD|IST|ADB|SAW|STW|
STW|BUS,|BUS|IST|ADB|SAW|STW|
STW|CAI,|CAI|IST|ADB|SAW|STW|
STW|CGN,|CGN|IST|ADB|SAW|STW|
STW|CMN,|CMN|IST|ADB|SAW|STW|
STW|CND,|CND|IST|ADB|SAW|STW|
