MEX|WUS,|WUS|PEK|YVR|MEX|
MEX|JMU,|JMU|PVG|SFO|MEX|
MEX|NDG,|NDG|PVG|SFO|MEX|
MEX|JXA,|JXA|SHE|ICN|SFO|MEX|
MEX|PUS,|PUS|SHE|ICN|SFO|MEX|
MEX|BKI,|BKI|SZX|PVG|SFO|MEX|
MEX|AKU,|AKU|URC|PEK|YVR|MEX|
MEX|ALA,|ALA|TSE|FRA|IAD|MEX|
MEX|ASB,|ASB|GYD|FRA|IAD|MEX|
MEX|DNH,|DNH|XIY|PEK|YVR|MEX|
MEX|DYU,|DYU|IST|IAD|MEX|
MEX|FRU,|FRU|IST|IAD|MEX|
MEX|GYD,|GYD|FRA|IAD|MEX|
MEX|HTN,|HTN|URC|PEK|YVR|MEX|
MEX|IKA,|IKA|SAW|FRA|IAD|MEX|
MEX|KCA,|KCA|URC|PEK|YVR|MEX|
MEX|KHG,|KHG|URC|PEK|YVR|MEX|
MEX|KRL,|KRL|URC|PEK|YVR|MEX|
MEX|KRY,|KRY|URC|PEK|YVR|MEX|
MEX|LBD,|LBD|URC|PEK|YVR|MEX|
MEX|NLT,|NLT|URC|PEK|YVR|MEX|
MEX|OSS,|OSS|IST|IAD|MEX|
MEX|OVB,|OVB|IST|IAD|MEX|
MEX|TBS,|TBS|SAW|FRA|IAD|MEX|
MEX|TCG,|TCG|URC|PEK|YVR|MEX|
MEX|TSE,|TSE|FRA|IAD|MEX|
MEX|YIN,|YIN|URC|PEK|YVR|MEX|
MEX|ENH,|ENH|WUH|ICN|SFO|MEX|
MEX|ENY,|ENY|XIY|PEK|YVR|MEX|
MEX|WXN,|WXN|XIY|PEK|YVR|MEX|
MEX|BLL,|BLL|IST|IAD|MEX|
MEX|ESB,|ESB|VIE|IAD|MEX|
MEX|SAW,|SAW|FRA|IAD|MEX|
MEX|HAM,|HAM|EWR|MEX|
MEX|HRE,|HRE|ADD|JED|FRA|IAD|MEX|
MEX|JUB,|JUB|CAI|JFK|IAD|MEX|
MEX|SSG,|SSG|DLA|BRU|IAD|MEX|
MEX|BGW,|BGW|ESB|VIE|IAD|MEX|
MEX|EBL,|EBL|IST|IAD|MEX|
MEX|VKO,|VKO|IST|IAD|MEX|
MEX|MCT,|MCT|AUH|YYZ|MEX|
MEX|AYT,|AYT|IST|IAD|MEX|
MEX|SCQ,|SCQ|BIO|IST|IAD|MEX|
MEX|AAL,|AAL|IST|IAD|MEX|
MEX|AOE,|AOE|BRU|IAD|MEX|
MEX|JNB,|JNB|DKR|IAD|MEX|
MEX|LBV,|LBV|DLA|BRU|IAD|MEX|
MEX|ADA,|ADA|SAW|FRA|IAD|MEX|
MEX|ADB,|ADB|HAM|EWR|MEX|
MEX|ADF,|ADF|ESB|VIE|IAD|MEX|
MEX|AJI,|AJI|ESB|VIE|IAD|MEX|
MEX|BAL,|BAL|ESB|VIE|IAD|MEX|
MEX|BJV,|BJV|IST|IAD|MEX|
MEX|CKZ,|CKZ|ESB|VIE|IAD|MEX|
MEX|DIY,|DIY|ESB|VIE|IAD|MEX|
