XUZ|ANU,|ANU|EWR|PEK|HSN|LYG|XUZ|
XUZ|AUA,|AUA|EWR|PEK|HSN|LYG|XUZ|
XUZ|AUH,|AUH|IST|URC|INC|XUZ|
XUZ|BCN,|BCN|IST|URC|INC|XUZ|
XUZ|BDA,|BDA|EWR|PEK|HSN|LYG|XUZ|
XUZ|BGI,|BGI|YYZ|PEK|HSN|LYG|XUZ|
XUZ|BNA,|BNA|ORD|PEK|HSN|LYG|XUZ|
XUZ|BOG,|BOG|MIA|ORD|PEK|HSN|LYG|XUZ|
XUZ|BWI,|BWI|YYZ|PEK|HSN|LYG|XUZ|
XUZ|CLE,|CLE|YYZ|PEK|HSN|LYG|XUZ|
XUZ|CLT,|CLT|YYZ|PEK|HSN|LYG|XUZ|
XUZ|CMH,|CMH|ORD|PEK|HSN|LYG|XUZ|
XUZ|CVG,|CVG|ORD|PEK|HSN|LYG|XUZ|
XUZ|DFW,|DFW|YVR|PEK|HSN|LYG|XUZ|
XUZ|DTW,|DTW|PEK|HSN|LYG|XUZ|
XUZ|DUB,|DUB|IST|URC|INC|XUZ|
XUZ|FCO,|FCO|IST|URC|INC|XUZ|
XUZ|GCM,|GCM|YYZ|PEK|HSN|LYG|XUZ|
XUZ|GGT,|GGT|YYZ|PEK|HSN|LYG|XUZ|
XUZ|GND,|GND|YYZ|PEK|HSN|LYG|XUZ|
XUZ|GRU,|GRU|IST|URC|INC|XUZ|
XUZ|HAV,|HAV|YYZ|PEK|HSN|LYG|XUZ|
XUZ|IND,|IND|ORD|PEK|HSN|LYG|XUZ|
XUZ|JFK,|JFK|PEK|HSN|LYG|XUZ|
XUZ|KIN,|KIN|YYZ|PEK|HSN|LYG|XUZ|
XUZ|LIM,|LIM|IAH|PEK|HSN|LYG|XUZ|
XUZ|LIR,|LIR|IAH|PEK|HSN|LYG|XUZ|
XUZ|MCI,|MCI|DEN|YVR|PEK|HSN|LYG|XUZ|
XUZ|MDT,|MDT|YYZ|PEK|HSN|LYG|XUZ|
XUZ|MIA,|MIA|ORD|PEK|HSN|LYG|XUZ|
XUZ|MKE,|MKE|ORD|PEK|HSN|LYG|XUZ|
XUZ|MSP,|MSP|ORD|PEK|HSN|LYG|XUZ|
XUZ|NAS,|NAS|YYZ|PEK|HSN|LYG|XUZ|
XUZ|PHL,|PHL|YYZ|PEK|HSN|LYG|XUZ|
XUZ|PHX,|PHX|SEA|PEK|HSN|LYG|XUZ|
XUZ|PIT,|PIT|YYZ|PEK|HSN|LYG|XUZ|
XUZ|PLS,|PLS|EWR|PEK|HSN|LYG|XUZ|
XUZ|POP,|POP|EWR|PEK|HSN|LYG|XUZ|
XUZ|RDU,|RDU|YYZ|PEK|HSN|LYG|XUZ|
XUZ|ROC,|ROC|YYZ|PEK|HSN|LYG|XUZ|
XUZ|RSW,|RSW|ORD|PEK|HSN|LYG|XUZ|
XUZ|SAN,|SAN|LAX|PEK|HSN|LYG|XUZ|
XUZ|SJO,|SJO|IAH|PEK|HSN|LYG|XUZ|
XUZ|STL,|STL|ORD|PEK|HSN|LYG|XUZ|
XUZ|SYR,|SYR|YYZ|PEK|HSN|LYG|XUZ|
XUZ|TLV,|TLV|SAW|TBS|URC|INC|XUZ|
XUZ|TPA,|TPA|ORD|PEK|HSN|LYG|XUZ|
XUZ|UVF,|UVF|EWR|PEK|HSN|LYG|XUZ|
XUZ|VIE,|VIE|IST|URC|INC|XUZ|
XUZ|YAM,|YAM|YYZ|PEK|HSN|LYG|XUZ|
XUZ|YGK,|YGK|YYZ|PEK|HSN|LYG|XUZ|
XUZ|YQG,|YQG|YYZ|PEK|HSN|LYG|XUZ|
XUZ|YSB,|YSB|YYZ|PEK|HSN|LYG|XUZ|
XUZ|YTS,|YTS|YYZ|PEK|HSN|LYG|XUZ|
XUZ|YYB,|YYB|YYZ|PEK|HSN|LYG|XUZ|
XUZ|YZR,|YZR|YYZ|PEK|HSN|LYG|XUZ|
XUZ|CAN,|CAN|XUZ|
XUZ|URC,|URC|INC|XUZ|
XUZ|CTU,|CTU|XIY|INC|XUZ|
XUZ|HGH,|HGH|JJN|HSN|LYG|XUZ|
XUZ|XMN,|XMN|HSN|LYG|XUZ|
XUZ|CGO,|CGO|INC|XUZ|
XUZ|CSX,|CSX|CAN|XUZ|
XUZ|SHE,|SHE|PEK|HSN|LYG|XUZ|
XUZ|SJW,|SJW|CAN|XUZ|
XUZ|WUH,|WUH|CAN|XUZ|
XUZ|SZX,|SZX|MXZ|CAN|XUZ|
XUZ|CKG,|CKG|XIY|INC|XUZ|
XUZ|KMG,|KMG|CAN|XUZ|
XUZ|FOC,|FOC|CAN|XUZ|
XUZ|NNG,|NNG|CAN|XUZ|
XUZ|SWA,|SWA|CAN|XUZ|
XUZ|ACX,|ACX|CAN|XUZ|
XUZ|AQG,|AQG|CAN|XUZ|
XUZ|AVA,|AVA|CAN|XUZ|
XUZ|BFJ,|BFJ|CAN|XUZ|
XUZ|BHY,|BHY|CAN|XUZ|
XUZ|BNE,|BNE|CAN|XUZ|
XUZ|CGD,|CGD|CAN|XUZ|
XUZ|CGK,|CGK|CAN|XUZ|
XUZ|CGQ,|CGQ|PEK|HSN|LYG|XUZ|
XUZ|CIH,|CIH|DAT|TYN|INC|XUZ|
XUZ|CNX,|CNX|CAN|XUZ|
XUZ|CZX,|CZX|CAN|XUZ|
XUZ|DAC,|DAC|CAN|XUZ|
XUZ|DAD,|DAD|CAN|XUZ|
XUZ|DEL,|DEL|CAN|XUZ|
XUZ|DIG,|DIG|CAN|XUZ|
XUZ|DLC,|DLC|PEK|HSN|LYG|XUZ|
XUZ|DPS,|DPS|CAN|XUZ|
XUZ|DXB,|DXB|CAN|XUZ|
XUZ|DYG,|DYG|CAN|XUZ|
XUZ|FUG,|FUG|CAN|XUZ|
XUZ|FUK,|FUK|CAN|XUZ|
XUZ|HAK,|HAK|CAN|XUZ|
XUZ|HAN,|HAN|CAN|XUZ|
XUZ|HDG,|HDG|CAN|XUZ|
XUZ|HET,|HET|INC|XUZ|
XUZ|HFE,|HFE|CAN|XUZ|
XUZ|HJJ,|HJJ|CAN|XUZ|
XUZ|HKT,|HKT|CAN|XUZ|
XUZ|HRB,|HRB|PEK|HSN|LYG|XUZ|
XUZ|HZH,|HZH|CAN|XUZ|
XUZ|JIU,|JIU|CAN|XUZ|
XUZ|JJN,|JJN|HSN|LYG|XUZ|
