DMM|TGO,|TGO|HET|URC|IST|DMM|
DMM|XIL,|XIL|HET|URC|IST|DMM|
DMM|HEK,|HEK|HRB|PEK|IST|DMM|
DMM|KIJ,|KIJ|HRB|PEK|IST|DMM|
DMM|LDS,|LDS|HRB|PEK|IST|DMM|
DMM|OHE,|OHE|HRB|PEK|IST|DMM|
DMM|HSN,|HSN|LYG|XUZ|INC|URC|IST|DMM|
DMM|DLU,|DLU|KMG|CTU|URC|IST|DMM|
DMM|SYM,|SYM|KMG|CTU|URC|IST|DMM|
DMM|ZAT,|ZAT|KMG|CTU|URC|IST|DMM|
DMM|LUN,|LUN|NBO|IST|DMM|
DMM|AOG,|AOG|PEK|IST|DMM|
DMM|GMP,|GMP|PEK|IST|DMM|
DMM|ISB,|ISB|IST|DMM|
DMM|TAS,|TAS|IST|DMM|
DMM|WUS,|WUS|PEK|IST|DMM|
DMM|JMU,|JMU|PVG|IST|DMM|
DMM|NDG,|NDG|PVG|IST|DMM|
DMM|JXA,|JXA|SHE|PEK|IST|DMM|
DMM|PUS,|PUS|SHE|PEK|IST|DMM|
DMM|BKI,|BKI|SZX|CKG|URC|IST|DMM|
DMM|AKU,|AKU|URC|IST|DMM|
DMM|ALA,|ALA|IST|DMM|
DMM|ASB,|ASB|IST|DMM|
DMM|DNH,|DNH|URC|IST|DMM|
DMM|DYU,|DYU|IST|DMM|
DMM|FRU,|FRU|IST|DMM|
DMM|GYD,|GYD|IST|DMM|
DMM|HTN,|HTN|URC|IST|DMM|
DMM|IKA,|IKA|IST|DMM|
DMM|KCA,|KCA|URC|IST|DMM|
DMM|KHG,|KHG|URC|IST|DMM|
DMM|KRL,|KRL|URC|IST|DMM|
DMM|KRY,|KRY|URC|IST|DMM|
DMM|LBD,|LBD|URC|IST|DMM|
DMM|NLT,|NLT|URC|IST|DMM|
DMM|OSS,|OSS|IST|DMM|
DMM|OVB,|OVB|IST|DMM|
DMM|TBS,|TBS|IST|DMM|
DMM|TCG,|TCG|URC|IST|DMM|
DMM|TSE,|TSE|IST|DMM|
DMM|YIN,|YIN|URC|IST|DMM|
DMM|ENH,|ENH|WUH|URC|IST|DMM|
DMM|ENY,|ENY|XIY|URC|IST|DMM|
DMM|WXN,|WXN|XIY|URC|IST|DMM|
DMM|BLL,|BLL|IST|DMM|
DMM|ESB,|ESB|IST|DMM|
DMM|SAW,|SAW|ADB|IST|DMM|
DMM|HAM,|HAM|IST|DMM|
DMM|HRE,|HRE|ADD|IST|DMM|
DMM|JUB,|JUB|CAI|IST|DMM|
DMM|SSG,|SSG|DLA|IST|DMM|
DMM|BGW,|BGW|IST|DMM|
DMM|EBL,|EBL|IST|DMM|
DMM|VKO,|VKO|IST|DMM|
DMM|MCT,|MCT|IST|DMM|
DMM|AYT,|AYT|IST|DMM|
DMM|SCQ,|SCQ|BIO|IST|DMM|
DMM|AAL,|AAL|IST|DMM|
DMM|AOE,|AOE|BRU|IST|DMM|
DMM|JNB,|JNB|IST|DMM|
DMM|LBV,|LBV|DLA|IST|DMM|
DMM|ADA,|ADA|IST|DMM|
DMM|ADB,|ADB|IST|DMM|
DMM|ADF,|ADF|IST|DMM|
DMM|AJI,|AJI|IST|DMM|
DMM|BAL,|BAL|IST|DMM|
DMM|BJV,|BJV|IST|DMM|
DMM|CKZ,|CKZ|ESB|IST|DMM|
DMM|DIY,|DIY|IST|DMM|
DMM|ECN,|ECN|IST|DMM|
DMM|ERC,|ERC|IST|DMM|
DMM|ERZ,|ERZ|IST|DMM|
DMM|EZS,|EZS|IST|DMM|
DMM|GNY,|GNY|IST|DMM|
DMM|GZP,|GZP|ESB|IST|DMM|
DMM|GZT,|GZT|IST|DMM|
DMM|HTY,|HTY|IST|DMM|
DMM|KCM,|KCM|IST|DMM|
DMM|KSY,|KSY|IST|DMM|
DMM|MLX,|MLX|IST|DMM|
DMM|MQM,|MQM|IST|DMM|
DMM|MSR,|MSR|IST|DMM|
DMM|TEQ,|TEQ|ESB|IST|DMM|
DMM|TZX,|TZX|IST|DMM|
DMM|VAN,|VAN|IST|DMM|
DMM|ULN,|ULN|FRU|IST|DMM|
DMM|HIJ,|HIJ|ICN|IST|DMM|
DMM|VVO,|VVO|ICN|IST|DMM|
DMM|ACC,|ACC|IST|DMM|
DMM|AER,|AER|IST|DMM|
DMM|AGP,|AGP|IST|DMM|
DMM|ALG,|ALG|IST|DMM|
DMM|AMM,|AMM|IST|DMM|
DMM|AQJ,|AQJ|IST|DMM|
DMM|ARN,|ARN|IST|DMM|
DMM|ASR,|ASR|IST|DMM|
DMM|ATH,|ATH|IST|DMM|
DMM|BAH,|BAH|IST|DMM|
DMM|BEG,|BEG|IST|DMM|
DMM|BEN,|BEN|IST|DMM|
DMM|BEY,|BEY|IST|DMM|
DMM|BHX,|BHX|IST|DMM|
DMM|BIO,|BIO|IST|DMM|
DMM|BLQ,|BLQ|IST|DMM|
DMM|BOM,|BOM|IST|DMM|
DMM|BRE,|BRE|IST|DMM|
DMM|BSL,|BSL|IST|DMM|
DMM|BSR,|BSR|IST|DMM|
DMM|BUD,|BUD|IST|DMM|
DMM|BUS,|BUS|IST|DMM|
DMM|CAI,|CAI|IST|DMM|
DMM|CGN,|CGN|IST|DMM|
DMM|CMN,|CMN|IST|DMM|
DMM|CND,|CND|IST|DMM|
DMM|DAR,|DAR|IST|DMM|
DMM|DLM,|DLM|IST|DMM|
DMM|DNK,|DNK|IST|DMM|
DMM|DNZ,|DNZ|IST|DMM|
DMM|DOK,|DOK|IST|DMM|
DMM|DUS,|DUS|IST|DMM|
DMM|EDI,|EDI|IST|DMM|
DMM|ELQ,|ELQ|IST|DMM|
DMM|FDH,|FDH|IST|DMM|
DMM|GOA,|GOA|IST|DMM|
DMM|GOT,|GOT|IST|DMM|
DMM|HAJ,|HAJ|IST|DMM|
DMM|HBE,|HBE|IST|DMM|
DMM|HEL,|HEL|IST|DMM|
DMM|HRG,|HRG|IST|DMM|
DMM|IFN,|IFN|IST|DMM|
DMM|ISE,|ISE|IST|DMM|
DMM|ISU,|ISU|IST|DMM|
DMM|JIB,|JIB|IST|DMM|
DMM|JRO,|JRO|IST|DMM|
DMM|KAN,|KAN|IST|DMM|
DMM|KBL,|KBL|IST|DMM|
DMM|KBP,|KBP|IST|DMM|
