HEK|TOY,|TOY|DLC|ICN|HRB|HEK|
HEK|MFM,|MFM|HGH|HRB|HEK|
HEK|TGO,|TGO|HET|TSN|HRB|HEK|
HEK|XIL,|XIL|HET|TSN|HRB|HEK|
HEK|KIJ,|KIJ|HRB|HEK|
HEK|LDS,|LDS|HRB|HEK|
HEK|OHE,|OHE|HRB|HEK|
HEK|HSN,|HSN|PEK|HRB|HEK|
HEK|DLU,|DLU|KMG|CKG|TSN|HRB|HEK|
HEK|SYM,|SYM|KMG|CKG|TSN|HRB|HEK|
HEK|ZAT,|ZAT|KMG|CKG|TSN|HRB|HEK|
HEK|LUN,|LUN|NBO|CAN|HRB|HEK|
HEK|AOG,|AOG|PEK|HRB|HEK|
HEK|GMP,|GMP|PEK|HRB|HEK|
HEK|ISB,|ISB|PEK|HRB|HEK|
HEK|TAS,|TAS|PEK|HRB|HEK|
HEK|WUS,|WUS|PEK|HRB|HEK|
HEK|JMU,|JMU|PVG|HRB|HEK|
HEK|NDG,|NDG|PVG|HRB|HEK|
HEK|JXA,|JXA|SHE|ICN|HRB|HEK|
HEK|PUS,|PUS|SHE|ICN|HRB|HEK|
HEK|BKI,|BKI|SZX|HRB|HEK|
HEK|AKU,|AKU|URC|PEK|HRB|HEK|
HEK|ALA,|ALA|URC|PEK|HRB|HEK|
HEK|ASB,|ASB|URC|PEK|HRB|HEK|
HEK|DNH,|DNH|XIY|HRB|HEK|
HEK|DYU,|DYU|URC|PEK|HRB|HEK|
HEK|FRU,|FRU|URC|PEK|HRB|HEK|
HEK|GYD,|GYD|URC|PEK|HRB|HEK|
HEK|HTN,|HTN|URC|PEK|HRB|HEK|
HEK|IKA,|IKA|URC|PEK|HRB|HEK|
HEK|KCA,|KCA|URC|PEK|HRB|HEK|
HEK|KHG,|KHG|URC|PEK|HRB|HEK|
HEK|KRL,|KRL|URC|PEK|HRB|HEK|
HEK|KRY,|KRY|URC|PEK|HRB|HEK|
HEK|LBD,|LBD|URC|PEK|HRB|HEK|
HEK|NLT,|NLT|URC|PEK|HRB|HEK|
HEK|OSS,|OSS|URC|PEK|HRB|HEK|
HEK|OVB,|OVB|URC|PEK|HRB|HEK|
HEK|TBS,|TBS|URC|PEK|HRB|HEK|
HEK|TCG,|TCG|URC|PEK|HRB|HEK|
