MIA|BGW,|BGW|IST|ZRH|MIA|
MIA|EBL,|EBL|IST|ZRH|MIA|
MIA|VKO,|VKO|IST|ZRH|MIA|
MIA|MCT,|MCT|IST|ZRH|MIA|
MIA|AYT,|AYT|IST|ZRH|MIA|
MIA|SCQ,|SCQ|BIO|IST|ZRH|MIA|
MIA|AAL,|AAL|IST|ZRH|MIA|
MIA|AOE,|AOE|BRU|EWR|MIA|
MIA|JNB,|JNB|DKR|IAD|MIA|
MIA|LBV,|LBV|DLA|BRU|EWR|MIA|
MIA|ADA,|ADA|IST|ZRH|MIA|
MIA|ADB,|ADB|IST|ZRH|MIA|
MIA|ADF,|ADF|ESB|FRA|MIA|
MIA|AJI,|AJI|ESB|FRA|MIA|
MIA|BAL,|BAL|ESB|FRA|MIA|
MIA|BJV,|BJV|IST|ZRH|MIA|
MIA|CKZ,|CKZ|ESB|FRA|MIA|
MIA|DIY,|DIY|ESB|FRA|MIA|
MIA|ECN,|ECN|IST|ZRH|MIA|
MIA|ERC,|ERC|ESB|FRA|MIA|
MIA|ERZ,|ERZ|ESB|FRA|MIA|
MIA|EZS,|EZS|ESB|FRA|MIA|
MIA|GNY,|GNY|ESB|FRA|MIA|
MIA|GZP,|GZP|ESB|FRA|MIA|
MIA|GZT,|GZT|IST|ZRH|MIA|
MIA|HTY,|HTY|IST|ZRH|MIA|
MIA|KCM,|KCM|IST|ZRH|MIA|
MIA|KSY,|KSY|IST|ZRH|MIA|
MIA|MLX,|MLX|ESB|FRA|MIA|
MIA|MQM,|MQM|ESB|FRA|MIA|
MIA|MSR,|MSR|ESB|FRA|MIA|
MIA|TEQ,|TEQ|ESB|FRA|MIA|
MIA|TZX,|TZX|IST|ZRH|MIA|
MIA|VAN,|VAN|ESB|FRA|MIA|
MIA|ULN,|ULN|FRU|IST|ZRH|MIA|
MIA|HIJ,|HIJ|ICN|YVR|DEN|MIA|
MIA|VVO,|VVO|ICN|YVR|DEN|MIA|
MIA|ACC,|ACC|IST|ZRH|MIA|
MIA|AER,|AER|IST|ZRH|MIA|
MIA|AGP,|AGP|IST|ZRH|MIA|
MIA|ALG,|ALG|IST|ZRH|MIA|
MIA|AMM,|AMM|IST|ZRH|MIA|
MIA|AQJ,|AQJ|IST|ZRH|MIA|
MIA|ARN,|ARN|EWR|MIA|
MIA|ASR,|ASR|IST|ZRH|MIA|
MIA|ATH,|ATH|IST|ZRH|MIA|
MIA|BAH,|BAH|IST|ZRH|MIA|
MIA|BEG,|BEG|IST|ZRH|MIA|
MIA|BEN,|BEN|IST|ZRH|MIA|
MIA|BEY,|BEY|IST|ZRH|MIA|
MIA|BHX,|BHX|EWR|MIA|
MIA|BIO,|BIO|IST|ZRH|MIA|
MIA|BLQ,|BLQ|IST|ZRH|MIA|
MIA|BOM,|BOM|EWR|MIA|
MIA|BRE,|BRE|IST|ZRH|MIA|
MIA|BSL,|BSL|IST|ZRH|MIA|
MIA|BSR,|BSR|IST|ZRH|MIA|
MIA|BUD,|BUD|IST|ZRH|MIA|
MIA|BUS,|BUS|IST|ZRH|MIA|
MIA|CAI,|CAI|IST|ZRH|MIA|
