NGB|LXA,|LXA|CKG|WUH|NGB|
NGB|YCU,|YCU|CSX|NGB|
NGB|LZO,|LZO|CSX|NGB|
NGB|MDG,|MDG|DLC|NGB|
NGB|NGO,|NGO|DLC|NGB|
NGB|TOY,|TOY|DLC|NGB|
NGB|MFM,|MFM|XMN|NGB|
NGB|TGO,|TGO|HET|TAO|NGB|
NGB|XIL,|XIL|HET|TAO|NGB|
NGB|HEK,|HEK|HRB|NGB|
NGB|KIJ,|KIJ|HRB|NGB|
NGB|LDS,|LDS|HRB|NGB|
NGB|OHE,|OHE|HRB|NGB|
NGB|HSN,|HSN|XMN|NGB|
NGB|DLU,|DLU|KWE|CSX|NGB|
NGB|SYM,|SYM|KMG|CSX|NGB|
NGB|ZAT,|ZAT|KMG|CSX|NGB|
NGB|LUN,|LUN|NBO|CAN|NGB|
NGB|AOG,|AOG|PEK|NGB|
NGB|GMP,|GMP|PEK|NGB|
NGB|ISB,|ISB|PEK|NGB|
NGB|TAS,|TAS|URC|WUH|NGB|
NGB|WUS,|WUS|PEK|NGB|
NGB|JMU,|JMU|PVG|TAO|NGB|
NGB|NDG,|NDG|PVG|TAO|NGB|
NGB|JXA,|JXA|SHE|TAO|NGB|
NGB|PUS,|PUS|SHE|TAO|NGB|
NGB|BKI,|BKI|SZX|NGB|
NGB|AKU,|AKU|URC|WUH|NGB|
NGB|ALA,|ALA|URC|WUH|NGB|
NGB|ASB,|ASB|URC|WUH|NGB|
NGB|DNH,|DNH|XIY|WUH|NGB|
NGB|DYU,|DYU|URC|WUH|NGB|
NGB|FRU,|FRU|URC|WUH|NGB|
NGB|GYD,|GYD|URC|WUH|NGB|
NGB|HTN,|HTN|URC|WUH|NGB|
NGB|IKA,|IKA|URC|WUH|NGB|
NGB|KCA,|KCA|URC|WUH|NGB|
NGB|KHG,|KHG|URC|WUH|NGB|
NGB|KRL,|KRL|URC|WUH|NGB|
NGB|KRY,|KRY|URC|WUH|NGB|
NGB|LBD,|LBD|URC|WUH|NGB|
NGB|NLT,|NLT|URC|WUH|NGB|
NGB|OSS,|OSS|URC|WUH|NGB|
NGB|OVB,|OVB|URC|WUH|NGB|
NGB|TBS,|TBS|URC|WUH|NGB|
NGB|TCG,|TCG|URC|WUH|NGB|
NGB|TSE,|TSE|URC|WUH|NGB|
NGB|YIN,|YIN|URC|WUH|NGB|
NGB|ENH,|ENH|WUH|NGB|
NGB|ENY,|ENY|XIY|WUH|NGB|
NGB|WXN,|WXN|XIY|WUH|NGB|
NGB|BLL,|BLL|IST|URC|WUH|NGB|
NGB|ESB,|ESB|SAW|TBS|URC|WUH|NGB|
NGB|SAW,|SAW|TBS|URC|WUH|NGB|
NGB|HAM,|HAM|IST|URC|WUH|NGB|
NGB|HRE,|HRE|ADD|IST|URC|WUH|NGB|
NGB|JUB,|JUB|CAI|IST|URC|WUH|NGB|
NGB|SSG,|SSG|DLA|IST|URC|WUH|NGB|
NGB|BGW,|BGW|ESB|SAW|TBS|URC|WUH|NGB|
NGB|EBL,|EBL|IST|URC|WUH|NGB|
NGB|VKO,|VKO|IST|URC|WUH|NGB|
NGB|MCT,|MCT|IST|URC|WUH|NGB|
NGB|AYT,|AYT|IST|URC|WUH|NGB|
NGB|SCQ,|SCQ|BIO|IST|URC|WUH|NGB|
NGB|AAL,|AAL|IST|URC|WUH|NGB|
NGB|AOE,|AOE|BRU|IST|URC|WUH|NGB|
NGB|JNB,|JNB|IST|URC|WUH|NGB|
NGB|LBV,|LBV|DLA|IST|URC|WUH|NGB|
NGB|ADA,|ADA|SAW|TBS|URC|WUH|NGB|
NGB|ADB,|ADB|IST|URC|WUH|NGB|
NGB|ADF,|ADF|ESB|SAW|TBS|URC|WUH|NGB|
NGB|AJI,|AJI|ESB|SAW|TBS|URC|WUH|NGB|
NGB|BAL,|BAL|ESB|SAW|TBS|URC|WUH|NGB|
NGB|BJV,|BJV|IST|URC|WUH|NGB|
NGB|CKZ,|CKZ|ESB|SAW|TBS|URC|WUH|NGB|
NGB|DIY,|DIY|SAW|TBS|URC|WUH|NGB|
NGB|ECN,|ECN|SAW|TBS|URC|WUH|NGB|
NGB|ERC,|ERC|ESB|SAW|TBS|URC|WUH|NGB|
NGB|ERZ,|ERZ|SAW|TBS|URC|WUH|NGB|
NGB|EZS,|EZS|SAW|TBS|URC|WUH|NGB|
NGB|GNY,|GNY|ESB|SAW|TBS|URC|WUH|NGB|
NGB|GZP,|GZP|ESB|SAW|TBS|URC|WUH|NGB|
NGB|GZT,|GZT|SAW|TBS|URC|WUH|NGB|
NGB|HTY,|HTY|SAW|TBS|URC|WUH|NGB|
NGB|KCM,|KCM|ESB|SAW|TBS|URC|WUH|NGB|
NGB|KSY,|KSY|SAW|TBS|URC|WUH|NGB|
NGB|MLX,|MLX|ESB|SAW|TBS|URC|WUH|NGB|
NGB|MQM,|MQM|SAW|TBS|URC|WUH|NGB|
NGB|MSR,|MSR|ESB|SAW|TBS|URC|WUH|NGB|
NGB|TEQ,|TEQ|ESB|SAW|TBS|URC|WUH|NGB|
NGB|TZX,|TZX|SAW|TBS|URC|WUH|NGB|
NGB|VAN,|VAN|SAW|TBS|URC|WUH|NGB|
NGB|ULN,|ULN|FRU|URC|WUH|NGB|
NGB|HIJ,|HIJ|ICN|DLC|NGB|
NGB|VVO,|VVO|ICN|DLC|NGB|
NGB|ACC,|ACC|IST|URC|WUH|NGB|
NGB|AER,|AER|IST|URC|WUH|NGB|
NGB|AGP,|AGP|IST|URC|WUH|NGB|
NGB|ALG,|ALG|IST|URC|WUH|NGB|
NGB|AMM,|AMM|IST|URC|WUH|NGB|
NGB|AQJ,|AQJ|IST|URC|WUH|NGB|
NGB|ARN,|ARN|IST|URC|WUH|NGB|
NGB|ASR,|ASR|SAW|TBS|URC|WUH|NGB|
NGB|ATH,|ATH|IST|URC|WUH|NGB|
NGB|BAH,|BAH|KWI|SAW|TBS|URC|WUH|NGB|
NGB|BEG,|BEG|IST|URC|WUH|NGB|
NGB|BEN,|BEN|IST|URC|WUH|NGB|
NGB|BEY,|BEY|IST|URC|WUH|NGB|
NGB|BHX,|BHX|IST|URC|WUH|NGB|
NGB|BIO,|BIO|IST|URC|WUH|NGB|
NGB|BLQ,|BLQ|IST|URC|WUH|NGB|
NGB|BOM,|BOM|IST|URC|WUH|NGB|
NGB|BRE,|BRE|IST|URC|WUH|NGB|
NGB|BSL,|BSL|IST|URC|WUH|NGB|
NGB|BSR,|BSR|IST|URC|WUH|NGB|
NGB|BUD,|BUD|IST|URC|WUH|NGB|
NGB|BUS,|BUS|IST|URC|WUH|NGB|
NGB|CAI,|CAI|IST|URC|WUH|NGB|
NGB|CGN,|CGN|IST|URC|WUH|NGB|
NGB|CMN,|CMN|IST|URC|WUH|NGB|
NGB|CND,|CND|IST|URC|WUH|NGB|
NGB|DAR,|DAR|NBO|CAN|NGB|
NGB|DLM,|DLM|IST|URC|WUH|NGB|
NGB|DMM,|DMM|IST|URC|WUH|NGB|
NGB|DNK,|DNK|IST|URC|WUH|NGB|
NGB|DNZ,|DNZ|IST|URC|WUH|NGB|
NGB|DOK,|DOK|IST|URC|WUH|NGB|
NGB|DUS,|DUS|IST|URC|WUH|NGB|
NGB|EDI,|EDI|IST|URC|WUH|NGB|
NGB|ELQ,|ELQ|IST|URC|WUH|NGB|
NGB|FDH,|FDH|IST|URC|WUH|NGB|
NGB|GOA,|GOA|IST|URC|WUH|NGB|
NGB|GOT,|GOT|IST|URC|WUH|NGB|
NGB|HAJ,|HAJ|IST|URC|WUH|NGB|
NGB|HBE,|HBE|IST|URC|WUH|NGB|
NGB|HEL,|HEL|IST|URC|WUH|NGB|
NGB|HRG,|HRG|IST|URC|WUH|NGB|
NGB|IFN,|IFN|IST|URC|WUH|NGB|
NGB|ISE,|ISE|IST|URC|WUH|NGB|
NGB|ISU,|ISU|IST|URC|WUH|NGB|
NGB|JIB,|JIB|IST|URC|WUH|NGB|
NGB|JRO,|JRO|IST|URC|WUH|NGB|
NGB|KAN,|KAN|IST|URC|WUH|NGB|
NGB|KBL,|KBL|IST|URC|WUH|NGB|
NGB|KBP,|KBP|IST|URC|WUH|NGB|
NGB|KFS,|KFS|IST|URC|WUH|NGB|
NGB|KHI,|KHI|IST|URC|WUH|NGB|
NGB|KIV,|KIV|IST|URC|WUH|NGB|
NGB|KRT,|KRT|IST|URC|WUH|NGB|
NGB|KSH,|KSH|IST|URC|WUH|NGB|
NGB|KVD,|KVD|IST|URC|WUH|NGB|
NGB|KWI,|KWI|SAW|TBS|URC|WUH|NGB|
NGB|KYA,|KYA|SAW|TBS|URC|WUH|NGB|
NGB|KZN,|KZN|IST|URC|WUH|NGB|
NGB|KZR,|KZR|IST|URC|WUH|NGB|
NGB|LED,|LED|IST|URC|WUH|NGB|
NGB|LEJ,|LEJ|IST|URC|WUH|NGB|
NGB|LGW,|LGW|IST|URC|WUH|NGB|
NGB|LHE,|LHE|IST|URC|WUH|NGB|
NGB|LIS,|LIS|IST|URC|WUH|NGB|
NGB|LJU,|LJU|IST|URC|WUH|NGB|
NGB|LOS,|LOS|IST|URC|WUH|NGB|
NGB|LUX,|LUX|IST|URC|WUH|NGB|
NGB|LWO,|LWO|IST|URC|WUH|NGB|
NGB|LYS,|LYS|IST|URC|WUH|NGB|
NGB|MAD,|MAD|IST|URC|WUH|NGB|
NGB|MAN,|MAN|IST|URC|WUH|NGB|
NGB|MED,|MED|IST|URC|WUH|NGB|
NGB|MHD,|MHD|IST|URC|WUH|NGB|
NGB|MLA,|MLA|IST|URC|WUH|NGB|
NGB|MRS,|MRS|IST|URC|WUH|NGB|
NGB|MSQ,|MSQ|IST|URC|WUH|NGB|
NGB|MXP,|MXP|IST|URC|WUH|NGB|
NGB|MZH,|MZH|IST|URC|WUH|NGB|
NGB|MZR,|MZR|IST|URC|WUH|NGB|
NGB|NAJ,|NAJ|IST|URC|WUH|NGB|
NGB|NAV,|NAV|IST|URC|WUH|NGB|
NGB|NCE,|NCE|IST|URC|WUH|NGB|
NGB|NIM,|NIM|IST|URC|WUH|NGB|
NGB|NJF,|NJF|IST|URC|WUH|NGB|
NGB|NSI,|NSI|IST|URC|WUH|NGB|
NGB|NUE,|NUE|IST|URC|WUH|NGB|
NGB|ODS,|ODS|IST|URC|WUH|NGB|
NGB|ORN,|ORN|IST|URC|WUH|NGB|
NGB|OTP,|OTP|IST|URC|WUH|NGB|
NGB|PRG,|PRG|IST|URC|WUH|NGB|
NGB|PRN,|PRN|IST|URC|WUH|NGB|
NGB|RIX,|RIX|IST|URC|WUH|NGB|
NGB|ROV,|ROV|IST|URC|WUH|NGB|
NGB|RTM,|RTM|IST|URC|WUH|NGB|
NGB|RUH,|RUH|IST|URC|WUH|NGB|
NGB|SAH,|SAH|IST|URC|WUH|NGB|
NGB|SJJ,|SJJ|IST|URC|WUH|NGB|
NGB|SKG,|SKG|IST|URC|WUH|NGB|
NGB|SKP,|SKP|IST|URC|WUH|NGB|
NGB|SSH,|SSH|IST|URC|WUH|NGB|
NGB|STR,|STR|IST|URC|WUH|NGB|
NGB|SVX,|SVX|IST|URC|WUH|NGB|
NGB|SYZ,|SYZ|IST|URC|WUH|NGB|
NGB|SZG,|SZG|IST|URC|WUH|NGB|
NGB|TBZ,|TBZ|IST|URC|WUH|NGB|
NGB|TGD,|TGD|IST|URC|WUH|NGB|
NGB|TIA,|TIA|IST|URC|WUH|NGB|
NGB|TIF,|TIF|IST|URC|WUH|NGB|
NGB|TIP,|TIP|IST|URC|WUH|NGB|
NGB|TLL,|TLL|IST|URC|WUH|NGB|
NGB|TLS,|TLS|IST|URC|WUH|NGB|
NGB|TRN,|TRN|IST|URC|WUH|NGB|
NGB|TUN,|TUN|IST|URC|WUH|NGB|
NGB|TXL,|TXL|IST|URC|WUH|NGB|
NGB|UFA,|UFA|IST|URC|WUH|NGB|
NGB|VAS,|VAS|SAW|TBS|URC|WUH|NGB|
NGB|VCE,|VCE|IST|URC|WUH|NGB|
NGB|YNB,|YNB|IST|URC|WUH|NGB|
NGB|ZAG,|ZAG|IST|URC|WUH|NGB|
