HPN|GCM,|GCM|IAD|ORD|HPN|
HPN|GGT,|GGT|FLL|ORD|HPN|
HPN|GND,|GND|YYZ|ORD|HPN|
HPN|GRU,|GRU|ORD|HPN|
HPN|HAV,|HAV|YYZ|ORD|HPN|
HPN|IND,|IND|ORD|HPN|
HPN|JFK,|JFK|YYZ|ORD|HPN|
HPN|KIN,|KIN|YYZ|ORD|HPN|
HPN|LIM,|LIM|MIA|ORD|HPN|
HPN|LIR,|LIR|IAH|ORD|HPN|
HPN|MCI,|MCI|ORD|HPN|
HPN|MDT,|MDT|ORD|HPN|
HPN|MIA,|MIA|ORD|HPN|
HPN|MKE,|MKE|ORD|HPN|
HPN|MSP,|MSP|ORD|HPN|
HPN|NAS,|NAS|ORD|HPN|
HPN|PHL,|PHL|ORD|HPN|
HPN|PHX,|PHX|ORD|HPN|
HPN|PIT,|PIT|ORD|HPN|
HPN|PLS,|PLS|YYZ|ORD|HPN|
HPN|POP,|POP|YYZ|ORD|HPN|
HPN|RDU,|RDU|ORD|HPN|
HPN|ROC,|ROC|ORD|HPN|
HPN|RSW,|RSW|ORD|HPN|
HPN|SAN,|SAN|ORD|HPN|
HPN|SJO,|SJO|ORD|HPN|
HPN|STL,|STL|ORD|HPN|
HPN|SYR,|SYR|ORD|HPN|
HPN|TLV,|TLV|IST|ORD|HPN|
HPN|TPA,|TPA|ORD|HPN|
HPN|UVF,|UVF|EWR|ORD|HPN|
HPN|VIE,|VIE|ORD|HPN|
HPN|YAM,|YAM|YYZ|ORD|HPN|
HPN|YGK,|YGK|YYZ|ORD|HPN|
HPN|YQG,|YQG|YYZ|ORD|HPN|
HPN|YSB,|YSB|YYZ|ORD|HPN|
HPN|YTS,|YTS|YYZ|ORD|HPN|
HPN|YYB,|YYB|YYZ|ORD|HPN|
HPN|YZR,|YZR|YYZ|ORD|HPN|
HPN|CAN,|CAN|PEK|ORD|HPN|
HPN|URC,|URC|TSE|FRA|ORD|HPN|
HPN|CTU,|CTU|PEK|ORD|HPN|
HPN|HGH,|HGH|PEK|ORD|HPN|
HPN|XMN,|XMN|PEK|ORD|HPN|
HPN|CGO,|CGO|PEK|ORD|HPN|
HPN|CSX,|CSX|PEK|ORD|HPN|
HPN|SHE,|SHE|PEK|ORD|HPN|
HPN|SJW,|SJW|DLC|PEK|ORD|HPN|
HPN|WUH,|WUH|PEK|ORD|HPN|
HPN|SZX,|SZX|PEK|ORD|HPN|
HPN|CKG,|CKG|PEK|ORD|HPN|
HPN|KMG,|KMG|PEK|ORD|HPN|
HPN|FOC,|FOC|PEK|ORD|HPN|
HPN|NNG,|NNG|PEK|ORD|HPN|
HPN|SWA,|SWA|PEK|ORD|HPN|
HPN|ACX,|ACX|CAN|PEK|ORD|HPN|
HPN|AQG,|AQG|CAN|PEK|ORD|HPN|
HPN|AVA,|AVA|CAN|PEK|ORD|HPN|
HPN|BFJ,|BFJ|CAN|PEK|ORD|HPN|
HPN|BHY,|BHY|CGO|PEK|ORD|HPN|
HPN|BNE,|BNE|CAN|PEK|ORD|HPN|
HPN|CGD,|CGD|PEK|ORD|HPN|
HPN|CGK,|CGK|CAN|PEK|ORD|HPN|
HPN|CGQ,|CGQ|PEK|ORD|HPN|
HPN|CIH,|CIH|PEK|ORD|HPN|
HPN|CNX,|CNX|CAN|PEK|ORD|HPN|
HPN|CZX,|CZX|SHE|PEK|ORD|HPN|
HPN|DAC,|DAC|IST|ORD|HPN|
HPN|DAD,|DAD|CAN|PEK|ORD|HPN|
HPN|DEL,|DEL|EWR|ORD|HPN|
