MXP|GMP,|GMP|PEK|IST|MXP|
MXP|ISB,|ISB|IST|MXP|
MXP|TAS,|TAS|IST|MXP|
MXP|WUS,|WUS|PEK|IST|MXP|
MXP|JMU,|JMU|PVG|IST|MXP|
MXP|NDG,|NDG|PVG|IST|MXP|
MXP|JXA,|JXA|SHE|PEK|IST|MXP|
MXP|PUS,|PUS|SHE|PEK|IST|MXP|
MXP|BKI,|BKI|SZX|CKG|URC|IST|MXP|
MXP|AKU,|AKU|URC|IST|MXP|
MXP|ALA,|ALA|IST|MXP|
MXP|ASB,|ASB|IST|MXP|
MXP|DNH,|DNH|URC|IST|MXP|
MXP|DYU,|DYU|IST|MXP|
MXP|FRU,|FRU|IST|MXP|
MXP|GYD,|GYD|IST|MXP|
MXP|HTN,|HTN|URC|IST|MXP|
MXP|IKA,|IKA|SAW|MXP|
MXP|KCA,|KCA|URC|IST|MXP|
MXP|KHG,|KHG|URC|IST|MXP|
MXP|KRL,|KRL|URC|IST|MXP|
MXP|KRY,|KRY|URC|IST|MXP|
MXP|LBD,|LBD|URC|IST|MXP|
MXP|NLT,|NLT|URC|IST|MXP|
MXP|OSS,|OSS|IST|MXP|
MXP|OVB,|OVB|IST|MXP|
MXP|TBS,|TBS|IST|MXP|
MXP|TCG,|TCG|URC|IST|MXP|
MXP|TSE,|TSE|IST|MXP|
MXP|YIN,|YIN|URC|IST|MXP|
MXP|ENH,|ENH|WUH|URC|IST|MXP|
MXP|ENY,|ENY|XIY|URC|IST|MXP|
MXP|WXN,|WXN|XIY|URC|IST|MXP|
MXP|BLL,|BLL|IST|MXP|
MXP|ESB,|ESB|SAW|MXP|
MXP|SAW,|SAW|MXP|
MXP|HAM,|HAM|IST|MXP|
MXP|HRE,|HRE|ADD|IST|MXP|
MXP|JUB,|JUB|CAI|IST|MXP|
MXP|SSG,|SSG|DLA|IST|MXP|
MXP|BGW,|BGW|IST|MXP|
MXP|EBL,|EBL|IST|MXP|
MXP|VKO,|VKO|IST|MXP|
MXP|MCT,|MCT|IST|MXP|
MXP|AYT,|AYT|IST|MXP|
MXP|SCQ,|SCQ|BIO|IST|MXP|
MXP|AAL,|AAL|IST|MXP|
MXP|AOE,|AOE|BRU|IST|MXP|
MXP|JNB,|JNB|IST|MXP|
MXP|LBV,|LBV|DLA|IST|MXP|
MXP|ADA,|ADA|IST|MXP|
MXP|ADB,|ADB|IST|MXP|
MXP|ADF,|ADF|IST|MXP|
MXP|AJI,|AJI|IST|MXP|
MXP|BAL,|BAL|ESB|SAW|MXP|
MXP|BJV,|BJV|IST|MXP|
MXP|CKZ,|CKZ|ESB|SAW|MXP|
MXP|DIY,|DIY|SAW|MXP|
MXP|ECN,|ECN|IST|MXP|
MXP|ERC,|ERC|IST|MXP|
MXP|ERZ,|ERZ|SAW|MXP|
MXP|EZS,|EZS|SAW|MXP|
MXP|GNY,|GNY|IST|MXP|
MXP|GZP,|GZP|ESB|SAW|MXP|
MXP|GZT,|GZT|IST|MXP|
MXP|HTY,|HTY|IST|MXP|
MXP|KCM,|KCM|IST|MXP|
MXP|KSY,|KSY|IST|MXP|
MXP|MLX,|MLX|ESB|SAW|MXP|
MXP|MQM,|MQM|SAW|MXP|
MXP|MSR,|MSR|IST|MXP|
MXP|TEQ,|TEQ|ESB|SAW|MXP|
MXP|TZX,|TZX|IST|MXP|
MXP|VAN,|VAN|SAW|MXP|
MXP|ULN,|ULN|FRU|IST|MXP|
MXP|HIJ,|HIJ|ICN|IST|MXP|
MXP|VVO,|VVO|ICN|IST|MXP|
MXP|ACC,|ACC|IST|MXP|
MXP|AER,|AER|IST|MXP|
MXP|AGP,|AGP|IST|MXP|
MXP|ALG,|ALG|IST|MXP|
MXP|AMM,|AMM|IST|MXP|
MXP|AQJ,|AQJ|IST|MXP|
MXP|ARN,|ARN|IST|MXP|
MXP|ASR,|ASR|SAW|MXP|
MXP|ATH,|ATH|IST|MXP|
MXP|BAH,|BAH|IST|MXP|
MXP|BEG,|BEG|IST|MXP|
MXP|BEN,|BEN|IST|MXP|
MXP|BEY,|BEY|IST|MXP|
MXP|BHX,|BHX|IST|MXP|
MXP|BIO,|BIO|IST|MXP|
MXP|BLQ,|BLQ|IST|MXP|
MXP|BOM,|BOM|IST|MXP|
MXP|BRE,|BRE|IST|MXP|
MXP|BSL,|BSL|IST|MXP|
MXP|BSR,|BSR|IST|MXP|
MXP|BUD,|BUD|IST|MXP|
MXP|BUS,|BUS|IST|MXP|
MXP|CAI,|CAI|IST|MXP|
MXP|CGN,|CGN|IST|MXP|
MXP|CMN,|CMN|IST|MXP|
MXP|CND,|CND|IST|MXP|
MXP|DAR,|DAR|IST|MXP|
MXP|DLM,|DLM|IST|MXP|
MXP|DMM,|DMM|IST|MXP|
MXP|DNK,|DNK|IST|MXP|
MXP|DNZ,|DNZ|IST|MXP|
MXP|DOK,|DOK|IST|MXP|
MXP|DUS,|DUS|IST|MXP|
MXP|EDI,|EDI|IST|MXP|
MXP|ELQ,|ELQ|IST|MXP|
MXP|FDH,|FDH|IST|MXP|
MXP|GOA,|GOA|IST|MXP|
MXP|GOT,|GOT|IST|MXP|
MXP|HAJ,|HAJ|IST|MXP|
MXP|HBE,|HBE|IST|MXP|
MXP|HEL,|HEL|IST|MXP|
MXP|HRG,|HRG|IST|MXP|
MXP|IFN,|IFN|IST|MXP|
MXP|ISE,|ISE|IST|MXP|
MXP|ISU,|ISU|IST|MXP|
MXP|JIB,|JIB|IST|MXP|
MXP|JRO,|JRO|IST|MXP|
MXP|KAN,|KAN|IST|MXP|
MXP|KBL,|KBL|IST|MXP|
MXP|KBP,|KBP|IST|MXP|
MXP|KFS,|KFS|IST|MXP|
MXP|KHI,|KHI|IST|MXP|
MXP|KIV,|KIV|IST|MXP|
MXP|KRT,|KRT|IST|MXP|
MXP|KSH,|KSH|IST|MXP|
MXP|KVD,|KVD|IST|MXP|
MXP|KWI,|KWI|IST|MXP|
MXP|KYA,|KYA|IST|MXP|
MXP|KZN,|KZN|IST|MXP|
MXP|KZR,|KZR|IST|MXP|
MXP|LED,|LED|IST|MXP|
MXP|LEJ,|LEJ|IST|MXP|
MXP|LGW,|LGW|IST|MXP|
MXP|LHE,|LHE|IST|MXP|
MXP|LIS,|LIS|IST|MXP|
MXP|LJU,|LJU|IST|MXP|
MXP|LOS,|LOS|IST|MXP|
MXP|LUX,|LUX|IST|MXP|
MXP|LWO,|LWO|IST|MXP|
MXP|LYS,|LYS|IST|MXP|
MXP|MAD,|MAD|IST|MXP|
MXP|MAN,|MAN|IST|MXP|
MXP|MED,|MED|IST|MXP|
MXP|MHD,|MHD|IST|MXP|
MXP|MLA,|MLA|IST|MXP|
MXP|MRS,|MRS|IST|MXP|
MXP|MSQ,|MSQ|IST|MXP|
MXP|MZH,|MZH|IST|MXP|
MXP|MZR,|MZR|IST|MXP|
MXP|NAJ,|NAJ|IST|MXP|
MXP|NAV,|NAV|IST|MXP|
MXP|NCE,|NCE|IST|MXP|
MXP|NIM,|NIM|IST|MXP|
MXP|NJF,|NJF|IST|MXP|
MXP|NSI,|NSI|IST|MXP|
MXP|NUE,|NUE|IST|MXP|
MXP|ODS,|ODS|IST|MXP|
MXP|ORN,|ORN|IST|MXP|
MXP|OTP,|OTP|IST|MXP|
MXP|PRG,|PRG|IST|MXP|
MXP|PRN,|PRN|IST|MXP|
MXP|RIX,|RIX|IST|MXP|
MXP|ROV,|ROV|IST|MXP|
MXP|RTM,|RTM|IST|MXP|
MXP|RUH,|RUH|IST|MXP|
MXP|SAH,|SAH|IST|MXP|
MXP|SJJ,|SJJ|IST|MXP|
MXP|SKG,|SKG|IST|MXP|
MXP|SKP,|SKP|IST|MXP|
MXP|SSH,|SSH|IST|MXP|
MXP|STR,|STR|IST|MXP|
MXP|SVX,|SVX|IST|MXP|
MXP|SYZ,|SYZ|IST|MXP|
MXP|SZG,|SZG|IST|MXP|
MXP|TBZ,|TBZ|IST|MXP|
MXP|TGD,|TGD|IST|MXP|
MXP|TIA,|TIA|IST|MXP|
MXP|TIF,|TIF|IST|MXP|
MXP|TIP,|TIP|IST|MXP|
MXP|TLL,|TLL|IST|MXP|
MXP|TLS,|TLS|IST|MXP|
MXP|TRN,|TRN|IST|MXP|
MXP|TUN,|TUN|IST|MXP|
MXP|TXL,|TXL|IST|MXP|
MXP|UFA,|UFA|IST|MXP|
MXP|VAS,|VAS|SAW|MXP|
MXP|VCE,|VCE|IST|MXP|
MXP|YNB,|YNB|IST|MXP|
MXP|ZAG,|ZAG|IST|MXP|
MXP|MGQ,|MGQ|JIB|IST|MXP|
MXP|CPT,|CPT|JNB|IST|MXP|
MXP|MBA,|MBA|JRO|IST|MXP|
MXP|NDJ,|NDJ|KAN|IST|MXP|
MXP|CMB,|CMB|MLE|IST|MXP|
MXP|ADE,|ADE|SAH|IST|MXP|
MXP|ASF,|ASF|SAW|MXP|
MXP|STW,|STW|SAW|MXP|
MXP|LFW,|LFW|ABJ|OUA|NIM|IST|MXP|
MXP|CEC,|CEC|ACV|SMF|ORD|EWR|MXP|
MXP|SMF,|SMF|ORD|EWR|MXP|
