IND|KWL,|KWL|PEK|ORD|IND|
IND|LHW,|LHW|CGO|PEK|ORD|IND|
IND|LYA,|LYA|KHN|DLC|PEK|ORD|IND|
IND|LYG,|LYG|HSN|PEK|ORD|IND|
IND|LZH,|LZH|CAN|PEK|ORD|IND|
IND|MEL,|MEL|SYD|LAX|MCI|IND|
IND|MIG,|MIG|CSX|PEK|ORD|IND|
IND|MLE,|MLE|IST|YYZ|IND|
IND|MNL,|MNL|XMN|PEK|ORD|IND|
IND|MXZ,|MXZ|CAN|PEK|ORD|IND|
IND|NAO,|NAO|PEK|ORD|IND|
IND|NGB,|NGB|PEK|ORD|IND|
IND|NKG,|NKG|DLC|PEK|ORD|IND|
IND|NNY,|NNY|CGO|PEK|ORD|IND|
IND|PEN,|PEN|CAN|PEK|ORD|IND|
IND|PER,|PER|CAN|PEK|ORD|IND|
IND|PNH,|PNH|CAN|PEK|ORD|IND|
IND|REP,|REP|CAN|PEK|ORD|IND|
IND|RGN,|RGN|CAN|PEK|ORD|IND|
IND|SGN,|SGN|CAN|PEK|ORD|IND|
IND|SHA,|SHA|PEK|ORD|IND|
IND|SIN,|SIN|HKG|ORD|IND|
IND|SVO,|SVO|URC|TSE|FRA|YYZ|IND|
IND|SYX,|SYX|PEK|ORD|IND|
IND|TAO,|TAO|DLC|PEK|ORD|IND|
IND|TEN,|TEN|PEK|ORD|IND|
IND|TNA,|TNA|DLC|PEK|ORD|IND|
IND|TPE,|TPE|PVG|ORD|IND|
IND|TSN,|TSN|DLC|PEK|ORD|IND|
IND|TXN,|TXN|DLC|PEK|ORD|IND|
IND|TYN,|TYN|DAT|CIH|PEK|ORD|IND|
IND|WNZ,|WNZ|CGO|PEK|ORD|IND|
IND|WUX,|WUX|CAN|PEK|ORD|IND|
IND|XFN,|XFN|XMN|PEK|ORD|IND|
IND|XIY,|XIY|PEK|ORD|IND|
IND|XUZ,|XUZ|LYG|HSN|PEK|ORD|IND|
IND|YIH,|YIH|CKG|PEK|ORD|IND|
IND|YIW,|YIW|PEK|ORD|IND|
IND|YNT,|YNT|SHE|PEK|ORD|IND|
IND|YNZ,|YNZ|DLC|PEK|ORD|IND|
IND|YTY,|YTY|DLC|PEK|ORD|IND|
IND|ZHA,|ZHA|CAN|PEK|ORD|IND|
IND|ZYI,|ZYI|PEK|ORD|IND|
IND|BAV,|BAV|CGO|PEK|ORD|IND|
IND|CJU,|CJU|DLC|PEK|ORD|IND|
IND|DSN,|DSN|CGO|PEK|ORD|IND|
IND|HMI,|HMI|URC|TSE|FRA|YYZ|IND|
IND|INC,|INC|PEK|ORD|IND|
IND|KHH,|KHH|CGO|PEK|ORD|IND|
IND|UYN,|UYN|CGO|PEK|ORD|IND|
IND|XNN,|XNN|PEK|ORD|IND|
IND|ZUH,|ZUH|PEK|ORD|IND|
IND|YNJ,|YNJ|PEK|ORD|IND|
IND|DAT,|DAT|CIH|PEK|ORD|IND|
IND|JHG,|JHG|CKG|PEK|ORD|IND|
IND|LJG,|LJG|CKG|PEK|ORD|IND|
IND|LXA,|LXA|XIY|PEK|ORD|IND|
IND|YCU,|YCU|CSX|PEK|ORD|IND|
IND|LZO,|LZO|CSX|PEK|ORD|IND|
IND|MDG,|MDG|ICN|YVR|ORD|IND|
IND|NGO,|NGO|ICN|YVR|ORD|IND|
IND|TOY,|TOY|DLC|PEK|ORD|IND|
IND|MFM,|MFM|XMN|PEK|ORD|IND|
IND|TGO,|TGO|HET|DLC|PEK|ORD|IND|
