CID|MAN,|MAN|EWR|ORD|CID|
CID|MED,|MED|IST|ORD|CID|
CID|MHD,|MHD|IST|ORD|CID|
CID|MLA,|MLA|IST|ORD|CID|
CID|MRS,|MRS|IST|ORD|CID|
CID|MSQ,|MSQ|IST|ORD|CID|
CID|MXP,|MXP|EWR|ORD|CID|
CID|MZH,|MZH|IST|ORD|CID|
CID|MZR,|MZR|IST|ORD|CID|
CID|NAJ,|NAJ|IST|ORD|CID|
CID|NAV,|NAV|IST|ORD|CID|
CID|NCE,|NCE|IST|ORD|CID|
CID|NIM,|NIM|IST|ORD|CID|
CID|NJF,|NJF|IST|ORD|CID|
CID|NSI,|NSI|BRU|ORD|CID|
CID|NUE,|NUE|IST|ORD|CID|
CID|ODS,|ODS|IST|ORD|CID|
CID|ORN,|ORN|IST|ORD|CID|
CID|OTP,|OTP|IST|ORD|CID|
CID|PRG,|PRG|BRU|ORD|CID|
CID|PRN,|PRN|IST|ORD|CID|
CID|RIX,|RIX|IST|ORD|CID|
CID|ROV,|ROV|IST|ORD|CID|
CID|RTM,|RTM|IST|ORD|CID|
CID|RUH,|RUH|IST|ORD|CID|
CID|SAH,|SAH|IST|ORD|CID|
CID|SJJ,|SJJ|IST|ORD|CID|
CID|SKG,|SKG|IST|ORD|CID|
CID|SKP,|SKP|IST|ORD|CID|
CID|SSH,|SSH|IST|ORD|CID|
CID|STR,|STR|EWR|ORD|CID|
CID|SVX,|SVX|IST|ORD|CID|
CID|SYZ,|SYZ|IST|ORD|CID|
CID|SZG,|SZG|IST|ORD|CID|
CID|TBZ,|TBZ|IST|ORD|CID|
CID|TGD,|TGD|IST|ORD|CID|
CID|TIA,|TIA|IST|ORD|CID|
CID|TIF,|TIF|IST|ORD|CID|
CID|TIP,|TIP|IST|ORD|CID|
CID|TLL,|TLL|VNO|CPH|YYZ|ORD|CID|
CID|TLS,|TLS|IST|ORD|CID|
CID|TRN,|TRN|IST|ORD|CID|
CID|TUN,|TUN|IST|ORD|CID|
CID|TXL,|TXL|EWR|ORD|CID|
CID|UFA,|UFA|IST|ORD|CID|
CID|VAS,|VAS|SAW|VIE|ORD|CID|
CID|VCE,|VCE|IST|ORD|CID|
