URC|SKG,|SKG|IST|URC|
URC|SKP,|SKP|IST|URC|
URC|SSH,|SSH|IST|URC|
URC|STR,|STR|IST|URC|
URC|SVX,|SVX|IST|URC|
URC|SYZ,|SYZ|IST|URC|
URC|SZG,|SZG|IST|URC|
URC|TBZ,|TBZ|IST|URC|
URC|TGD,|TGD|IST|URC|
URC|TIA,|TIA|IST|URC|
URC|TIF,|TIF|IST|URC|
URC|TIP,|TIP|IST|URC|
URC|TLL,|TLL|IST|URC|
URC|TLS,|TLS|IST|URC|
URC|TRN,|TRN|IST|URC|
URC|TUN,|TUN|IST|URC|
URC|TXL,|TXL|IST|URC|
URC|UFA,|UFA|IST|URC|
URC|VAS,|VAS|SAW|TBS|URC|
URC|VCE,|VCE|IST|URC|
URC|YNB,|YNB|IST|URC|
URC|ZAG,|ZAG|IST|URC|
URC|MGQ,|MGQ|JIB|IST|URC|
URC|CPT,|CPT|JNB|IST|URC|
URC|MBA,|MBA|JRO|IST|URC|
URC|NDJ,|NDJ|KAN|IST|URC|
URC|CMB,|CMB|MLE|CAN|URC|
URC|ADE,|ADE|SAH|IST|URC|
URC|ASF,|ASF|SAW|TBS|URC|
URC|STW,|STW|SAW|TBS|URC|
URC|LFW,|LFW|ABJ|OUA|NIM|IST|URC|
URC|CEC,|CEC|SFO|PEK|URC|
URC|SMF,|SMF|SFO|PEK|URC|
URC|CDR,|CDR|AIA|DEN|YVR|PEK|URC|
URC|FMN,|FMN|DEN|YVR|PEK|URC|
URC|JST,|JST|IAD|FRA|TSE|URC|
URC|JHW,|JHW|CLE|YYZ|FRA|TSE|URC|
URC|SHD,|SHD|IAD|FRA|TSE|URC|
URC|PTY,|PTY|MIA|FRA|TSE|URC|
URC|FNA,|FNA|BRU|IST|URC|
URC|SXB,|SXB|BRU|IST|URC|
URC|ACV,|ACV|SFO|PEK|URC|
URC|MGW,|MGW|IAD|FRA|TSE|URC|
URC|ALB,|ALB|EWR|FRA|TSE|URC|
URC|AUS,|AUS|DEN|YVR|PEK|URC|
URC|BFD,|BFD|CLE|YYZ|FRA|TSE|URC|
URC|BUF,|BUF|EWR|FRA|TSE|URC|
URC|CHS,|CHS|EWR|FRA|TSE|URC|
URC|DAY,|DAY|CLE|YYZ|FRA|TSE|URC|
URC|DUJ,|DUJ|CLE|YYZ|FRA|TSE|URC|
URC|ERI,|ERI|CLE|YYZ|FRA|TSE|URC|
URC|FKL,|FKL|CLE|YYZ|FRA|TSE|URC|
URC|FNT,|FNT|CLE|YYZ|FRA|TSE|URC|
URC|GRR,|GRR|CLE|YYZ|FRA|TSE|URC|
URC|GSP,|GSP|EWR|FRA|TSE|URC|
URC|PBI,|PBI|EWR|FRA|TSE|URC|
URC|PKB,|PKB|CLE|YYZ|FRA|TSE|URC|
URC|RIC,|RIC|EWR|FRA|TSE|URC|
URC|SDF,|SDF|CLE|YYZ|FRA|TSE|URC|
URC|GUM,|GUM|FUK|ICN|PEK|URC|
URC|WRL,|WRL|CYS|DEN|YVR|PEK|URC|
URC|LBL,|URC|
URC|ABQ,|ABQ|SEA|PEK|URC|
URC|AIA,|AIA|DEN|YVR|PEK|URC|
URC|ALS,|ALS|DEN|YVR|PEK|URC|
URC|AMA,|AMA|DEN|YVR|PEK|URC|
URC|ANC,|ANC|SEA|PEK|URC|
URC|ASE,|ASE|DEN|YVR|PEK|URC|
URC|BFL,|BFL|SFO|PEK|URC|
URC|BHM,|BHM|BWI|EWR|FRA|TSE|URC|
URC|BIL,|BIL|DEN|YVR|PEK|URC|
URC|BIS,|BIS|DEN|YVR|PEK|URC|
URC|BOI,|BOI|SFO|PEK|URC|
URC|BUR,|BUR|SFO|PEK|URC|
URC|BZN,|BZN|DEN|YVR|PEK|URC|
URC|CID,|CID|ORD|FRA|TSE|URC|
URC|COD,|COD|DEN|YVR|PEK|URC|
URC|COS,|COS|DEN|YVR|PEK|URC|
URC|CPR,|CPR|DEN|YVR|PEK|URC|
URC|CYS,|CYS|DEN|YVR|PEK|URC|
URC|DIK,|DIK|DEN|YVR|PEK|URC|
URC|DRO,|DRO|DEN|YVR|PEK|URC|
URC|DSM,|DSM|ORD|FRA|TSE|URC|
URC|EGE,|EGE|DEN|YVR|PEK|URC|
URC|ELP,|ELP|LAS|SEA|PEK|URC|
URC|EUG,|EUG|PDX|SEA|PEK|URC|
URC|FAR,|FAR|ORD|FRA|TSE|URC|
URC|FAT,|FAT|SFO|PEK|URC|
URC|FCA,|FCA|DEN|YVR|PEK|URC|
URC|FSD,|FSD|ORD|FRA|TSE|URC|
URC|GCC,|GCC|DEN|YVR|PEK|URC|
URC|GEG,|GEG|BOI|SFO|PEK|URC|
URC|GJT,|GJT|DEN|YVR|PEK|URC|
URC|GTF,|GTF|DEN|YVR|PEK|URC|
URC|GUC,|GUC|DEN|YVR|PEK|URC|
URC|HDN,|HDN|DEN|YVR|PEK|URC|
URC|HLN,|HLN|DEN|YVR|PEK|URC|
URC|HSV,|HSV|IAD|FRA|TSE|URC|
URC|ICT,|ICT|DEN|YVR|PEK|URC|
URC|IDA,|IDA|DEN|YVR|PEK|URC|
URC|ISN,|ISN|DEN|YVR|PEK|URC|
URC|JAC,|JAC|DEN|YVR|PEK|URC|
URC|KOA,|KOA|YVR|PEK|URC|
URC|LAR,|LAR|DEN|YVR|PEK|URC|
URC|LBB,|LBB|DEN|YVR|PEK|URC|
URC|LIH,|LIH|HNL|PEK|URC|
URC|LIT,|LIT|ORD|FRA|TSE|URC|
URC|LNK,|LNK|DEN|YVR|PEK|URC|
URC|MAF,|MAF|DEN|YVR|PEK|URC|
URC|MEM,|MEM|EWR|FRA|TSE|URC|
URC|MFR,|MFR|SFO|PEK|URC|
URC|MLI,|MLI|ORD|FRA|TSE|URC|
URC|MOT,|MOT|DEN|YVR|PEK|URC|
URC|MRY,|MRY|SFO|PEK|URC|
URC|MSN,|MSN|ORD|FRA|TSE|URC|
URC|MSO,|MSO|DEN|YVR|PEK|URC|
