DSN|AQJ,|AQJ|IST|URC|CGO|DSN|
DSN|ARN,|ARN|IST|URC|CGO|DSN|
DSN|ASR,|ASR|SAW|TBS|URC|CGO|DSN|
DSN|ATH,|ATH|IST|URC|CGO|DSN|
DSN|BAH,|BAH|KWI|SAW|TBS|URC|CGO|DSN|
DSN|BEG,|BEG|IST|URC|CGO|DSN|
DSN|BEN,|BEN|IST|URC|CGO|DSN|
DSN|BEY,|BEY|IST|URC|CGO|DSN|
DSN|BHX,|BHX|IST|URC|CGO|DSN|
DSN|BIO,|BIO|IST|URC|CGO|DSN|
DSN|BLQ,|BLQ|IST|URC|CGO|DSN|
DSN|BOM,|BOM|IST|URC|CGO|DSN|
DSN|BRE,|BRE|IST|URC|CGO|DSN|
DSN|BSL,|BSL|IST|URC|CGO|DSN|
DSN|BSR,|BSR|IST|URC|CGO|DSN|
DSN|BUD,|BUD|IST|URC|CGO|DSN|
DSN|BUS,|BUS|IST|URC|CGO|DSN|
DSN|CAI,|CAI|IST|URC|CGO|DSN|
DSN|CGN,|CGN|IST|URC|CGO|DSN|
DSN|CMN,|CMN|IST|URC|CGO|DSN|
DSN|CND,|CND|IST|URC|CGO|DSN|
DSN|DAR,|DAR|NBO|BKK|CGO|DSN|
DSN|DLM,|DLM|IST|URC|CGO|DSN|
DSN|DMM,|DMM|IST|URC|CGO|DSN|
DSN|DNK,|DNK|IST|URC|CGO|DSN|
DSN|DNZ,|DNZ|IST|URC|CGO|DSN|
DSN|DOK,|DOK|IST|URC|CGO|DSN|
DSN|DUS,|DUS|IST|URC|CGO|DSN|
DSN|EDI,|EDI|IST|URC|CGO|DSN|
DSN|ELQ,|ELQ|IST|URC|CGO|DSN|
DSN|FDH,|FDH|IST|URC|CGO|DSN|
DSN|GOA,|GOA|IST|URC|CGO|DSN|
DSN|GOT,|GOT|IST|URC|CGO|DSN|
DSN|HAJ,|HAJ|IST|URC|CGO|DSN|
DSN|HBE,|HBE|IST|URC|CGO|DSN|
DSN|HEL,|HEL|IST|URC|CGO|DSN|
DSN|HRG,|HRG|IST|URC|CGO|DSN|
DSN|IFN,|IFN|IST|URC|CGO|DSN|
DSN|ISE,|ISE|IST|URC|CGO|DSN|
DSN|ISU,|ISU|IST|URC|CGO|DSN|
DSN|JIB,|JIB|IST|URC|CGO|DSN|
DSN|JRO,|JRO|IST|URC|CGO|DSN|
DSN|KAN,|KAN|IST|URC|CGO|DSN|
DSN|KBL,|KBL|IST|URC|CGO|DSN|
DSN|KBP,|KBP|IST|URC|CGO|DSN|
DSN|KFS,|KFS|IST|URC|CGO|DSN|
DSN|KHI,|KHI|IST|URC|CGO|DSN|
DSN|KIV,|KIV|IST|URC|CGO|DSN|
DSN|KRT,|KRT|IST|URC|CGO|DSN|
