CND|TCG,|TCG|URC|IST|CND|
CND|TSE,|TSE|IST|CND|
CND|YIN,|YIN|URC|IST|CND|
CND|ENH,|ENH|WUH|URC|IST|CND|
CND|ENY,|ENY|XIY|URC|IST|CND|
CND|WXN,|WXN|XIY|URC|IST|CND|
CND|BLL,|BLL|IST|CND|
CND|ESB,|ESB|IST|CND|
CND|SAW,|SAW|ADB|IST|CND|
CND|HAM,|HAM|IST|CND|
CND|HRE,|HRE|ADD|IST|CND|
CND|JUB,|JUB|CAI|IST|CND|
CND|SSG,|SSG|DLA|IST|CND|
CND|BGW,|BGW|IST|CND|
CND|EBL,|EBL|IST|CND|
CND|VKO,|VKO|IST|CND|
CND|MCT,|MCT|IST|CND|
CND|AYT,|AYT|IST|CND|
CND|SCQ,|SCQ|BIO|IST|CND|
CND|AAL,|AAL|IST|CND|
CND|AOE,|AOE|BRU|IST|CND|
CND|JNB,|JNB|IST|CND|
CND|LBV,|LBV|DLA|IST|CND|
CND|ADA,|ADA|IST|CND|
CND|ADB,|ADB|IST|CND|
CND|ADF,|ADF|IST|CND|
CND|AJI,|AJI|IST|CND|
CND|BAL,|BAL|IST|CND|
CND|BJV,|BJV|IST|CND|
CND|CKZ,|CKZ|ESB|IST|CND|
CND|DIY,|DIY|IST|CND|
CND|ECN,|ECN|IST|CND|
CND|ERC,|ERC|IST|CND|
CND|ERZ,|ERZ|IST|CND|
CND|EZS,|EZS|IST|CND|
CND|GNY,|GNY|IST|CND|
CND|GZP,|GZP|ESB|IST|CND|
CND|GZT,|GZT|IST|CND|
CND|HTY,|HTY|IST|CND|
CND|KCM,|KCM|IST|CND|
CND|KSY,|KSY|IST|CND|
CND|MLX,|MLX|IST|CND|
CND|MQM,|MQM|IST|CND|
CND|MSR,|MSR|IST|CND|
CND|TEQ,|TEQ|ESB|IST|CND|
CND|TZX,|TZX|IST|CND|
CND|VAN,|VAN|IST|CND|
CND|ULN,|ULN|FRU|IST|CND|
CND|HIJ,|HIJ|ICN|IST|CND|
CND|VVO,|VVO|ICN|IST|CND|
CND|ACC,|ACC|IST|CND|
CND|AER,|AER|IST|CND|
CND|AGP,|AGP|IST|CND|
CND|ALG,|ALG|IST|CND|
CND|AMM,|AMM|IST|CND|
CND|AQJ,|AQJ|IST|CND|
CND|ARN,|ARN|IST|CND|
CND|ASR,|ASR|IST|CND|
CND|ATH,|ATH|IST|CND|
CND|BAH,|BAH|IST|CND|
CND|BEG,|BEG|IST|CND|
CND|BEN,|BEN|IST|CND|
CND|BEY,|BEY|IST|CND|
CND|BHX,|BHX|IST|CND|
CND|BIO,|BIO|IST|CND|
CND|BLQ,|BLQ|IST|CND|
CND|BOM,|BOM|IST|CND|
CND|BRE,|BRE|IST|CND|
CND|BSL,|BSL|IST|CND|
CND|BSR,|BSR|IST|CND|
CND|BUD,|BUD|IST|CND|
CND|BUS,|BUS|IST|CND|
CND|CAI,|CAI|IST|CND|
CND|CGN,|CGN|IST|CND|
CND|CMN,|CMN|IST|CND|
CND|DAR,|DAR|IST|CND|
CND|DLM,|DLM|IST|CND|
CND|DMM,|DMM|IST|CND|
CND|DNK,|DNK|IST|CND|
CND|DNZ,|DNZ|IST|CND|
CND|DOK,|DOK|IST|CND|
CND|DUS,|DUS|IST|CND|
CND|EDI,|EDI|IST|CND|
CND|ELQ,|ELQ|IST|CND|
CND|FDH,|FDH|IST|CND|
CND|GOA,|GOA|IST|CND|
CND|GOT,|GOT|IST|CND|
CND|HAJ,|HAJ|IST|CND|
CND|HBE,|HBE|IST|CND|
CND|HEL,|HEL|IST|CND|
CND|HRG,|HRG|IST|CND|
CND|IFN,|IFN|IST|CND|
CND|ISE,|ISE|IST|CND|
CND|ISU,|ISU|IST|CND|
CND|JIB,|JIB|IST|CND|
CND|JRO,|JRO|IST|CND|
CND|KAN,|KAN|IST|CND|
CND|KBL,|KBL|IST|CND|
CND|KBP,|KBP|IST|CND|
CND|KFS,|KFS|IST|CND|
CND|KHI,|KHI|IST|CND|
CND|KIV,|KIV|IST|CND|
CND|KRT,|KRT|IST|CND|
CND|KSH,|KSH|IST|CND|
CND|KVD,|KVD|IST|CND|
CND|KWI,|KWI|IST|CND|
CND|KYA,|KYA|IST|CND|
CND|KZN,|KZN|IST|CND|
CND|KZR,|KZR|IST|CND|
CND|LED,|LED|IST|CND|
CND|LEJ,|LEJ|IST|CND|
CND|LGW,|LGW|IST|CND|
CND|LHE,|LHE|IST|CND|
CND|LIS,|LIS|IST|CND|
CND|LJU,|LJU|IST|CND|
CND|LOS,|LOS|IST|CND|
CND|LUX,|LUX|IST|CND|
CND|LWO,|LWO|IST|CND|
CND|LYS,|LYS|IST|CND|
CND|MAD,|MAD|IST|CND|
CND|MAN,|MAN|IST|CND|
CND|MED,|MED|IST|CND|
CND|MHD,|MHD|IST|CND|
CND|MLA,|MLA|IST|CND|
CND|MRS,|MRS|IST|CND|
CND|MSQ,|MSQ|IST|CND|
CND|MXP,|MXP|IST|CND|
CND|MZH,|MZH|IST|CND|
CND|MZR,|MZR|IST|CND|
CND|NAJ,|NAJ|IST|CND|
CND|NAV,|NAV|IST|CND|
CND|NCE,|NCE|IST|CND|
CND|NIM,|NIM|IST|CND|
CND|NJF,|NJF|IST|CND|
CND|NSI,|NSI|IST|CND|
CND|NUE,|NUE|IST|CND|
CND|ODS,|ODS|IST|CND|
CND|ORN,|ORN|IST|CND|
CND|OTP,|OTP|IST|CND|
CND|PRG,|PRG|IST|CND|
CND|PRN,|PRN|IST|CND|
CND|RIX,|RIX|IST|CND|
CND|ROV,|ROV|IST|CND|
CND|RTM,|RTM|IST|CND|
CND|RUH,|RUH|IST|CND|
CND|SAH,|SAH|IST|CND|
CND|SJJ,|SJJ|IST|CND|
CND|SKG,|SKG|IST|CND|
CND|SKP,|SKP|IST|CND|
CND|SSH,|SSH|IST|CND|
CND|STR,|STR|IST|CND|
CND|SVX,|SVX|IST|CND|
CND|SYZ,|SYZ|IST|CND|
