SYX|ISU,|ISU|IST|URC|CKG|SYX|
SYX|JIB,|JIB|IST|URC|CKG|SYX|
SYX|JRO,|JRO|IST|URC|CKG|SYX|
SYX|KAN,|KAN|IST|URC|CKG|SYX|
SYX|KBL,|KBL|IST|URC|CKG|SYX|
SYX|KBP,|KBP|IST|URC|CKG|SYX|
SYX|KFS,|KFS|IST|URC|CKG|SYX|
SYX|KHI,|KHI|IST|URC|CKG|SYX|
SYX|KIV,|KIV|IST|URC|CKG|SYX|
SYX|KRT,|KRT|IST|URC|CKG|SYX|
SYX|KSH,|KSH|IST|URC|CKG|SYX|
SYX|KVD,|KVD|IST|URC|CKG|SYX|
SYX|KWI,|KWI|SAW|TBS|URC|CKG|SYX|
SYX|KYA,|KYA|SAW|TBS|URC|CKG|SYX|
SYX|KZN,|KZN|IST|URC|CKG|SYX|
SYX|KZR,|KZR|IST|URC|CKG|SYX|
SYX|LED,|LED|IST|URC|CKG|SYX|
SYX|LEJ,|LEJ|IST|URC|CKG|SYX|
SYX|LGW,|LGW|IST|URC|CKG|SYX|
SYX|LHE,|LHE|IST|URC|CKG|SYX|
SYX|LIS,|LIS|IST|URC|CKG|SYX|
SYX|LJU,|LJU|IST|URC|CKG|SYX|
SYX|LOS,|LOS|IST|URC|CKG|SYX|
SYX|LUX,|LUX|IST|URC|CKG|SYX|
SYX|LWO,|LWO|IST|URC|CKG|SYX|
SYX|LYS,|LYS|IST|URC|CKG|SYX|
SYX|MAD,|MAD|IST|URC|CKG|SYX|
SYX|MAN,|MAN|IST|URC|CKG|SYX|
SYX|MED,|MED|IST|URC|CKG|SYX|
SYX|MHD,|MHD|IST|URC|CKG|SYX|
SYX|MLA,|MLA|IST|URC|CKG|SYX|
SYX|MRS,|MRS|IST|URC|CKG|SYX|
SYX|MSQ,|MSQ|IST|URC|CKG|SYX|
SYX|MXP,|MXP|IST|URC|CKG|SYX|
SYX|MZH,|MZH|IST|URC|CKG|SYX|
SYX|MZR,|MZR|IST|URC|CKG|SYX|
SYX|NAJ,|NAJ|IST|URC|CKG|SYX|
SYX|NAV,|NAV|IST|URC|CKG|SYX|
SYX|NCE,|NCE|IST|URC|CKG|SYX|
SYX|NIM,|NIM|IST|URC|CKG|SYX|
SYX|NJF,|NJF|IST|URC|CKG|SYX|
SYX|NSI,|NSI|IST|URC|CKG|SYX|
SYX|NUE,|NUE|IST|URC|CKG|SYX|
SYX|ODS,|ODS|IST|URC|CKG|SYX|
