YYY|DSN,|DSN|CGO|PEK|YYZ|YUL|YYY|
YYY|HMI,|HMI|URC|TSE|FRA|YUL|YYY|
YYY|INC,|INC|PEK|YYZ|YUL|YYY|
YYY|KHH,|KHH|CGO|PEK|YYZ|YUL|YYY|
YYY|UYN,|UYN|CGO|PEK|YYZ|YUL|YYY|
YYY|XNN,|XNN|PEK|YYZ|YUL|YYY|
YYY|ZUH,|ZUH|PEK|YYZ|YUL|YYY|
YYY|YNJ,|YNJ|PEK|YYZ|YUL|YYY|
YYY|DAT,|DAT|CIH|PEK|YYZ|YUL|YYY|
YYY|JHG,|JHG|CKG|PEK|YYZ|YUL|YYY|
YYY|LJG,|LJG|CKG|PEK|YYZ|YUL|YYY|
YYY|LXA,|LXA|XIY|PEK|YYZ|YUL|YYY|
YYY|YCU,|YCU|CSX|PEK|YYZ|YUL|YYY|
YYY|LZO,|LZO|CSX|PEK|YYZ|YUL|YYY|
YYY|MDG,|MDG|DLC|PEK|YYZ|YUL|YYY|
YYY|NGO,|NGO|ICN|JFK|YUL|YYY|
YYY|TOY,|TOY|DLC|PEK|YYZ|YUL|YYY|
YYY|MFM,|MFM|XMN|PEK|YYZ|YUL|YYY|
YYY|TGO,|TGO|HET|DLC|PEK|YYZ|YUL|YYY|
YYY|XIL,|XIL|HET|DLC|PEK|YYZ|YUL|YYY|
YYY|HEK,|HEK|HRB|PEK|YYZ|YUL|YYY|
YYY|KIJ,|KIJ|HRB|PEK|YYZ|YUL|YYY|
YYY|LDS,|LDS|HRB|PEK|YYZ|YUL|YYY|
YYY|OHE,|OHE|HRB|PEK|YYZ|YUL|YYY|
YYY|HSN,|HSN|PEK|YYZ|YUL|YYY|
YYY|DLU,|DLU|KMG|PEK|YYZ|YUL|YYY|
YYY|SYM,|SYM|KMG|PEK|YYZ|YUL|YYY|
YYY|ZAT,|ZAT|KMG|PEK|YYZ|YUL|YYY|
YYY|LUN,|LUN|NBO|ZRH|YUL|YYY|
YYY|AOG,|AOG|PEK|YYZ|YUL|YYY|
YYY|GMP,|GMP|PEK|YYZ|YUL|YYY|
YYY|ISB,|ISB|IST|FRA|YUL|YYY|
YYY|TAS,|TAS|IST|FRA|YUL|YYY|
YYY|WUS,|WUS|PEK|YYZ|YUL|YYY|
YYY|JMU,|JMU|PVG|YYZ|YUL|YYY|
