CNS|UYN,|UYN|CGO|ICN|FUK|GUM|CNS|
CNS|XNN,|XNN|CKG|CAN|HKG|GUM|CNS|
CNS|ZUH,|ZUH|SWA|HKG|GUM|CNS|
CNS|YNJ,|YNJ|ICN|FUK|GUM|CNS|
CNS|DAT,|DAT|TYN|DLC|ICN|FUK|GUM|CNS|
CNS|JHG,|JHG|KMG|CAN|HKG|GUM|CNS|
CNS|LJG,|LJG|KMG|CAN|HKG|GUM|CNS|
CNS|LXA,|LXA|CKG|CAN|HKG|GUM|CNS|
CNS|YCU,|YCU|CSX|CAN|HKG|GUM|CNS|
CNS|LZO,|LZO|CSX|CAN|HKG|GUM|CNS|
CNS|MDG,|MDG|ICN|FUK|GUM|CNS|
CNS|NGO,|NGO|GUM|CNS|
CNS|TOY,|TOY|DLC|ICN|FUK|GUM|CNS|
CNS|MFM,|MFM|XMN|MNL|GUM|CNS|
CNS|TGO,|TGO|HET|DLC|ICN|FUK|GUM|CNS|
CNS|XIL,|XIL|HET|DLC|ICN|FUK|GUM|CNS|
CNS|HEK,|HEK|HRB|KIX|GUM|CNS|
CNS|KIJ,|KIJ|HRB|KIX|GUM|CNS|
CNS|LDS,|LDS|HRB|KIX|GUM|CNS|
CNS|OHE,|OHE|HRB|KIX|GUM|CNS|
CNS|HSN,|HSN|XMN|MNL|GUM|CNS|
CNS|DLU,|DLU|KMG|CAN|HKG|GUM|CNS|
CNS|SYM,|SYM|KMG|CAN|HKG|GUM|CNS|
CNS|ZAT,|ZAT|KMG|CAN|HKG|GUM|CNS|
CNS|LUN,|LUN|NBO|CAN|HKG|GUM|CNS|
CNS|AOG,|AOG|PEK|ICN|FUK|GUM|CNS|
CNS|GMP,|GMP|PEK|ICN|FUK|GUM|CNS|
CNS|ISB,|ISB|PEK|ICN|FUK|GUM|CNS|
CNS|TAS,|TAS|PEK|ICN|FUK|GUM|CNS|
CNS|WUS,|WUS|PEK|ICN|FUK|GUM|CNS|
CNS|JMU,|JMU|PVG|NGO|GUM|CNS|
CNS|NDG,|NDG|PVG|NGO|GUM|CNS|
CNS|JXA,|JXA|SHE|FUK|GUM|CNS|
CNS|PUS,|PUS|SHE|FUK|GUM|CNS|
CNS|BKI,|BKI|SZX|MXZ|HKG|GUM|CNS|
CNS|AKU,|AKU|URC|PEK|ICN|FUK|GUM|CNS|
CNS|ALA,|ALA|URC|PEK|ICN|FUK|GUM|CNS|
CNS|ASB,|ASB|URC|PEK|ICN|FUK|GUM|CNS|
CNS|DNH,|DNH|XIY|CAN|HKG|GUM|CNS|
CNS|DYU,|DYU|URC|PEK|ICN|FUK|GUM|CNS|
CNS|FRU,|FRU|URC|PEK|ICN|FUK|GUM|CNS|
CNS|GYD,|GYD|URC|PEK|ICN|FUK|GUM|CNS|
CNS|HTN,|HTN|URC|PEK|ICN|FUK|GUM|CNS|
CNS|IKA,|IKA|URC|PEK|ICN|FUK|GUM|CNS|
CNS|KCA,|KCA|URC|PEK|ICN|FUK|GUM|CNS|
CNS|KHG,|KHG|URC|PEK|ICN|FUK|GUM|CNS|
CNS|KRL,|KRL|URC|PEK|ICN|FUK|GUM|CNS|
CNS|KRY,|KRY|URC|PEK|ICN|FUK|GUM|CNS|
CNS|LBD,|LBD|URC|PEK|ICN|FUK|GUM|CNS|
CNS|NLT,|NLT|URC|PEK|ICN|FUK|GUM|CNS|
CNS|OSS,|OSS|URC|PEK|ICN|FUK|GUM|CNS|
CNS|OVB,|OVB|URC|PEK|ICN|FUK|GUM|CNS|
CNS|TBS,|TBS|URC|PEK|ICN|FUK|GUM|CNS|
CNS|TCG,|TCG|URC|PEK|ICN|FUK|GUM|CNS|
CNS|TSE,|TSE|URC|PEK|ICN|FUK|GUM|CNS|
CNS|YIN,|YIN|URC|PEK|ICN|FUK|GUM|CNS|
CNS|ENH,|ENH|WUH|HKG|GUM|CNS|
CNS|ENY,|ENY|XIY|CAN|HKG|GUM|CNS|
CNS|WXN,|WXN|XMN|MNL|GUM|CNS|
CNS|BLL,|BLL|IST|ICN|FUK|GUM|CNS|
CNS|ESB,|ESB|IST|ICN|FUK|GUM|CNS|
CNS|SAW,|SAW|TBS|URC|PEK|ICN|FUK|GUM|CNS|
CNS|HAM,|HAM|IST|ICN|FUK|GUM|CNS|
CNS|HRE,|HRE|ADD|IST|ICN|FUK|GUM|CNS|
CNS|JUB,|JUB|CAI|IST|ICN|FUK|GUM|CNS|
CNS|SSG,|SSG|DLA|IST|ICN|FUK|GUM|CNS|
CNS|BGW,|BGW|IST|ICN|FUK|GUM|CNS|
CNS|EBL,|EBL|IST|ICN|FUK|GUM|CNS|
CNS|VKO,|VKO|IST|ICN|FUK|GUM|CNS|
CNS|MCT,|MCT|IST|ICN|FUK|GUM|CNS|
CNS|AYT,|AYT|IST|ICN|FUK|GUM|CNS|
CNS|SCQ,|SCQ|BIO|IST|ICN|FUK|GUM|CNS|
CNS|AAL,|AAL|IST|ICN|FUK|GUM|CNS|
CNS|AOE,|AOE|BRU|IST|ICN|FUK|GUM|CNS|
CNS|JNB,|JNB|IST|ICN|FUK|GUM|CNS|
CNS|LBV,|LBV|DLA|IST|ICN|FUK|GUM|CNS|
CNS|ADA,|ADA|IST|ICN|FUK|GUM|CNS|
CNS|ADB,|ADB|IST|ICN|FUK|GUM|CNS|
CNS|ADF,|ADF|IST|ICN|FUK|GUM|CNS|
CNS|AJI,|AJI|IST|ICN|FUK|GUM|CNS|
CNS|BAL,|BAL|IST|ICN|FUK|GUM|CNS|
CNS|BJV,|BJV|IST|ICN|FUK|GUM|CNS|
CNS|CKZ,|CKZ|ESB|IST|ICN|FUK|GUM|CNS|
CNS|DIY,|DIY|IST|ICN|FUK|GUM|CNS|
CNS|ECN,|ECN|IST|ICN|FUK|GUM|CNS|
CNS|ERC,|ERC|IST|ICN|FUK|GUM|CNS|
CNS|ERZ,|ERZ|IST|ICN|FUK|GUM|CNS|
CNS|EZS,|EZS|IST|ICN|FUK|GUM|CNS|
CNS|GNY,|GNY|IST|ICN|FUK|GUM|CNS|
CNS|GZP,|GZP|ESB|IST|ICN|FUK|GUM|CNS|
CNS|GZT,|GZT|IST|ICN|FUK|GUM|CNS|
CNS|HTY,|HTY|IST|ICN|FUK|GUM|CNS|
CNS|KCM,|KCM|IST|ICN|FUK|GUM|CNS|
CNS|KSY,|KSY|IST|ICN|FUK|GUM|CNS|
CNS|MLX,|MLX|IST|ICN|FUK|GUM|CNS|
CNS|MQM,|MQM|IST|ICN|FUK|GUM|CNS|
