SYZ|HSN,|HSN|LYG|XUZ|INC|URC|IST|SYZ|
SYZ|DLU,|DLU|KMG|CTU|URC|IST|SYZ|
SYZ|SYM,|SYM|KMG|CTU|URC|IST|SYZ|
SYZ|ZAT,|ZAT|KMG|CTU|URC|IST|SYZ|
SYZ|LUN,|LUN|NBO|IST|SYZ|
SYZ|AOG,|AOG|PEK|IST|SYZ|
SYZ|GMP,|GMP|PEK|IST|SYZ|
SYZ|ISB,|ISB|IST|SYZ|
SYZ|TAS,|TAS|IST|SYZ|
SYZ|WUS,|WUS|PEK|IST|SYZ|
SYZ|JMU,|JMU|PVG|IST|SYZ|
SYZ|NDG,|NDG|PVG|IST|SYZ|
SYZ|JXA,|JXA|SHE|PEK|IST|SYZ|
SYZ|PUS,|PUS|SHE|PEK|IST|SYZ|
SYZ|BKI,|BKI|SZX|CKG|URC|IST|SYZ|
SYZ|AKU,|AKU|URC|IST|SYZ|
SYZ|ALA,|ALA|IST|SYZ|
SYZ|ASB,|ASB|IST|SYZ|
SYZ|DNH,|DNH|URC|IST|SYZ|
SYZ|DYU,|DYU|IST|SYZ|
SYZ|FRU,|FRU|IST|SYZ|
SYZ|GYD,|GYD|IST|SYZ|
SYZ|HTN,|HTN|URC|IST|SYZ|
SYZ|IKA,|IKA|IST|SYZ|
SYZ|KCA,|KCA|URC|IST|SYZ|
SYZ|KHG,|KHG|URC|IST|SYZ|
SYZ|KRL,|KRL|URC|IST|SYZ|
SYZ|KRY,|KRY|URC|IST|SYZ|
SYZ|LBD,|LBD|URC|IST|SYZ|
SYZ|NLT,|NLT|URC|IST|SYZ|
SYZ|OSS,|OSS|IST|SYZ|
SYZ|OVB,|OVB|IST|SYZ|
SYZ|TBS,|TBS|IST|SYZ|
SYZ|TCG,|TCG|URC|IST|SYZ|
SYZ|TSE,|TSE|IST|SYZ|
SYZ|YIN,|YIN|URC|IST|SYZ|
SYZ|ENH,|ENH|WUH|URC|IST|SYZ|
SYZ|ENY,|ENY|XIY|URC|IST|SYZ|
SYZ|WXN,|WXN|XIY|URC|IST|SYZ|
SYZ|BLL,|BLL|IST|SYZ|
SYZ|ESB,|ESB|IST|SYZ|
SYZ|SAW,|SAW|ADB|IST|SYZ|
SYZ|HAM,|HAM|IST|SYZ|
SYZ|HRE,|HRE|ADD|IST|SYZ|
SYZ|JUB,|JUB|CAI|IST|SYZ|
SYZ|SSG,|SSG|DLA|IST|SYZ|
SYZ|BGW,|BGW|IST|SYZ|
SYZ|EBL,|EBL|IST|SYZ|
SYZ|VKO,|VKO|IST|SYZ|
SYZ|MCT,|MCT|IST|SYZ|
SYZ|AYT,|AYT|IST|SYZ|
SYZ|SCQ,|SCQ|BIO|IST|SYZ|
SYZ|AAL,|AAL|IST|SYZ|
SYZ|AOE,|AOE|BRU|IST|SYZ|
SYZ|JNB,|JNB|IST|SYZ|
SYZ|LBV,|LBV|DLA|IST|SYZ|
SYZ|ADA,|ADA|IST|SYZ|
SYZ|ADB,|ADB|IST|SYZ|
SYZ|ADF,|ADF|IST|SYZ|
SYZ|AJI,|AJI|IST|SYZ|
SYZ|BAL,|BAL|IST|SYZ|
SYZ|BJV,|BJV|IST|SYZ|
SYZ|CKZ,|CKZ|ESB|IST|SYZ|
SYZ|DIY,|DIY|IST|SYZ|
SYZ|ECN,|ECN|IST|SYZ|
SYZ|ERC,|ERC|IST|SYZ|
SYZ|ERZ,|ERZ|IST|SYZ|
SYZ|EZS,|EZS|IST|SYZ|
SYZ|GNY,|GNY|IST|SYZ|
SYZ|GZP,|GZP|ESB|IST|SYZ|
SYZ|GZT,|GZT|IST|SYZ|
SYZ|HTY,|HTY|IST|SYZ|
SYZ|KCM,|KCM|IST|SYZ|
SYZ|KSY,|KSY|IST|SYZ|
SYZ|MLX,|MLX|IST|SYZ|
SYZ|MQM,|MQM|IST|SYZ|
SYZ|MSR,|MSR|IST|SYZ|
SYZ|TEQ,|TEQ|ESB|IST|SYZ|
SYZ|TZX,|TZX|IST|SYZ|
SYZ|VAN,|VAN|IST|SYZ|
SYZ|ULN,|ULN|FRU|IST|SYZ|
SYZ|HIJ,|HIJ|ICN|IST|SYZ|
SYZ|VVO,|VVO|ICN|IST|SYZ|
SYZ|ACC,|ACC|IST|SYZ|
SYZ|AER,|AER|IST|SYZ|
SYZ|AGP,|AGP|IST|SYZ|
SYZ|ALG,|ALG|IST|SYZ|
SYZ|AMM,|AMM|IST|SYZ|
SYZ|AQJ,|AQJ|IST|SYZ|
SYZ|ARN,|ARN|IST|SYZ|
SYZ|ASR,|ASR|IST|SYZ|
SYZ|ATH,|ATH|IST|SYZ|
SYZ|BAH,|BAH|IST|SYZ|
SYZ|BEG,|BEG|IST|SYZ|
SYZ|BEN,|BEN|IST|SYZ|
SYZ|BEY,|BEY|IST|SYZ|
SYZ|BHX,|BHX|IST|SYZ|
SYZ|BIO,|BIO|IST|SYZ|
SYZ|BLQ,|BLQ|IST|SYZ|
SYZ|BOM,|BOM|IST|SYZ|
SYZ|BRE,|BRE|IST|SYZ|
SYZ|BSL,|BSL|IST|SYZ|
SYZ|BSR,|BSR|IST|SYZ|
SYZ|BUD,|BUD|IST|SYZ|
SYZ|BUS,|BUS|IST|SYZ|
SYZ|CAI,|CAI|IST|SYZ|
SYZ|CGN,|CGN|IST|SYZ|
SYZ|CMN,|CMN|IST|SYZ|
SYZ|CND,|CND|IST|SYZ|
SYZ|DAR,|DAR|IST|SYZ|
SYZ|DLM,|DLM|IST|SYZ|
SYZ|DMM,|DMM|IST|SYZ|
SYZ|DNK,|DNK|IST|SYZ|
SYZ|DNZ,|DNZ|IST|SYZ|
SYZ|DOK,|DOK|IST|SYZ|
SYZ|DUS,|DUS|IST|SYZ|
SYZ|EDI,|EDI|IST|SYZ|
SYZ|ELQ,|ELQ|IST|SYZ|
SYZ|FDH,|FDH|IST|SYZ|
SYZ|GOA,|GOA|IST|SYZ|
SYZ|GOT,|GOT|IST|SYZ|
SYZ|HAJ,|HAJ|IST|SYZ|
SYZ|HBE,|HBE|IST|SYZ|
SYZ|HEL,|HEL|IST|SYZ|
SYZ|HRG,|HRG|IST|SYZ|
SYZ|IFN,|IFN|IST|SYZ|
SYZ|ISE,|ISE|IST|SYZ|
SYZ|ISU,|ISU|IST|SYZ|
SYZ|JIB,|JIB|IST|SYZ|
SYZ|JRO,|JRO|IST|SYZ|
SYZ|KAN,|KAN|IST|SYZ|
SYZ|KBL,|KBL|IST|SYZ|
SYZ|KBP,|KBP|IST|SYZ|
SYZ|KFS,|KFS|IST|SYZ|
SYZ|KHI,|KHI|IST|SYZ|
SYZ|KIV,|KIV|IST|SYZ|
SYZ|KRT,|KRT|IST|SYZ|
SYZ|KSH,|KSH|IST|SYZ|
SYZ|KVD,|KVD|IST|SYZ|
SYZ|KWI,|KWI|IST|SYZ|
SYZ|KYA,|KYA|IST|SYZ|
SYZ|KZN,|KZN|IST|SYZ|
SYZ|KZR,|KZR|IST|SYZ|
SYZ|LED,|LED|IST|SYZ|
SYZ|LEJ,|LEJ|IST|SYZ|
SYZ|LGW,|LGW|IST|SYZ|
SYZ|LHE,|LHE|IST|SYZ|
SYZ|LIS,|LIS|IST|SYZ|
SYZ|LJU,|LJU|IST|SYZ|
SYZ|LOS,|LOS|IST|SYZ|
SYZ|LUX,|LUX|IST|SYZ|
SYZ|LWO,|LWO|IST|SYZ|
SYZ|LYS,|LYS|IST|SYZ|
SYZ|MAD,|MAD|IST|SYZ|
SYZ|MAN,|MAN|IST|SYZ|
SYZ|MED,|MED|IST|SYZ|
SYZ|MHD,|MHD|IST|SYZ|
