TPE|LZH,|LZH|CAN|TPE|
TPE|MEL,|MEL|CAN|TPE|
TPE|MIG,|MIG|CSX|TPE|
TPE|MLE,|MLE|CAN|TPE|
TPE|MNL,|MNL|CAN|TPE|
TPE|MXZ,|MXZ|SZX|TPE|
TPE|NAO,|NAO|CAN|TPE|
TPE|NGB,|NGB|WUH|TPE|
TPE|NKG,|NKG|CSX|TPE|
TPE|NNY,|NNY|CGO|TPE|
TPE|PEN,|PEN|CAN|TPE|
TPE|PER,|PER|CAN|TPE|
TPE|PNH,|PNH|CAN|TPE|
TPE|REP,|REP|CAN|TPE|
TPE|RGN,|RGN|CAN|TPE|
TPE|SGN,|SGN|CAN|TPE|
TPE|SHA,|SHA|WUH|TPE|
TPE|SIN,|SIN|CAN|TPE|
TPE|SVO,|SVO|URC|TPE|
TPE|SYX,|SYX|SZX|TPE|
TPE|TAO,|TAO|PVG|TPE|
TPE|TEN,|TEN|CAN|TPE|
TPE|TNA,|TNA|WUH|TPE|
TPE|TSN,|TSN|DLC|TPE|
TPE|TXN,|TXN|CSX|TPE|
TPE|TYN,|TYN|WUH|TPE|
TPE|WNZ,|WNZ|CSX|TPE|
TPE|WUX,|WUX|CAN|TPE|
TPE|XFN,|XFN|CAN|TPE|
TPE|XIY,|XIY|WUH|TPE|
TPE|XUZ,|XUZ|CAN|TPE|
TPE|YIH,|YIH|CAN|TPE|
TPE|YIW,|YIW|CAN|TPE|
TPE|YNT,|YNT|CSX|TPE|
TPE|YNZ,|YNZ|WUH|TPE|
TPE|YTY,|YTY|CSX|TPE|
TPE|ZHA,|ZHA|CAN|TPE|
TPE|ZYI,|ZYI|CAN|TPE|
TPE|BAV,|BAV|CGO|TPE|
TPE|CJU,|CJU|CSX|TPE|
TPE|DSN,|DSN|CGO|TPE|
TPE|HMI,|HMI|CGO|TPE|
TPE|INC,|INC|WUH|TPE|
TPE|KHH,|KHH|WUH|TPE|
TPE|UYN,|UYN|CGO|TPE|
TPE|XNN,|XNN|XIY|WUH|TPE|
TPE|ZUH,|ZUH|MXZ|SZX|TPE|
TPE|YNJ,|YNJ|PVG|TPE|
TPE|DAT,|DAT|TYN|WUH|TPE|
TPE|JHG,|JHG|KMG|KWL|TPE|
TPE|LJG,|LJG|KWE|TPE|
TPE|LXA,|LXA|CKG|CSX|TPE|
TPE|YCU,|YCU|CSX|TPE|
TPE|LZO,|LZO|CSX|TPE|
TPE|MDG,|MDG|PVG|TPE|
TPE|NGO,|NGO|PVG|TPE|
TPE|TOY,|TOY|DLC|TPE|
TPE|MFM,|MFM|XMN|SZX|TPE|
TPE|TGO,|TGO|HET|TAO|PVG|TPE|
TPE|XIL,|XIL|HET|TAO|PVG|TPE|
TPE|HEK,|HEK|HRB|TPE|
TPE|KIJ,|KIJ|HRB|TPE|
TPE|LDS,|LDS|HRB|TPE|
TPE|OHE,|OHE|HRB|TPE|
TPE|HSN,|HSN|SZX|TPE|
TPE|DLU,|DLU|KWE|TPE|
TPE|SYM,|SYM|KMG|KWL|TPE|
TPE|ZAT,|ZAT|KMG|KWL|TPE|
TPE|LUN,|LUN|NBO|CAN|TPE|
TPE|AOG,|AOG|PEK|PVG|TPE|
TPE|GMP,|GMP|PEK|PVG|TPE|
TPE|ISB,|ISB|URC|TPE|
TPE|TAS,|TAS|URC|TPE|
TPE|WUS,|WUS|PEK|PVG|TPE|
TPE|JMU,|JMU|PVG|TPE|
TPE|NDG,|NDG|PVG|TPE|
TPE|JXA,|JXA|SHE|TPE|
TPE|PUS,|PUS|SHE|TPE|
TPE|BKI,|BKI|SZX|TPE|
TPE|AKU,|AKU|URC|TPE|
TPE|ALA,|ALA|URC|TPE|
TPE|ASB,|ASB|URC|TPE|
TPE|DNH,|DNH|XIY|WUH|TPE|
TPE|DYU,|DYU|URC|TPE|
TPE|FRU,|FRU|URC|TPE|
TPE|GYD,|GYD|URC|TPE|
TPE|HTN,|HTN|URC|TPE|
TPE|IKA,|IKA|URC|TPE|
TPE|KCA,|KCA|URC|TPE|
TPE|KHG,|KHG|URC|TPE|
TPE|KRL,|KRL|URC|TPE|
TPE|KRY,|KRY|URC|TPE|
TPE|LBD,|LBD|URC|TPE|
TPE|NLT,|NLT|URC|TPE|
TPE|OSS,|OSS|URC|TPE|
TPE|OVB,|OVB|URC|TPE|
TPE|TBS,|TBS|URC|TPE|
TPE|TCG,|TCG|URC|TPE|
TPE|TSE,|TSE|URC|TPE|
TPE|YIN,|YIN|URC|TPE|
TPE|ENH,|ENH|WUH|TPE|
TPE|ENY,|ENY|XIY|WUH|TPE|
TPE|WXN,|WXN|XIY|WUH|TPE|
TPE|BLL,|BLL|IST|URC|TPE|
TPE|ESB,|ESB|SAW|TBS|URC|TPE|
TPE|SAW,|SAW|TBS|URC|TPE|
TPE|HAM,|HAM|IST|URC|TPE|
TPE|HRE,|HRE|ADD|IST|URC|TPE|
TPE|JUB,|JUB|CAI|IST|URC|TPE|
TPE|SSG,|SSG|DLA|IST|URC|TPE|
TPE|BGW,|BGW|ESB|SAW|TBS|URC|TPE|
TPE|EBL,|EBL|IST|URC|TPE|
TPE|VKO,|VKO|IST|URC|TPE|
TPE|MCT,|MCT|IST|URC|TPE|
TPE|AYT,|AYT|IST|URC|TPE|
TPE|SCQ,|SCQ|BIO|IST|URC|TPE|
TPE|AAL,|AAL|IST|URC|TPE|
TPE|AOE,|AOE|BRU|IST|URC|TPE|
TPE|JNB,|JNB|IST|URC|TPE|
TPE|LBV,|LBV|DLA|IST|URC|TPE|
TPE|ADA,|ADA|SAW|TBS|URC|TPE|
TPE|ADB,|ADB|IST|URC|TPE|
TPE|ADF,|ADF|ESB|SAW|TBS|URC|TPE|
TPE|AJI,|AJI|ESB|SAW|TBS|URC|TPE|
TPE|BAL,|BAL|ESB|SAW|TBS|URC|TPE|
TPE|BJV,|BJV|IST|URC|TPE|
TPE|CKZ,|CKZ|ESB|SAW|TBS|URC|TPE|
TPE|DIY,|DIY|SAW|TBS|URC|TPE|
TPE|ECN,|ECN|SAW|TBS|URC|TPE|
TPE|ERC,|ERC|ESB|SAW|TBS|URC|TPE|
TPE|ERZ,|ERZ|SAW|TBS|URC|TPE|
TPE|EZS,|EZS|SAW|TBS|URC|TPE|
TPE|GNY,|GNY|ESB|SAW|TBS|URC|TPE|
TPE|GZP,|GZP|ESB|SAW|TBS|URC|TPE|
TPE|GZT,|GZT|SAW|TBS|URC|TPE|
TPE|HTY,|HTY|SAW|TBS|URC|TPE|
TPE|KCM,|KCM|ESB|SAW|TBS|URC|TPE|
TPE|KSY,|KSY|SAW|TBS|URC|TPE|
TPE|MLX,|MLX|ESB|SAW|TBS|URC|TPE|
TPE|MQM,|MQM|SAW|TBS|URC|TPE|
TPE|MSR,|MSR|ESB|SAW|TBS|URC|TPE|
TPE|TEQ,|TEQ|ESB|SAW|TBS|URC|TPE|
TPE|TZX,|TZX|SAW|TBS|URC|TPE|
TPE|VAN,|VAN|SAW|TBS|URC|TPE|
TPE|ULN,|ULN|FRU|URC|TPE|
TPE|HIJ,|HIJ|ICN|PVG|TPE|
TPE|VVO,|VVO|ICN|PVG|TPE|
TPE|ACC,|ACC|IST|URC|TPE|
TPE|AER,|AER|IST|URC|TPE|
TPE|AGP,|AGP|IST|URC|TPE|
TPE|ALG,|ALG|IST|URC|TPE|
TPE|AMM,|AMM|IST|URC|TPE|
TPE|AQJ,|AQJ|IST|URC|TPE|
TPE|ARN,|ARN|IST|URC|TPE|
TPE|ASR,|ASR|SAW|TBS|URC|TPE|
TPE|ATH,|ATH|IST|URC|TPE|
TPE|BAH,|BAH|KWI|SAW|TBS|URC|TPE|
TPE|BEG,|BEG|IST|URC|TPE|
TPE|BEN,|BEN|IST|URC|TPE|
TPE|BEY,|BEY|IST|URC|TPE|
TPE|BHX,|BHX|IST|URC|TPE|
TPE|BIO,|BIO|IST|URC|TPE|
TPE|BLQ,|BLQ|IST|URC|TPE|
TPE|BOM,|BOM|IST|URC|TPE|
TPE|BRE,|BRE|IST|URC|TPE|
TPE|BSL,|BSL|IST|URC|TPE|
TPE|BSR,|BSR|IST|URC|TPE|
TPE|BUD,|BUD|IST|URC|TPE|
TPE|BUS,|BUS|IST|URC|TPE|
TPE|CAI,|CAI|IST|URC|TPE|
TPE|CGN,|CGN|IST|URC|TPE|
TPE|CMN,|CMN|IST|URC|TPE|
TPE|CND,|CND|IST|URC|TPE|
TPE|DAR,|DAR|NBO|CAN|TPE|
TPE|DLM,|DLM|IST|URC|TPE|
TPE|DMM,|DMM|IST|URC|TPE|
TPE|DNK,|DNK|IST|URC|TPE|
TPE|DNZ,|DNZ|IST|URC|TPE|
TPE|DOK,|DOK|IST|URC|TPE|
TPE|DUS,|DUS|IST|URC|TPE|
TPE|EDI,|EDI|IST|URC|TPE|
TPE|ELQ,|ELQ|IST|URC|TPE|
TPE|FDH,|FDH|IST|URC|TPE|
TPE|GOA,|GOA|IST|URC|TPE|
TPE|GOT,|GOT|IST|URC|TPE|
TPE|HAJ,|HAJ|IST|URC|TPE|
TPE|HBE,|HBE|IST|URC|TPE|
TPE|HEL,|HEL|IST|URC|TPE|
TPE|HRG,|HRG|IST|URC|TPE|
TPE|IFN,|IFN|IST|URC|TPE|
TPE|ISE,|ISE|IST|URC|TPE|
TPE|ISU,|ISU|IST|URC|TPE|
TPE|JIB,|JIB|IST|URC|TPE|
TPE|JRO,|JRO|IST|URC|TPE|
TPE|KAN,|KAN|IST|URC|TPE|
TPE|KBL,|KBL|IST|URC|TPE|
TPE|KBP,|KBP|IST|URC|TPE|
TPE|KFS,|KFS|IST|URC|TPE|
TPE|KHI,|KHI|IST|URC|TPE|
TPE|KIV,|KIV|IST|URC|TPE|
TPE|KRT,|KRT|IST|URC|TPE|
TPE|KSH,|KSH|IST|URC|TPE|
TPE|KVD,|KVD|IST|URC|TPE|
TPE|KWI,|KWI|SAW|TBS|URC|TPE|
TPE|KYA,|KYA|SAW|TBS|URC|TPE|
TPE|KZN,|KZN|IST|URC|TPE|
TPE|KZR,|KZR|IST|URC|TPE|
TPE|LED,|LED|IST|URC|TPE|
TPE|LEJ,|LEJ|IST|URC|TPE|
TPE|LGW,|LGW|IST|URC|TPE|
TPE|LHE,|LHE|IST|URC|TPE|
TPE|LIS,|LIS|IST|URC|TPE|
TPE|LJU,|LJU|IST|URC|TPE|
TPE|LOS,|LOS|IST|URC|TPE|
TPE|LUX,|LUX|IST|URC|TPE|
TPE|LWO,|LWO|IST|URC|TPE|
TPE|LYS,|LYS|IST|URC|TPE|
TPE|MAD,|MAD|IST|URC|TPE|
TPE|MAN,|MAN|IST|URC|TPE|
TPE|MED,|MED|IST|URC|TPE|
TPE|MHD,|MHD|IST|URC|TPE|
TPE|MLA,|MLA|IST|URC|TPE|
TPE|MRS,|MRS|IST|URC|TPE|
TPE|MSQ,|MSQ|IST|URC|TPE|
TPE|MXP,|MXP|IST|URC|TPE|
TPE|MZH,|MZH|IST|URC|TPE|
TPE|MZR,|MZR|IST|URC|TPE|
TPE|NAJ,|NAJ|IST|URC|TPE|
TPE|NAV,|NAV|IST|URC|TPE|
TPE|NCE,|NCE|IST|URC|TPE|
TPE|NIM,|NIM|IST|URC|TPE|
TPE|NJF,|NJF|IST|URC|TPE|
TPE|NSI,|NSI|IST|URC|TPE|
TPE|NUE,|NUE|IST|URC|TPE|
TPE|ODS,|ODS|IST|URC|TPE|
TPE|ORN,|ORN|IST|URC|TPE|
TPE|OTP,|OTP|IST|URC|TPE|
TPE|PRG,|PRG|IST|URC|TPE|
TPE|PRN,|PRN|IST|URC|TPE|
TPE|RIX,|RIX|IST|URC|TPE|
TPE|ROV,|ROV|IST|URC|TPE|
TPE|RTM,|RTM|IST|URC|TPE|
TPE|RUH,|RUH|IST|URC|TPE|
TPE|SAH,|SAH|IST|URC|TPE|
TPE|SJJ,|SJJ|IST|URC|TPE|
TPE|SKG,|SKG|IST|URC|TPE|
TPE|SKP,|SKP|IST|URC|TPE|
TPE|SSH,|SSH|IST|URC|TPE|
TPE|STR,|STR|IST|URC|TPE|
TPE|SVX,|SVX|IST|URC|TPE|
TPE|SYZ,|SYZ|IST|URC|TPE|
TPE|SZG,|SZG|IST|URC|TPE|
TPE|TBZ,|TBZ|IST|URC|TPE|
TPE|TGD,|TGD|IST|URC|TPE|
TPE|TIA,|TIA|IST|URC|TPE|
TPE|TIF,|TIF|IST|URC|TPE|
TPE|TIP,|TIP|IST|URC|TPE|
TPE|TLL,|TLL|IST|URC|TPE|
TPE|TLS,|TLS|IST|URC|TPE|
TPE|TRN,|TRN|IST|URC|TPE|
TPE|TUN,|TUN|IST|URC|TPE|
TPE|TXL,|TXL|IST|URC|TPE|
TPE|UFA,|UFA|IST|URC|TPE|
TPE|VAS,|VAS|SAW|TBS|URC|TPE|
TPE|VCE,|VCE|IST|URC|TPE|
TPE|YNB,|YNB|IST|URC|TPE|
TPE|ZAG,|ZAG|IST|URC|TPE|
TPE|MGQ,|MGQ|JIB|IST|URC|TPE|
TPE|CPT,|CPT|JNB|IST|URC|TPE|
TPE|MBA,|MBA|JRO|IST|URC|TPE|
TPE|NDJ,|NDJ|KAN|IST|URC|TPE|
TPE|CMB,|CMB|MLE|CAN|TPE|
TPE|ADE,|ADE|SAH|IST|URC|TPE|
TPE|ASF,|ASF|SAW|TBS|URC|TPE|
TPE|STW,|STW|SAW|TBS|URC|TPE|
TPE|LFW,|LFW|ABJ|OUA|NIM|IST|URC|TPE|
TPE|CEC,|CEC|SFO|TPE|
TPE|SMF,|SMF|SFO|TPE|
TPE|CDR,|CDR|AIA|DEN|YVR|PVG|TPE|
TPE|FMN,|FMN|DEN|YVR|PVG|TPE|
TPE|JST,|JST|IAD|YYZ|PVG|TPE|
TPE|JHW,|JHW|CLE|YYZ|PVG|TPE|
TPE|SHD,|SHD|IAD|YYZ|PVG|TPE|
TPE|PTY,|PTY|IAH|YVR|PVG|TPE|
TPE|FNA,|FNA|BRU|IST|URC|TPE|
TPE|SXB,|SXB|BRU|IST|URC|TPE|
TPE|ACV,|ACV|SFO|TPE|
TPE|MGW,|MGW|IAD|YYZ|PVG|TPE|
TPE|ALB,|ALB|EWR|PVG|TPE|
TPE|AUS,|AUS|DEN|YVR|PVG|TPE|
TPE|BFD,|BFD|CLE|YYZ|PVG|TPE|
TPE|BUF,|BUF|CLE|YYZ|PVG|TPE|
TPE|CHS,|CHS|ORD|PVG|TPE|
TPE|DAY,|DAY|ORD|PVG|TPE|
TPE|DUJ,|DUJ|CLE|YYZ|PVG|TPE|
TPE|ERI,|ERI|CLE|YYZ|PVG|TPE|
TPE|FKL,|FKL|CLE|YYZ|PVG|TPE|
TPE|FNT,|FNT|CLE|YYZ|PVG|TPE|
TPE|GRR,|GRR|ORD|PVG|TPE|
TPE|GSP,|GSP|ORD|PVG|TPE|
TPE|PBI,|PBI|ATL|ORD|PVG|TPE|
TPE|PKB,|PKB|CLE|YYZ|PVG|TPE|
TPE|RIC,|RIC|IAD|YYZ|PVG|TPE|
TPE|SDF,|SDF|ORD|PVG|TPE|
