SGF|AKU,|AKU|URC|TSE|FRA|ORD|SGF|
SGF|ALA,|ALA|TSE|FRA|ORD|SGF|
SGF|ASB,|ASB|GYD|FRA|ORD|SGF|
SGF|DNH,|DNH|XIY|PEK|ORD|SGF|
SGF|DYU,|DYU|IST|ORD|SGF|
SGF|FRU,|FRU|IST|ORD|SGF|
SGF|GYD,|GYD|FRA|ORD|SGF|
SGF|HTN,|HTN|URC|TSE|FRA|ORD|SGF|
SGF|IKA,|IKA|SAW|VIE|ORD|SGF|
SGF|KCA,|KCA|URC|TSE|FRA|ORD|SGF|
SGF|KHG,|KHG|URC|TSE|FRA|ORD|SGF|
SGF|KRL,|KRL|URC|TSE|FRA|ORD|SGF|
SGF|KRY,|KRY|URC|TSE|FRA|ORD|SGF|
SGF|LBD,|LBD|URC|TSE|FRA|ORD|SGF|
SGF|NLT,|NLT|URC|TSE|FRA|ORD|SGF|
SGF|OSS,|OSS|IST|ORD|SGF|
SGF|OVB,|OVB|IST|ORD|SGF|
SGF|TBS,|TBS|SAW|VIE|ORD|SGF|
SGF|TCG,|TCG|URC|TSE|FRA|ORD|SGF|
SGF|TSE,|TSE|FRA|ORD|SGF|
SGF|YIN,|YIN|URC|TSE|FRA|ORD|SGF|
SGF|ENH,|ENH|WUH|PEK|ORD|SGF|
SGF|ENY,|ENY|XIY|PEK|ORD|SGF|
SGF|WXN,|WXN|XIY|PEK|ORD|SGF|
SGF|BLL,|BLL|IST|ORD|SGF|
SGF|ESB,|ESB|VIE|ORD|SGF|
SGF|SAW,|SAW|VIE|ORD|SGF|
SGF|HAM,|HAM|EWR|ORD|SGF|
SGF|HRE,|HRE|ADD|IST|ORD|SGF|
SGF|JUB,|JUB|CAI|IST|ORD|SGF|
SGF|SSG,|SSG|DLA|BRU|ORD|SGF|
SGF|BGW,|BGW|ESB|VIE|ORD|SGF|
SGF|EBL,|EBL|IST|ORD|SGF|
SGF|VKO,|VKO|IST|ORD|SGF|
SGF|MCT,|MCT|IST|ORD|SGF|
SGF|AYT,|AYT|IST|ORD|SGF|
SGF|SCQ,|SCQ|BIO|IST|ORD|SGF|
SGF|AAL,|AAL|IST|ORD|SGF|
SGF|AOE,|AOE|BRU|ORD|SGF|
SGF|JNB,|JNB|DKR|IAD|ORD|SGF|
SGF|LBV,|LBV|DLA|BRU|ORD|SGF|
SGF|ADA,|ADA|IST|ORD|SGF|
SGF|ADB,|ADB|IST|ORD|SGF|
SGF|ADF,|ADF|ESB|VIE|ORD|SGF|
SGF|AJI,|AJI|ESB|VIE|ORD|SGF|
SGF|BAL,|BAL|ESB|VIE|ORD|SGF|
SGF|BJV,|BJV|IST|ORD|SGF|
SGF|CKZ,|CKZ|ESB|VIE|ORD|SGF|
SGF|DIY,|DIY|ESB|VIE|ORD|SGF|
SGF|ECN,|ECN|IST|ORD|SGF|
SGF|ERC,|ERC|ESB|VIE|ORD|SGF|
SGF|ERZ,|ERZ|ESB|VIE|ORD|SGF|
SGF|EZS,|EZS|ESB|VIE|ORD|SGF|
SGF|GNY,|GNY|ESB|VIE|ORD|SGF|
SGF|GZP,|GZP|ESB|VIE|ORD|SGF|
SGF|GZT,|GZT|ESB|VIE|ORD|SGF|
SGF|HTY,|HTY|IST|ORD|SGF|
SGF|KCM,|KCM|ESB|VIE|ORD|SGF|
SGF|KSY,|KSY|ESB|VIE|ORD|SGF|
SGF|MLX,|MLX|ESB|VIE|ORD|SGF|
SGF|MQM,|MQM|ESB|VIE|ORD|SGF|
SGF|MSR,|MSR|ESB|VIE|ORD|SGF|
SGF|TEQ,|TEQ|ESB|VIE|ORD|SGF|
SGF|TZX,|TZX|ESB|VIE|ORD|SGF|
SGF|VAN,|VAN|ESB|VIE|ORD|SGF|
SGF|ULN,|ULN|FRU|IST|ORD|SGF|
SGF|HIJ,|HIJ|ICN|YVR|DEN|SGF|
SGF|VVO,|VVO|ICN|YVR|DEN|SGF|
SGF|ACC,|ACC|IST|ORD|SGF|
SGF|AER,|AER|IST|ORD|SGF|
SGF|AGP,|AGP|IST|ORD|SGF|
SGF|ALG,|ALG|IST|ORD|SGF|
SGF|AMM,|AMM|IST|ORD|SGF|
SGF|AQJ,|AQJ|IST|ORD|SGF|
SGF|ARN,|ARN|EWR|ORD|SGF|
SGF|ASR,|ASR|SAW|VIE|ORD|SGF|
SGF|ATH,|ATH|IST|ORD|SGF|
SGF|BAH,|BAH|IST|ORD|SGF|
SGF|BEG,|BEG|IST|ORD|SGF|
SGF|BEN,|BEN|IST|ORD|SGF|
SGF|BEY,|BEY|IST|ORD|SGF|
SGF|BHX,|BHX|EWR|ORD|SGF|
SGF|BIO,|BIO|IST|ORD|SGF|
SGF|BLQ,|BLQ|IST|ORD|SGF|
SGF|BOM,|BOM|IST|ORD|SGF|
SGF|BRE,|BRE|IST|ORD|SGF|
SGF|BSL,|BSL|IST|ORD|SGF|
SGF|BSR,|BSR|IST|ORD|SGF|
SGF|BUD,|BUD|IST|ORD|SGF|
SGF|BUS,|BUS|IST|ORD|SGF|
SGF|CAI,|CAI|IST|ORD|SGF|
SGF|CGN,|CGN|IST|ORD|SGF|
SGF|CMN,|CMN|IST|ORD|SGF|
SGF|CND,|CND|IST|ORD|SGF|
SGF|DAR,|DAR|NBO|ZRH|ORD|SGF|
SGF|DLM,|DLM|IST|ORD|SGF|
SGF|DMM,|DMM|IST|ORD|SGF|
SGF|DNK,|DNK|IST|ORD|SGF|
SGF|DNZ,|DNZ|IST|ORD|SGF|
SGF|DOK,|DOK|IST|ORD|SGF|
SGF|DUS,|DUS|ORD|SGF|
SGF|EDI,|EDI|EWR|ORD|SGF|
SGF|ELQ,|ELQ|IST|ORD|SGF|
SGF|FDH,|FDH|IST|ORD|SGF|
SGF|GOA,|GOA|IST|ORD|SGF|
SGF|GOT,|GOT|BRU|ORD|SGF|
SGF|HAJ,|HAJ|BRU|ORD|SGF|
SGF|HBE,|HBE|IST|ORD|SGF|
SGF|HEL,|HEL|IST|ORD|SGF|
SGF|HRG,|HRG|IST|ORD|SGF|
SGF|IFN,|IFN|IST|ORD|SGF|
SGF|ISE,|ISE|IST|ORD|SGF|
SGF|ISU,|ISU|IST|ORD|SGF|
SGF|JIB,|JIB|IST|ORD|SGF|
SGF|JRO,|JRO|IST|ORD|SGF|
SGF|KAN,|KAN|IST|ORD|SGF|
SGF|KBL,|KBL|IST|ORD|SGF|
SGF|KBP,|KBP|IST|ORD|SGF|
SGF|KFS,|KFS|IST|ORD|SGF|
SGF|KHI,|KHI|IST|ORD|SGF|
SGF|KIV,|KIV|IST|ORD|SGF|
SGF|KRT,|KRT|IST|ORD|SGF|
SGF|KSH,|KSH|IST|ORD|SGF|
SGF|KVD,|KVD|IST|ORD|SGF|
SGF|KWI,|KWI|SAW|VIE|ORD|SGF|
SGF|KYA,|KYA|IST|ORD|SGF|
SGF|KZN,|KZN|IST|ORD|SGF|
SGF|KZR,|KZR|IST|ORD|SGF|
SGF|LED,|LED|VIE|ORD|SGF|
SGF|LEJ,|LEJ|IST|ORD|SGF|
SGF|LGW,|LGW|IST|ORD|SGF|
SGF|LHE,|LHE|IST|ORD|SGF|
SGF|LIS,|LIS|EWR|ORD|SGF|
SGF|LJU,|LJU|IST|ORD|SGF|
SGF|LOS,|LOS|FRA|ORD|SGF|
SGF|LUX,|LUX|IST|ORD|SGF|
SGF|LWO,|LWO|IST|ORD|SGF|
SGF|LYS,|LYS|IST|ORD|SGF|
SGF|MAD,|MAD|EWR|ORD|SGF|
SGF|MAN,|MAN|EWR|ORD|SGF|
SGF|MED,|MED|IST|ORD|SGF|
SGF|MHD,|MHD|IST|ORD|SGF|
SGF|MLA,|MLA|IST|ORD|SGF|
SGF|MRS,|MRS|IST|ORD|SGF|
SGF|MSQ,|MSQ|IST|ORD|SGF|
SGF|MXP,|MXP|EWR|ORD|SGF|
SGF|MZH,|MZH|IST|ORD|SGF|
SGF|MZR,|MZR|IST|ORD|SGF|
SGF|NAJ,|NAJ|IST|ORD|SGF|
SGF|NAV,|NAV|IST|ORD|SGF|
SGF|NCE,|NCE|IST|ORD|SGF|
SGF|NIM,|NIM|IST|ORD|SGF|
SGF|NJF,|NJF|IST|ORD|SGF|
SGF|NSI,|NSI|BRU|ORD|SGF|
SGF|NUE,|NUE|IST|ORD|SGF|
SGF|ODS,|ODS|IST|ORD|SGF|
SGF|ORN,|ORN|IST|ORD|SGF|
SGF|OTP,|OTP|IST|ORD|SGF|
SGF|PRG,|PRG|BRU|ORD|SGF|
SGF|PRN,|PRN|IST|ORD|SGF|
SGF|RIX,|RIX|IST|ORD|SGF|
SGF|ROV,|ROV|IST|ORD|SGF|
SGF|RTM,|RTM|IST|ORD|SGF|
SGF|RUH,|RUH|IST|ORD|SGF|
SGF|SAH,|SAH|IST|ORD|SGF|
SGF|SJJ,|SJJ|IST|ORD|SGF|
SGF|SKG,|SKG|IST|ORD|SGF|
SGF|SKP,|SKP|IST|ORD|SGF|
SGF|SSH,|SSH|IST|ORD|SGF|
SGF|STR,|STR|EWR|ORD|SGF|
SGF|SVX,|SVX|IST|ORD|SGF|
SGF|SYZ,|SYZ|IST|ORD|SGF|
SGF|SZG,|SZG|IST|ORD|SGF|
SGF|TBZ,|TBZ|IST|ORD|SGF|
SGF|TGD,|TGD|IST|ORD|SGF|
SGF|TIA,|TIA|IST|ORD|SGF|
SGF|TIF,|TIF|IST|ORD|SGF|
SGF|TIP,|TIP|IST|ORD|SGF|
SGF|TLL,|TLL|VNO|CPH|YYZ|ORD|SGF|
SGF|TLS,|TLS|IST|ORD|SGF|
SGF|TRN,|TRN|IST|ORD|SGF|
SGF|TUN,|TUN|IST|ORD|SGF|
SGF|TXL,|TXL|EWR|ORD|SGF|
SGF|UFA,|UFA|IST|ORD|SGF|
SGF|VAS,|VAS|SAW|VIE|ORD|SGF|
SGF|VCE,|VCE|IST|ORD|SGF|
SGF|YNB,|YNB|IST|ORD|SGF|
