YBC|GMP,|GMP|PEK|YYZ|YUL|YBC|
YBC|ISB,|ISB|IST|FRA|YUL|YBC|
YBC|TAS,|TAS|IST|FRA|YUL|YBC|
YBC|WUS,|WUS|PEK|YYZ|YUL|YBC|
YBC|JMU,|JMU|PVG|YYZ|YUL|YBC|
YBC|NDG,|NDG|PVG|YYZ|YUL|YBC|
YBC|JXA,|JXA|SHE|PEK|YYZ|YUL|YBC|
YBC|PUS,|PUS|SHE|PEK|YYZ|YUL|YBC|
YBC|BKI,|BKI|SZX|PEK|YYZ|YUL|YBC|
YBC|AKU,|AKU|URC|TSE|FRA|YUL|YBC|
YBC|ALA,|ALA|TSE|FRA|YUL|YBC|
YBC|ASB,|ASB|GYD|FRA|YUL|YBC|
YBC|DNH,|DNH|URC|TSE|FRA|YUL|YBC|
YBC|DYU,|DYU|IST|FRA|YUL|YBC|
YBC|FRU,|FRU|IST|FRA|YUL|YBC|
YBC|GYD,|GYD|FRA|YUL|YBC|
YBC|HTN,|HTN|URC|TSE|FRA|YUL|YBC|
YBC|IKA,|IKA|SAW|FRA|YUL|YBC|
YBC|KCA,|KCA|URC|TSE|FRA|YUL|YBC|
YBC|KHG,|KHG|URC|TSE|FRA|YUL|YBC|
YBC|KRL,|KRL|URC|TSE|FRA|YUL|YBC|
YBC|KRY,|KRY|URC|TSE|FRA|YUL|YBC|
YBC|LBD,|LBD|URC|TSE|FRA|YUL|YBC|
YBC|NLT,|NLT|URC|TSE|FRA|YUL|YBC|
YBC|OSS,|OSS|IST|FRA|YUL|YBC|
YBC|OVB,|OVB|IST|FRA|YUL|YBC|
YBC|TBS,|TBS|SAW|FRA|YUL|YBC|
YBC|TCG,|TCG|URC|TSE|FRA|YUL|YBC|
YBC|TSE,|TSE|FRA|YUL|YBC|
YBC|YIN,|YIN|URC|TSE|FRA|YUL|YBC|
YBC|ENH,|ENH|WUH|PEK|YYZ|YUL|YBC|
YBC|ENY,|ENY|XIY|PEK|YYZ|YUL|YBC|
YBC|WXN,|WXN|XIY|PEK|YYZ|YUL|YBC|
YBC|BLL,|BLL|IST|FRA|YUL|YBC|
YBC|ESB,|ESB|FRA|YUL|YBC|
YBC|SAW,|SAW|FRA|YUL|YBC|
YBC|HAM,|HAM|EWR|YUL|YBC|
YBC|HRE,|HRE|ADD|JED|FRA|YUL|YBC|
YBC|JUB,|JUB|CAI|IST|FRA|YUL|YBC|
YBC|SSG,|SSG|DLA|BRU|YUL|YBC|
YBC|BGW,|BGW|ESB|FRA|YUL|YBC|
YBC|EBL,|EBL|IST|FRA|YUL|YBC|
YBC|VKO,|VKO|IST|FRA|YUL|YBC|
YBC|MCT,|MCT|IST|FRA|YUL|YBC|
YBC|AYT,|AYT|IST|FRA|YUL|YBC|
YBC|SCQ,|SCQ|BIO|IST|FRA|YUL|YBC|
YBC|AAL,|AAL|IST|FRA|YUL|YBC|
YBC|AOE,|AOE|BRU|YUL|YBC|
YBC|JNB,|JNB|JFK|YUL|YBC|
YBC|LBV,|LBV|DLA|BRU|YUL|YBC|
YBC|ADA,|ADA|SAW|FRA|YUL|YBC|
YBC|ADB,|ADB|IST|FRA|YUL|YBC|
YBC|ADF,|ADF|ESB|FRA|YUL|YBC|
YBC|AJI,|AJI|ESB|FRA|YUL|YBC|
YBC|BAL,|BAL|ESB|FRA|YUL|YBC|
YBC|BJV,|BJV|IST|FRA|YUL|YBC|
YBC|CKZ,|CKZ|ESB|FRA|YUL|YBC|
YBC|DIY,|DIY|ESB|FRA|YUL|YBC|
YBC|ECN,|ECN|IST|FRA|YUL|YBC|
YBC|ERC,|ERC|ESB|FRA|YUL|YBC|
YBC|ERZ,|ERZ|ESB|FRA|YUL|YBC|
YBC|EZS,|EZS|ESB|FRA|YUL|YBC|
YBC|GNY,|GNY|ESB|FRA|YUL|YBC|
YBC|GZP,|GZP|ESB|FRA|YUL|YBC|
YBC|GZT,|GZT|ESB|FRA|YUL|YBC|
YBC|HTY,|HTY|SAW|FRA|YUL|YBC|
YBC|KCM,|KCM|ESB|FRA|YUL|YBC|
YBC|KSY,|KSY|ESB|FRA|YUL|YBC|
YBC|MLX,|MLX|ESB|FRA|YUL|YBC|
YBC|MQM,|MQM|ESB|FRA|YUL|YBC|
YBC|MSR,|MSR|ESB|FRA|YUL|YBC|
YBC|TEQ,|TEQ|ESB|FRA|YUL|YBC|
YBC|TZX,|TZX|ESB|FRA|YUL|YBC|
YBC|VAN,|VAN|ESB|FRA|YUL|YBC|
YBC|ULN,|ULN|FRU|IST|FRA|YUL|YBC|
YBC|HIJ,|HIJ|ICN|JFK|YUL|YBC|
