BHY|IND,|IND|ORD|PEK|CGO|BHY|
BHY|JFK,|JFK|PEK|CGO|BHY|
BHY|KIN,|KIN|YYZ|PEK|CGO|BHY|
BHY|LIM,|LIM|IAH|PEK|CGO|BHY|
BHY|LIR,|LIR|IAH|PEK|CGO|BHY|
BHY|MCI,|MCI|DEN|YVR|ICN|CSX|BHY|
BHY|MDT,|MDT|YYZ|PEK|CGO|BHY|
BHY|MIA,|MIA|ORD|PEK|CGO|BHY|
BHY|MKE,|MKE|ORD|PEK|CGO|BHY|
BHY|MSP,|MSP|ORD|PEK|CGO|BHY|
BHY|NAS,|NAS|YYZ|PEK|CGO|BHY|
BHY|PHL,|PHL|YYZ|PEK|CGO|BHY|
BHY|PHX,|PHX|SFO|ICN|CSX|BHY|
BHY|PIT,|PIT|YYZ|PEK|CGO|BHY|
BHY|PLS,|PLS|EWR|PEK|CGO|BHY|
BHY|POP,|POP|EWR|PEK|CGO|BHY|
BHY|RDU,|RDU|YYZ|PEK|CGO|BHY|
BHY|ROC,|ROC|YYZ|PEK|CGO|BHY|
BHY|RSW,|RSW|ORD|PEK|CGO|BHY|
BHY|SAN,|SAN|LAX|ICN|CSX|BHY|
BHY|SJO,|SJO|IAH|PEK|CGO|BHY|
BHY|STL,|STL|ORD|PEK|CGO|BHY|
BHY|SYR,|SYR|YYZ|PEK|CGO|BHY|
BHY|TLV,|TLV|SAW|TBS|URC|CKG|BHY|
BHY|TPA,|TPA|ORD|PEK|CGO|BHY|
BHY|UVF,|UVF|EWR|PEK|CGO|BHY|
BHY|VIE,|VIE|IST|URC|CKG|BHY|
BHY|YAM,|YAM|YYZ|PEK|CGO|BHY|
BHY|YGK,|YGK|YYZ|PEK|CGO|BHY|
BHY|YQG,|YQG|YYZ|PEK|CGO|BHY|
BHY|YSB,|YSB|YYZ|PEK|CGO|BHY|
BHY|YTS,|YTS|YYZ|PEK|CGO|BHY|
BHY|YYB,|YYB|YYZ|PEK|CGO|BHY|
BHY|YZR,|YZR|YYZ|PEK|CGO|BHY|
BHY|CAN,|CAN|BHY|
BHY|URC,|URC|CKG|BHY|
BHY|CTU,|CTU|KMG|BHY|
BHY|HGH,|HGH|CAN|BHY|
BHY|XMN,|XMN|CAN|BHY|
BHY|CGO,|CGO|BHY|
BHY|CSX,|CSX|BHY|
BHY|SHE,|SHE|TAO|CSX|BHY|
BHY|SJW,|SJW|BHY|
BHY|WUH,|WUH|CAN|BHY|
BHY|SZX,|SZX|MXZ|CAN|BHY|
BHY|CKG,|CKG|BHY|
BHY|KMG,|KMG|BHY|
BHY|FOC,|FOC|CAN|BHY|
BHY|NNG,|NNG|CAN|BHY|
BHY|SWA,|SWA|CAN|BHY|
BHY|ACX,|ACX|CAN|BHY|
BHY|AQG,|AQG|CAN|BHY|
BHY|AVA,|AVA|CAN|BHY|
BHY|BFJ,|BFJ|CAN|BHY|
BHY|BNE,|BNE|CAN|BHY|
BHY|CGD,|CGD|CAN|BHY|
BHY|CGK,|CGK|CAN|BHY|
BHY|CGQ,|CGQ|TAO|CSX|BHY|
BHY|CIH,|CIH|CAN|BHY|
BHY|CNX,|CNX|CAN|BHY|
BHY|CZX,|CZX|CSX|BHY|
BHY|DAC,|DAC|CAN|BHY|
BHY|DAD,|DAD|CAN|BHY|
BHY|DEL,|DEL|CAN|BHY|
BHY|DIG,|DIG|KMG|BHY|
BHY|DLC,|DLC|CSX|BHY|
BHY|DPS,|DPS|CAN|BHY|
BHY|DXB,|DXB|CAN|BHY|
BHY|DYG,|DYG|CSX|BHY|
BHY|FUG,|FUG|CAN|BHY|
BHY|FUK,|FUK|CAN|BHY|
BHY|HAK,|HAK|CAN|BHY|
BHY|HAN,|HAN|CAN|BHY|
BHY|HDG,|HDG|CAN|BHY|
BHY|HET,|HET|CSX|BHY|
BHY|HFE,|HFE|CSX|BHY|
BHY|HJJ,|HJJ|CAN|BHY|
BHY|HKT,|HKT|CAN|BHY|
BHY|HRB,|HRB|CSX|BHY|
BHY|HZH,|HZH|CAN|BHY|
BHY|JIU,|JIU|CAN|BHY|
BHY|JJN,|JJN|CAN|BHY|
BHY|JNG,|JNG|CAN|BHY|
BHY|KHN,|KHN|CAN|BHY|
BHY|KIX,|KIX|CAN|BHY|
BHY|KOW,|KOW|CAN|BHY|
BHY|KTM,|KTM|CAN|BHY|
BHY|KUL,|KUL|CAN|BHY|
BHY|KWE,|KWE|KMG|BHY|
BHY|KWL,|KWL|CAN|BHY|
BHY|LHW,|LHW|KMG|BHY|
