COO|MAN,|MAN|BRU|ABJ|COO|
COO|MED,|MED|IST|ABJ|COO|
COO|MHD,|MHD|IST|ABJ|COO|
COO|MLA,|MLA|IST|ABJ|COO|
COO|MRS,|MRS|IST|ABJ|COO|
COO|MSQ,|MSQ|IST|ABJ|COO|
COO|MXP,|MXP|IST|ABJ|COO|
COO|MZH,|MZH|IST|ABJ|COO|
COO|MZR,|MZR|IST|ABJ|COO|
COO|NAJ,|NAJ|IST|ABJ|COO|
COO|NAV,|NAV|IST|ABJ|COO|
COO|NCE,|NCE|IST|ABJ|COO|
COO|NIM,|NIM|IST|ABJ|COO|
COO|NJF,|NJF|IST|ABJ|COO|
COO|NSI,|NSI|IST|ABJ|COO|
COO|NUE,|NUE|IST|ABJ|COO|
COO|ODS,|ODS|IST|ABJ|COO|
COO|ORN,|ORN|IST|ABJ|COO|
COO|OTP,|OTP|IST|ABJ|COO|
COO|PRG,|PRG|BRU|ABJ|COO|
COO|PRN,|PRN|IST|ABJ|COO|
COO|RIX,|RIX|IST|ABJ|COO|
COO|ROV,|ROV|IST|ABJ|COO|
COO|RTM,|RTM|IST|ABJ|COO|
COO|RUH,|RUH|IST|ABJ|COO|
COO|SAH,|SAH|IST|ABJ|COO|
COO|SJJ,|SJJ|IST|ABJ|COO|
COO|SKG,|SKG|IST|ABJ|COO|
COO|SKP,|SKP|IST|ABJ|COO|
COO|SSH,|SSH|IST|ABJ|COO|
COO|STR,|STR|IST|ABJ|COO|
COO|SVX,|SVX|IST|ABJ|COO|
COO|SYZ,|SYZ|IST|ABJ|COO|
COO|SZG,|SZG|IST|ABJ|COO|
COO|TBZ,|TBZ|IST|ABJ|COO|
COO|TGD,|TGD|IST|ABJ|COO|
COO|TIA,|TIA|IST|ABJ|COO|
COO|TIF,|TIF|IST|ABJ|COO|
COO|TIP,|TIP|IST|ABJ|COO|
