MOT|BIO,|BIO|IST|FRA|DEN|MOT|
MOT|BLQ,|BLQ|IST|FRA|DEN|MOT|
MOT|BOM,|BOM|IST|FRA|DEN|MOT|
MOT|BRE,|BRE|IST|FRA|DEN|MOT|
MOT|BSL,|BSL|IST|FRA|DEN|MOT|
MOT|BSR,|BSR|IST|FRA|DEN|MOT|
MOT|BUD,|BUD|IST|FRA|DEN|MOT|
MOT|BUS,|BUS|IST|FRA|DEN|MOT|
MOT|CAI,|CAI|IST|FRA|DEN|MOT|
MOT|CGN,|CGN|IST|FRA|DEN|MOT|
MOT|CMN,|CMN|IST|FRA|DEN|MOT|
MOT|CND,|CND|IST|FRA|DEN|MOT|
MOT|DAR,|DAR|NBO|ZRH|ORD|DEN|MOT|
MOT|DLM,|DLM|IST|FRA|DEN|MOT|
MOT|DMM,|DMM|IST|FRA|DEN|MOT|
MOT|DNK,|DNK|IST|FRA|DEN|MOT|
MOT|DNZ,|DNZ|IST|FRA|DEN|MOT|
MOT|DOK,|DOK|IST|FRA|DEN|MOT|
MOT|DUS,|DUS|ORD|DEN|MOT|
MOT|EDI,|EDI|EWR|DEN|MOT|
MOT|ELQ,|ELQ|IST|FRA|DEN|MOT|
MOT|FDH,|FDH|IST|FRA|DEN|MOT|
MOT|GOA,|GOA|IST|FRA|DEN|MOT|
MOT|GOT,|GOT|BRU|ORD|DEN|MOT|
MOT|HAJ,|HAJ|BRU|ORD|DEN|MOT|
MOT|HBE,|HBE|IST|FRA|DEN|MOT|
MOT|HEL,|HEL|IST|FRA|DEN|MOT|
MOT|HRG,|HRG|IST|FRA|DEN|MOT|
MOT|IFN,|IFN|IST|FRA|DEN|MOT|
MOT|ISE,|ISE|IST|FRA|DEN|MOT|
MOT|ISU,|ISU|IST|FRA|DEN|MOT|
MOT|JIB,|JIB|IST|FRA|DEN|MOT|
MOT|JRO,|JRO|IST|FRA|DEN|MOT|
MOT|KAN,|KAN|IST|FRA|DEN|MOT|
MOT|KBL,|KBL|IST|FRA|DEN|MOT|
MOT|KBP,|KBP|IST|FRA|DEN|MOT|
MOT|KFS,|KFS|IST|FRA|DEN|MOT|
MOT|KHI,|KHI|IST|FRA|DEN|MOT|
MOT|KIV,|KIV|IST|FRA|DEN|MOT|
MOT|KRT,|KRT|IST|FRA|DEN|MOT|
MOT|KSH,|KSH|IST|FRA|DEN|MOT|
MOT|KVD,|KVD|IST|FRA|DEN|MOT|
MOT|KWI,|KWI|SAW|FRA|DEN|MOT|
MOT|KYA,|KYA|IST|FRA|DEN|MOT|
MOT|KZN,|KZN|IST|FRA|DEN|MOT|
MOT|KZR,|KZR|IST|FRA|DEN|MOT|
MOT|LED,|LED|VIE|ORD|DEN|MOT|
MOT|LEJ,|LEJ|IST|FRA|DEN|MOT|
MOT|LGW,|LGW|IST|FRA|DEN|MOT|
MOT|LHE,|LHE|IST|FRA|DEN|MOT|
MOT|LIS,|LIS|EWR|DEN|MOT|
MOT|LJU,|LJU|IST|FRA|DEN|MOT|
MOT|LOS,|LOS|IAH|DEN|MOT|
MOT|LUX,|LUX|IST|FRA|DEN|MOT|
MOT|LWO,|LWO|IST|FRA|DEN|MOT|
MOT|LYS,|LYS|IST|FRA|DEN|MOT|
MOT|MAD,|MAD|EWR|DEN|MOT|
MOT|MAN,|MAN|EWR|DEN|MOT|
MOT|MED,|MED|IST|FRA|DEN|MOT|
MOT|MHD,|MHD|IST|FRA|DEN|MOT|
MOT|MLA,|MLA|IST|FRA|DEN|MOT|
MOT|MRS,|MRS|IST|FRA|DEN|MOT|
MOT|MSQ,|MSQ|IST|FRA|DEN|MOT|
MOT|MXP,|MXP|EWR|DEN|MOT|
MOT|MZH,|MZH|IST|FRA|DEN|MOT|
MOT|MZR,|MZR|IST|FRA|DEN|MOT|
