BOI|KZR,|KZR|IST|FRA|DEN|BOI|
BOI|LED,|LED|VIE|ORD|BOI|
BOI|LEJ,|LEJ|IST|FRA|DEN|BOI|
BOI|LGW,|LGW|IST|FRA|DEN|BOI|
BOI|LHE,|LHE|IST|FRA|DEN|BOI|
BOI|LIS,|LIS|EWR|ORD|BOI|
BOI|LJU,|LJU|IST|FRA|DEN|BOI|
BOI|LOS,|LOS|IAH|DEN|BOI|
BOI|LUX,|LUX|IST|FRA|DEN|BOI|
BOI|LWO,|LWO|IST|FRA|DEN|BOI|
BOI|LYS,|LYS|IST|FRA|DEN|BOI|
BOI|MAD,|MAD|EWR|ORD|BOI|
BOI|MAN,|MAN|EWR|ORD|BOI|
BOI|MED,|MED|IST|FRA|DEN|BOI|
BOI|MHD,|MHD|IST|FRA|DEN|BOI|
BOI|MLA,|MLA|IST|FRA|DEN|BOI|
BOI|MRS,|MRS|IST|FRA|DEN|BOI|
BOI|MSQ,|MSQ|IST|FRA|DEN|BOI|
BOI|MXP,|MXP|EWR|ORD|BOI|
BOI|MZH,|MZH|IST|FRA|DEN|BOI|
BOI|MZR,|MZR|IST|FRA|DEN|BOI|
BOI|NAJ,|NAJ|IST|FRA|DEN|BOI|
BOI|NAV,|NAV|IST|FRA|DEN|BOI|
BOI|NCE,|NCE|IST|FRA|DEN|BOI|
BOI|NIM,|NIM|IST|FRA|DEN|BOI|
BOI|NJF,|NJF|IST|FRA|DEN|BOI|
BOI|NSI,|NSI|BRU|ORD|BOI|
BOI|NUE,|NUE|IST|FRA|DEN|BOI|
BOI|ODS,|ODS|IST|FRA|DEN|BOI|
BOI|ORN,|ORN|IST|FRA|DEN|BOI|
BOI|OTP,|OTP|IST|FRA|DEN|BOI|
BOI|PRG,|PRG|BRU|ORD|BOI|
BOI|PRN,|PRN|IST|FRA|DEN|BOI|
BOI|RIX,|RIX|IST|FRA|DEN|BOI|
BOI|ROV,|ROV|IST|FRA|DEN|BOI|
BOI|RTM,|RTM|IST|FRA|DEN|BOI|
BOI|RUH,|RUH|IST|FRA|DEN|BOI|
BOI|SAH,|SAH|IST|FRA|DEN|BOI|
BOI|SJJ,|SJJ|IST|FRA|DEN|BOI|
BOI|SKG,|SKG|IST|FRA|DEN|BOI|
BOI|SKP,|SKP|IST|FRA|DEN|BOI|
BOI|SSH,|SSH|IST|FRA|DEN|BOI|
BOI|STR,|STR|EWR|ORD|BOI|
BOI|SVX,|SVX|IST|FRA|DEN|BOI|
BOI|SYZ,|SYZ|IST|FRA|DEN|BOI|
BOI|SZG,|SZG|IST|FRA|DEN|BOI|
BOI|TBZ,|TBZ|IST|FRA|DEN|BOI|
BOI|TGD,|TGD|IST|FRA|DEN|BOI|
BOI|TIA,|TIA|IST|FRA|DEN|BOI|
