XNA|LED,|LED|VIE|ORD|XNA|
XNA|LEJ,|LEJ|IST|ORD|XNA|
XNA|LGW,|LGW|IST|ORD|XNA|
XNA|LHE,|LHE|IST|ORD|XNA|
XNA|LIS,|LIS|EWR|XNA|
XNA|LJU,|LJU|IST|ORD|XNA|
XNA|LOS,|LOS|IAH|XNA|
XNA|LUX,|LUX|IST|ORD|XNA|
XNA|LWO,|LWO|IST|ORD|XNA|
XNA|LYS,|LYS|IST|ORD|XNA|
XNA|MAD,|MAD|EWR|XNA|
XNA|MAN,|MAN|EWR|XNA|
XNA|MED,|MED|IST|ORD|XNA|
XNA|MHD,|MHD|IST|ORD|XNA|
XNA|MLA,|MLA|IST|ORD|XNA|
XNA|MRS,|MRS|IST|ORD|XNA|
XNA|MSQ,|MSQ|IST|ORD|XNA|
XNA|MXP,|MXP|EWR|XNA|
XNA|MZH,|MZH|IST|ORD|XNA|
XNA|MZR,|MZR|IST|ORD|XNA|
XNA|NAJ,|NAJ|IST|ORD|XNA|
XNA|NAV,|NAV|IST|ORD|XNA|
XNA|NCE,|NCE|IST|ORD|XNA|
XNA|NIM,|NIM|IST|ORD|XNA|
XNA|NJF,|NJF|IST|ORD|XNA|
XNA|NSI,|NSI|BRU|ORD|XNA|
XNA|NUE,|NUE|IST|ORD|XNA|
XNA|ODS,|ODS|IST|ORD|XNA|
XNA|ORN,|ORN|IST|ORD|XNA|
XNA|OTP,|OTP|IST|ORD|XNA|
XNA|PRG,|PRG|BRU|ORD|XNA|
XNA|PRN,|PRN|IST|ORD|XNA|
XNA|RIX,|RIX|IST|ORD|XNA|
XNA|ROV,|ROV|IST|ORD|XNA|
XNA|RTM,|RTM|IST|ORD|XNA|
XNA|RUH,|RUH|IST|ORD|XNA|
XNA|SAH,|SAH|IST|ORD|XNA|
XNA|SJJ,|SJJ|IST|ORD|XNA|
XNA|SKG,|SKG|IST|ORD|XNA|
XNA|SKP,|SKP|IST|ORD|XNA|
XNA|SSH,|SSH|IST|ORD|XNA|
XNA|STR,|STR|EWR|XNA|
XNA|SVX,|SVX|IST|ORD|XNA|
XNA|SYZ,|SYZ|IST|ORD|XNA|
XNA|SZG,|SZG|IST|ORD|XNA|
XNA|TBZ,|TBZ|IST|ORD|XNA|
XNA|TGD,|TGD|IST|ORD|XNA|
XNA|TIA,|TIA|IST|ORD|XNA|
XNA|TIF,|TIF|IST|ORD|XNA|
XNA|TIP,|TIP|IST|ORD|XNA|
XNA|TLL,|TLL|VNO|CPH|YYZ|ORD|XNA|
XNA|TLS,|TLS|IST|ORD|XNA|
XNA|TRN,|TRN|IST|ORD|XNA|
XNA|TUN,|TUN|IST|ORD|XNA|
XNA|TXL,|TXL|EWR|XNA|
