LGW|KRL,|KRL|URC|IST|LGW|
LGW|KRY,|KRY|URC|IST|LGW|
LGW|LBD,|LBD|URC|IST|LGW|
LGW|NLT,|NLT|URC|IST|LGW|
LGW|OSS,|OSS|IST|LGW|
LGW|OVB,|OVB|IST|LGW|
LGW|TBS,|TBS|SAW|LGW|
LGW|TCG,|TCG|URC|IST|LGW|
LGW|TSE,|TSE|IST|LGW|
LGW|YIN,|YIN|URC|IST|LGW|
LGW|ENH,|ENH|WUH|URC|IST|LGW|
LGW|ENY,|ENY|XIY|URC|IST|LGW|
LGW|WXN,|WXN|XIY|URC|IST|LGW|
LGW|BLL,|BLL|IST|LGW|
LGW|ESB,|ESB|SAW|LGW|
LGW|SAW,|SAW|LGW|
LGW|HAM,|HAM|IST|LGW|
LGW|HRE,|HRE|ADD|IST|LGW|
LGW|JUB,|JUB|CAI|IST|LGW|
LGW|SSG,|SSG|DLA|IST|LGW|
LGW|BGW,|BGW|IST|LGW|
LGW|EBL,|EBL|IST|LGW|
LGW|VKO,|VKO|IST|LGW|
LGW|MCT,|MCT|IST|LGW|
LGW|AYT,|AYT|IST|LGW|
LGW|SCQ,|SCQ|BIO|IST|LGW|
LGW|AAL,|AAL|IST|LGW|
LGW|AOE,|AOE|BRU|IST|LGW|
LGW|JNB,|JNB|IST|LGW|
LGW|LBV,|LBV|DLA|IST|LGW|
LGW|ADA,|ADA|IST|LGW|
LGW|ADB,|ADB|IST|LGW|
LGW|ADF,|ADF|IST|LGW|
LGW|AJI,|AJI|IST|LGW|
LGW|BAL,|BAL|ESB|SAW|LGW|
LGW|BJV,|BJV|IST|LGW|
LGW|CKZ,|CKZ|ESB|SAW|LGW|
LGW|DIY,|DIY|SAW|LGW|
LGW|ECN,|ECN|IST|LGW|
LGW|ERC,|ERC|IST|LGW|
LGW|ERZ,|ERZ|SAW|LGW|
LGW|EZS,|EZS|SAW|LGW|
LGW|GNY,|GNY|IST|LGW|
LGW|GZP,|GZP|ESB|SAW|LGW|
LGW|GZT,|GZT|SAW|LGW|
LGW|HTY,|HTY|SAW|LGW|
LGW|KCM,|KCM|IST|LGW|
LGW|KSY,|KSY|SAW|LGW|
LGW|MLX,|MLX|ESB|SAW|LGW|
LGW|MQM,|MQM|SAW|LGW|
LGW|MSR,|MSR|ESB|SAW|LGW|
LGW|TEQ,|TEQ|ESB|SAW|LGW|
LGW|TZX,|TZX|SAW|LGW|
LGW|VAN,|VAN|SAW|LGW|
LGW|ULN,|ULN|FRU|IST|LGW|
LGW|HIJ,|HIJ|ICN|IST|LGW|
LGW|VVO,|VVO|ICN|IST|LGW|
LGW|ACC,|ACC|IST|LGW|
LGW|AER,|AER|IST|LGW|
LGW|AGP,|AGP|IST|LGW|
LGW|ALG,|ALG|IST|LGW|
LGW|AMM,|AMM|IST|LGW|
LGW|AQJ,|AQJ|IST|LGW|
LGW|ARN,|ARN|IST|LGW|
LGW|ASR,|ASR|SAW|LGW|
LGW|ATH,|ATH|IST|LGW|
LGW|BAH,|BAH|IST|LGW|
LGW|BEG,|BEG|IST|LGW|
LGW|BEN,|BEN|IST|LGW|
LGW|BEY,|BEY|IST|LGW|
LGW|BHX,|BHX|IST|LGW|
LGW|BIO,|BIO|IST|LGW|
LGW|BLQ,|BLQ|IST|LGW|
LGW|BOM,|BOM|IST|LGW|
LGW|BRE,|BRE|IST|LGW|
LGW|BSL,|BSL|IST|LGW|
LGW|BSR,|BSR|IST|LGW|
LGW|BUD,|BUD|IST|LGW|
LGW|BUS,|BUS|IST|LGW|
LGW|CAI,|CAI|IST|LGW|
LGW|CGN,|CGN|IST|LGW|
LGW|CMN,|CMN|IST|LGW|
LGW|CND,|CND|IST|LGW|
LGW|DAR,|DAR|IST|LGW|
LGW|DLM,|DLM|IST|LGW|
LGW|DMM,|DMM|IST|LGW|
LGW|DNK,|DNK|IST|LGW|
LGW|DNZ,|DNZ|IST|LGW|
LGW|DOK,|DOK|IST|LGW|
LGW|DUS,|DUS|IST|LGW|
LGW|EDI,|EDI|IST|LGW|
LGW|ELQ,|ELQ|IST|LGW|
LGW|FDH,|FDH|IST|LGW|
LGW|GOA,|GOA|IST|LGW|
LGW|GOT,|GOT|IST|LGW|
LGW|HAJ,|HAJ|IST|LGW|
LGW|HBE,|HBE|IST|LGW|
LGW|HEL,|HEL|IST|LGW|
LGW|HRG,|HRG|IST|LGW|
LGW|IFN,|IFN|IST|LGW|
LGW|ISE,|ISE|IST|LGW|
LGW|ISU,|ISU|IST|LGW|
LGW|JIB,|JIB|IST|LGW|
LGW|JRO,|JRO|IST|LGW|
LGW|KAN,|KAN|IST|LGW|
LGW|KBL,|KBL|IST|LGW|
LGW|KBP,|KBP|IST|LGW|
LGW|KFS,|KFS|IST|LGW|
LGW|KHI,|KHI|IST|LGW|
LGW|KIV,|KIV|IST|LGW|
LGW|KRT,|KRT|IST|LGW|
LGW|KSH,|KSH|IST|LGW|
LGW|KVD,|KVD|IST|LGW|
LGW|KWI,|KWI|SAW|LGW|
LGW|KYA,|KYA|IST|LGW|
LGW|KZN,|KZN|IST|LGW|
LGW|KZR,|KZR|IST|LGW|
LGW|LED,|LED|IST|LGW|
LGW|LEJ,|LEJ|IST|LGW|
LGW|LHE,|LHE|IST|LGW|
LGW|LIS,|LIS|IST|LGW|
LGW|LJU,|LJU|IST|LGW|
LGW|LOS,|LOS|IST|LGW|
LGW|LUX,|LUX|IST|LGW|
LGW|LWO,|LWO|IST|LGW|
LGW|LYS,|LYS|IST|LGW|
LGW|MAD,|MAD|IST|LGW|
LGW|MAN,|MAN|IST|LGW|
LGW|MED,|MED|IST|LGW|
LGW|MHD,|MHD|IST|LGW|
LGW|MLA,|MLA|IST|LGW|
LGW|MRS,|MRS|IST|LGW|
LGW|MSQ,|MSQ|IST|LGW|
LGW|MXP,|MXP|IST|LGW|
LGW|MZH,|MZH|IST|LGW|
LGW|MZR,|MZR|IST|LGW|
LGW|NAJ,|NAJ|IST|LGW|
LGW|NAV,|NAV|IST|LGW|
LGW|NCE,|NCE|IST|LGW|
LGW|NIM,|NIM|IST|LGW|
LGW|NJF,|NJF|IST|LGW|
LGW|NSI,|NSI|IST|LGW|
LGW|NUE,|NUE|IST|LGW|
LGW|ODS,|ODS|IST|LGW|
LGW|ORN,|ORN|IST|LGW|
LGW|OTP,|OTP|IST|LGW|
LGW|PRG,|PRG|IST|LGW|
LGW|PRN,|PRN|IST|LGW|
LGW|RIX,|RIX|IST|LGW|
LGW|ROV,|ROV|IST|LGW|
LGW|RTM,|RTM|IST|LGW|
LGW|RUH,|RUH|IST|LGW|
LGW|SAH,|SAH|IST|LGW|
LGW|SJJ,|SJJ|IST|LGW|
LGW|SKG,|SKG|IST|LGW|
LGW|SKP,|SKP|IST|LGW|
LGW|SSH,|SSH|IST|LGW|
LGW|STR,|STR|IST|LGW|
LGW|SVX,|SVX|IST|LGW|
LGW|SYZ,|SYZ|IST|LGW|
LGW|SZG,|SZG|IST|LGW|
LGW|TBZ,|TBZ|IST|LGW|
LGW|TGD,|TGD|IST|LGW|
LGW|TIA,|TIA|IST|LGW|
LGW|TIF,|TIF|IST|LGW|
LGW|TIP,|TIP|IST|LGW|
LGW|TLL,|TLL|IST|LGW|
LGW|TLS,|TLS|IST|LGW|
LGW|TRN,|TRN|IST|LGW|
LGW|TUN,|TUN|IST|LGW|
LGW|TXL,|TXL|IST|LGW|
LGW|UFA,|UFA|IST|LGW|
LGW|VAS,|VAS|SAW|LGW|
LGW|VCE,|VCE|IST|LGW|
LGW|YNB,|YNB|IST|LGW|
LGW|ZAG,|ZAG|IST|LGW|
LGW|MGQ,|MGQ|JIB|IST|LGW|
LGW|CPT,|CPT|JNB|IST|LGW|
LGW|MBA,|MBA|JRO|IST|LGW|
LGW|NDJ,|NDJ|KAN|IST|LGW|
LGW|CMB,|CMB|MLE|IST|LGW|
LGW|ADE,|ADE|SAH|IST|LGW|
LGW|ASF,|ASF|SAW|LGW|
LGW|STW,|STW|SAW|LGW|
LGW|LFW,|LFW|ABJ|OUA|NIM|IST|LGW|
LGW|CEC,|CEC|ACV|SMF|SEA|FRA|IST|LGW|
LGW|SMF,|SMF|SEA|FRA|IST|LGW|
LGW|CDR,|CDR|AIA|DEN|FRA|IST|LGW|
LGW|FMN,|FMN|DEN|FRA|IST|LGW|
LGW|JST,|JST|IAD|IST|LGW|
LGW|JHW,|JHW|CLE|YYZ|IST|LGW|
