DTW|VKO,|VKO|IST|FRA|DTW|
DTW|MCT,|MCT|AUH|YYZ|DTW|
DTW|AYT,|AYT|IST|FRA|DTW|
DTW|SCQ,|SCQ|BIO|IST|FRA|DTW|
DTW|AAL,|AAL|IST|FRA|DTW|
DTW|AOE,|AOE|BRU|YUL|YYZ|DTW|
DTW|JNB,|JNB|DKR|IAD|DTW|
DTW|LBV,|LBV|DLA|BRU|YUL|YYZ|DTW|
DTW|ADA,|ADA|SAW|VIE|YYZ|DTW|
DTW|ADB,|ADB|IST|FRA|DTW|
DTW|ADF,|ADF|ESB|VIE|YYZ|DTW|
DTW|AJI,|AJI|ESB|VIE|YYZ|DTW|
DTW|BAL,|BAL|ESB|VIE|YYZ|DTW|
DTW|BJV,|BJV|IST|FRA|DTW|
DTW|CKZ,|CKZ|ESB|VIE|YYZ|DTW|
DTW|DIY,|DIY|ESB|VIE|YYZ|DTW|
DTW|ECN,|ECN|IST|FRA|DTW|
DTW|ERC,|ERC|ESB|VIE|YYZ|DTW|
DTW|ERZ,|ERZ|ESB|VIE|YYZ|DTW|
DTW|EZS,|EZS|ESB|VIE|YYZ|DTW|
DTW|GNY,|GNY|ESB|VIE|YYZ|DTW|
DTW|GZP,|GZP|ESB|VIE|YYZ|DTW|
DTW|GZT,|GZT|ESB|VIE|YYZ|DTW|
DTW|HTY,|HTY|SAW|VIE|YYZ|DTW|
DTW|KCM,|KCM|ESB|VIE|YYZ|DTW|
DTW|KSY,|KSY|ESB|VIE|YYZ|DTW|
DTW|MLX,|MLX|ESB|VIE|YYZ|DTW|
DTW|MQM,|MQM|ESB|VIE|YYZ|DTW|
DTW|MSR,|MSR|ESB|VIE|YYZ|DTW|
DTW|TEQ,|TEQ|ESB|VIE|YYZ|DTW|
DTW|TZX,|TZX|ESB|VIE|YYZ|DTW|
DTW|VAN,|VAN|ESB|VIE|YYZ|DTW|
DTW|ULN,|ULN|FRU|IST|FRA|DTW|
DTW|HIJ,|HIJ|ICN|YVR|ORD|DTW|
DTW|VVO,|VVO|ICN|YVR|ORD|DTW|
DTW|ACC,|ACC|IST|FRA|DTW|
DTW|AER,|AER|IST|FRA|DTW|
DTW|AGP,|AGP|IST|FRA|DTW|
DTW|ALG,|ALG|IST|FRA|DTW|
DTW|AMM,|AMM|IST|FRA|DTW|
DTW|AQJ,|AQJ|IST|FRA|DTW|
DTW|ARN,|ARN|EWR|DTW|
DTW|ASR,|ASR|SAW|VIE|YYZ|DTW|
DTW|ATH,|ATH|IST|FRA|DTW|
DTW|BAH,|BAH|IST|FRA|DTW|
DTW|BEG,|BEG|IST|FRA|DTW|
DTW|BEN,|BEN|IST|FRA|DTW|
DTW|BEY,|BEY|IST|FRA|DTW|
DTW|BHX,|BHX|EWR|DTW|
DTW|BIO,|BIO|IST|FRA|DTW|
