MXZ|MFM,|MFM|XMN|SZX|MXZ|
MXZ|TGO,|TGO|HET|CAN|MXZ|
MXZ|XIL,|XIL|HET|CAN|MXZ|
MXZ|HEK,|HEK|HRB|CAN|MXZ|
MXZ|KIJ,|KIJ|HRB|CAN|MXZ|
MXZ|LDS,|LDS|HRB|CAN|MXZ|
MXZ|OHE,|OHE|HRB|CAN|MXZ|
MXZ|HSN,|HSN|SZX|MXZ|
MXZ|DLU,|DLU|KMG|CAN|MXZ|
MXZ|SYM,|SYM|KMG|CAN|MXZ|
MXZ|ZAT,|ZAT|KMG|CAN|MXZ|
MXZ|LUN,|LUN|NBO|CAN|MXZ|
MXZ|AOG,|AOG|PEK|CAN|MXZ|
MXZ|GMP,|GMP|PEK|CAN|MXZ|
MXZ|ISB,|ISB|URC|CAN|MXZ|
MXZ|TAS,|TAS|URC|CAN|MXZ|
MXZ|WUS,|WUS|PEK|CAN|MXZ|
MXZ|JMU,|JMU|PVG|CAN|MXZ|
MXZ|NDG,|NDG|PVG|CAN|MXZ|
MXZ|JXA,|JXA|SHE|CAN|MXZ|
MXZ|PUS,|PUS|SHE|CAN|MXZ|
MXZ|BKI,|BKI|SZX|MXZ|
MXZ|AKU,|AKU|URC|CAN|MXZ|
MXZ|ALA,|ALA|URC|CAN|MXZ|
MXZ|ASB,|ASB|URC|CAN|MXZ|
MXZ|DNH,|DNH|XIY|CAN|MXZ|
MXZ|DYU,|DYU|URC|CAN|MXZ|
MXZ|FRU,|FRU|URC|CAN|MXZ|
MXZ|GYD,|GYD|URC|CAN|MXZ|
MXZ|HTN,|HTN|URC|CAN|MXZ|
MXZ|IKA,|IKA|URC|CAN|MXZ|
MXZ|KCA,|KCA|URC|CAN|MXZ|
MXZ|KHG,|KHG|URC|CAN|MXZ|
MXZ|KRL,|KRL|URC|CAN|MXZ|
MXZ|KRY,|KRY|URC|CAN|MXZ|
MXZ|LBD,|LBD|URC|CAN|MXZ|
MXZ|NLT,|NLT|URC|CAN|MXZ|
MXZ|OSS,|OSS|URC|CAN|MXZ|
MXZ|OVB,|OVB|URC|CAN|MXZ|
MXZ|TBS,|TBS|URC|CAN|MXZ|
MXZ|TCG,|TCG|URC|CAN|MXZ|
MXZ|TSE,|TSE|URC|CAN|MXZ|
MXZ|YIN,|YIN|URC|CAN|MXZ|
MXZ|ENH,|ENH|WUH|CAN|MXZ|
MXZ|ENY,|ENY|XIY|CAN|MXZ|
MXZ|WXN,|WXN|XMN|SZX|MXZ|
MXZ|BLL,|BLL|IST|CAN|MXZ|
MXZ|ESB,|ESB|IST|CAN|MXZ|
MXZ|SAW,|SAW|TBS|URC|CAN|MXZ|
MXZ|HAM,|HAM|IST|CAN|MXZ|
MXZ|HRE,|HRE|ADD|IST|CAN|MXZ|
MXZ|JUB,|JUB|CAI|IST|CAN|MXZ|
MXZ|SSG,|SSG|DLA|IST|CAN|MXZ|
MXZ|BGW,|BGW|IST|CAN|MXZ|
MXZ|EBL,|EBL|IST|CAN|MXZ|
MXZ|VKO,|VKO|IST|CAN|MXZ|
MXZ|MCT,|MCT|IST|CAN|MXZ|
MXZ|AYT,|AYT|IST|CAN|MXZ|
MXZ|SCQ,|SCQ|BIO|IST|CAN|MXZ|
MXZ|AAL,|AAL|IST|CAN|MXZ|
MXZ|AOE,|AOE|BRU|DEL|CAN|MXZ|
MXZ|JNB,|JNB|IST|CAN|MXZ|
MXZ|LBV,|LBV|DLA|IST|CAN|MXZ|
MXZ|ADA,|ADA|IST|CAN|MXZ|
MXZ|ADB,|ADB|IST|CAN|MXZ|
MXZ|ADF,|ADF|IST|CAN|MXZ|
MXZ|AJI,|AJI|IST|CAN|MXZ|
MXZ|BAL,|BAL|IST|CAN|MXZ|
MXZ|BJV,|BJV|IST|CAN|MXZ|
MXZ|CKZ,|CKZ|ESB|IST|CAN|MXZ|
MXZ|DIY,|DIY|IST|CAN|MXZ|
MXZ|ECN,|ECN|IST|CAN|MXZ|
MXZ|ERC,|ERC|IST|CAN|MXZ|
MXZ|ERZ,|ERZ|IST|CAN|MXZ|
MXZ|EZS,|EZS|IST|CAN|MXZ|
MXZ|GNY,|GNY|IST|CAN|MXZ|
MXZ|GZP,|GZP|ESB|IST|CAN|MXZ|
MXZ|GZT,|GZT|IST|CAN|MXZ|
MXZ|HTY,|HTY|IST|CAN|MXZ|
MXZ|KCM,|KCM|IST|CAN|MXZ|
MXZ|KSY,|KSY|IST|CAN|MXZ|
MXZ|MLX,|MLX|IST|CAN|MXZ|
MXZ|MQM,|MQM|IST|CAN|MXZ|
MXZ|MSR,|MSR|IST|CAN|MXZ|
MXZ|TEQ,|TEQ|ESB|IST|CAN|MXZ|
MXZ|TZX,|TZX|IST|CAN|MXZ|
MXZ|VAN,|VAN|IST|CAN|MXZ|
MXZ|ULN,|ULN|FRU|URC|CAN|MXZ|
MXZ|HIJ,|HIJ|ICN|CAN|MXZ|
MXZ|VVO,|VVO|ICN|CAN|MXZ|
MXZ|ACC,|ACC|IST|CAN|MXZ|
MXZ|AER,|AER|IST|CAN|MXZ|
MXZ|AGP,|AGP|IST|CAN|MXZ|
MXZ|ALG,|ALG|IST|CAN|MXZ|
MXZ|AMM,|AMM|IST|CAN|MXZ|
MXZ|AQJ,|AQJ|IST|CAN|MXZ|
MXZ|ARN,|ARN|IST|CAN|MXZ|
MXZ|ASR,|ASR|IST|CAN|MXZ|
MXZ|ATH,|ATH|IST|CAN|MXZ|
MXZ|BAH,|BAH|IST|CAN|MXZ|
MXZ|BEG,|BEG|IST|CAN|MXZ|
MXZ|BEN,|BEN|IST|CAN|MXZ|
MXZ|BEY,|BEY|IST|CAN|MXZ|
MXZ|BHX,|BHX|BRU|DEL|CAN|MXZ|
MXZ|BIO,|BIO|IST|CAN|MXZ|
MXZ|BLQ,|BLQ|IST|CAN|MXZ|
MXZ|BOM,|BOM|IST|CAN|MXZ|
MXZ|BRE,|BRE|IST|CAN|MXZ|
MXZ|BSL,|BSL|IST|CAN|MXZ|
MXZ|BSR,|BSR|IST|CAN|MXZ|
MXZ|BUD,|BUD|IST|CAN|MXZ|
MXZ|BUS,|BUS|IST|CAN|MXZ|
MXZ|CAI,|CAI|IST|CAN|MXZ|
MXZ|CGN,|CGN|IST|CAN|MXZ|
MXZ|CMN,|CMN|IST|CAN|MXZ|
MXZ|CND,|CND|IST|CAN|MXZ|
MXZ|DAR,|DAR|NBO|CAN|MXZ|
MXZ|DLM,|DLM|IST|CAN|MXZ|
MXZ|DMM,|DMM|IST|CAN|MXZ|
