BKK|LUN,|LUN|NBO|BKK|
BKK|AOG,|AOG|PEK|CGO|BKK|
BKK|GMP,|GMP|PEK|CGO|BKK|
BKK|ISB,|ISB|URC|KWE|NNG|BKK|
BKK|TAS,|TAS|URC|KWE|NNG|BKK|
BKK|WUS,|WUS|PEK|CGO|BKK|
BKK|JMU,|JMU|PVG|CAN|BKK|
BKK|NDG,|NDG|PVG|CAN|BKK|
BKK|JXA,|JXA|SHE|WUH|BKK|
BKK|PUS,|PUS|SHE|WUH|BKK|
BKK|BKI,|BKI|SZX|NNG|BKK|
BKK|AKU,|AKU|URC|KWE|NNG|BKK|
BKK|ALA,|ALA|URC|KWE|NNG|BKK|
BKK|ASB,|ASB|URC|KWE|NNG|BKK|
BKK|DNH,|DNH|XIY|KWE|NNG|BKK|
BKK|DYU,|DYU|URC|KWE|NNG|BKK|
BKK|FRU,|FRU|URC|KWE|NNG|BKK|
BKK|GYD,|GYD|URC|KWE|NNG|BKK|
BKK|HTN,|HTN|URC|KWE|NNG|BKK|
BKK|IKA,|IKA|URC|KWE|NNG|BKK|
BKK|KCA,|KCA|URC|KWE|NNG|BKK|
BKK|KHG,|KHG|URC|KWE|NNG|BKK|
BKK|KRL,|KRL|URC|KWE|NNG|BKK|
BKK|KRY,|KRY|URC|KWE|NNG|BKK|
BKK|LBD,|LBD|URC|KWE|NNG|BKK|
BKK|NLT,|NLT|URC|KWE|NNG|BKK|
BKK|OSS,|OSS|URC|KWE|NNG|BKK|
BKK|OVB,|OVB|URC|KWE|NNG|BKK|
BKK|TBS,|TBS|URC|KWE|NNG|BKK|
BKK|TCG,|TCG|URC|KWE|NNG|BKK|
BKK|TSE,|TSE|URC|KWE|NNG|BKK|
BKK|YIN,|YIN|URC|KWE|NNG|BKK|
BKK|ENH,|ENH|WUH|BKK|
BKK|ENY,|ENY|XIY|KWE|NNG|BKK|
BKK|WXN,|WXN|XIY|KWE|NNG|BKK|
BKK|BLL,|BLL|IST|BKK|
BKK|ESB,|ESB|IST|BKK|
BKK|SAW,|SAW|ADB|IST|BKK|
BKK|HAM,|HAM|IST|BKK|
BKK|HRE,|HRE|ADD|IST|BKK|
BKK|JUB,|JUB|CAI|IST|BKK|
BKK|SSG,|SSG|DLA|IST|BKK|
BKK|BGW,|BGW|IST|BKK|
BKK|EBL,|EBL|IST|BKK|
BKK|VKO,|VKO|IST|BKK|
BKK|MCT,|MCT|IST|BKK|
BKK|AYT,|AYT|IST|BKK|
BKK|SCQ,|SCQ|BIO|IST|BKK|
BKK|AAL,|AAL|IST|BKK|
BKK|AOE,|AOE|BRU|IST|BKK|
BKK|JNB,|JNB|IST|BKK|
BKK|LBV,|LBV|DLA|IST|BKK|
BKK|ADA,|ADA|IST|BKK|
BKK|ADB,|ADB|IST|BKK|
BKK|ADF,|ADF|IST|BKK|
BKK|AJI,|AJI|IST|BKK|
BKK|BAL,|BAL|IST|BKK|
BKK|BJV,|BJV|IST|BKK|
BKK|CKZ,|CKZ|ESB|IST|BKK|
BKK|DIY,|DIY|IST|BKK|
BKK|ECN,|ECN|IST|BKK|
BKK|ERC,|ERC|IST|BKK|
BKK|ERZ,|ERZ|IST|BKK|
BKK|EZS,|EZS|IST|BKK|
BKK|GNY,|GNY|IST|BKK|
BKK|GZP,|GZP|ESB|IST|BKK|
BKK|GZT,|GZT|IST|BKK|
BKK|HTY,|HTY|IST|BKK|
BKK|KCM,|KCM|IST|BKK|
