HDG|TCG,|TCG|URC|CAN|HDG|
HDG|TSE,|TSE|URC|CAN|HDG|
HDG|YIN,|YIN|URC|CAN|HDG|
HDG|ENH,|ENH|WUH|CAN|HDG|
HDG|ENY,|ENY|XIY|CAN|HDG|
HDG|WXN,|WXN|XMN|CAN|HDG|
HDG|BLL,|BLL|IST|CAN|HDG|
HDG|ESB,|ESB|IST|CAN|HDG|
HDG|SAW,|SAW|TBS|URC|CAN|HDG|
HDG|HAM,|HAM|IST|CAN|HDG|
HDG|HRE,|HRE|ADD|IST|CAN|HDG|
HDG|JUB,|JUB|CAI|IST|CAN|HDG|
HDG|SSG,|SSG|DLA|IST|CAN|HDG|
HDG|BGW,|BGW|IST|CAN|HDG|
HDG|EBL,|EBL|IST|CAN|HDG|
HDG|VKO,|VKO|IST|CAN|HDG|
HDG|MCT,|MCT|IST|CAN|HDG|
HDG|AYT,|AYT|IST|CAN|HDG|
HDG|SCQ,|SCQ|BIO|IST|CAN|HDG|
HDG|AAL,|AAL|IST|CAN|HDG|
HDG|AOE,|AOE|BRU|DEL|CAN|HDG|
HDG|JNB,|JNB|IST|CAN|HDG|
HDG|LBV,|LBV|DLA|IST|CAN|HDG|
HDG|ADA,|ADA|IST|CAN|HDG|
HDG|ADB,|ADB|IST|CAN|HDG|
HDG|ADF,|ADF|IST|CAN|HDG|
HDG|AJI,|AJI|IST|CAN|HDG|
HDG|BAL,|BAL|IST|CAN|HDG|
HDG|BJV,|BJV|IST|CAN|HDG|
HDG|CKZ,|CKZ|ESB|IST|CAN|HDG|
HDG|DIY,|DIY|IST|CAN|HDG|
HDG|ECN,|ECN|IST|CAN|HDG|
HDG|ERC,|ERC|IST|CAN|HDG|
HDG|ERZ,|ERZ|IST|CAN|HDG|
HDG|EZS,|EZS|IST|CAN|HDG|
HDG|GNY,|GNY|IST|CAN|HDG|
HDG|GZP,|GZP|ESB|IST|CAN|HDG|
HDG|GZT,|GZT|IST|CAN|HDG|
HDG|HTY,|HTY|IST|CAN|HDG|
HDG|KCM,|KCM|IST|CAN|HDG|
HDG|KSY,|KSY|IST|CAN|HDG|
HDG|MLX,|MLX|IST|CAN|HDG|
HDG|MQM,|MQM|IST|CAN|HDG|
HDG|MSR,|MSR|IST|CAN|HDG|
HDG|TEQ,|TEQ|ESB|IST|CAN|HDG|
HDG|TZX,|TZX|IST|CAN|HDG|
HDG|VAN,|VAN|IST|CAN|HDG|
HDG|ULN,|ULN|FRU|URC|CAN|HDG|
HDG|HIJ,|HIJ|ICN|CAN|HDG|
HDG|VVO,|VVO|ICN|CAN|HDG|
HDG|ACC,|ACC|IST|CAN|HDG|
HDG|AER,|AER|IST|CAN|HDG|
HDG|AGP,|AGP|IST|CAN|HDG|
HDG|ALG,|ALG|IST|CAN|HDG|
HDG|AMM,|AMM|IST|CAN|HDG|
HDG|AQJ,|AQJ|IST|CAN|HDG|
HDG|ARN,|ARN|IST|CAN|HDG|
HDG|ASR,|ASR|IST|CAN|HDG|
HDG|ATH,|ATH|IST|CAN|HDG|
HDG|BAH,|BAH|IST|CAN|HDG|
HDG|BEG,|BEG|IST|CAN|HDG|
HDG|BEN,|BEN|IST|CAN|HDG|
HDG|BEY,|BEY|IST|CAN|HDG|
HDG|BHX,|BHX|BRU|DEL|CAN|HDG|
HDG|BIO,|BIO|IST|CAN|HDG|
HDG|BLQ,|BLQ|IST|CAN|HDG|
HDG|BOM,|BOM|IST|CAN|HDG|
HDG|BRE,|BRE|IST|CAN|HDG|
HDG|BSL,|BSL|IST|CAN|HDG|
HDG|BSR,|BSR|IST|CAN|HDG|
HDG|BUD,|BUD|IST|CAN|HDG|
HDG|BUS,|BUS|IST|CAN|HDG|
HDG|CAI,|CAI|IST|CAN|HDG|
HDG|CGN,|CGN|IST|CAN|HDG|
HDG|CMN,|CMN|IST|CAN|HDG|
HDG|CND,|CND|IST|CAN|HDG|
HDG|DAR,|DAR|NBO|CAN|HDG|
HDG|DLM,|DLM|IST|CAN|HDG|
HDG|DMM,|DMM|IST|CAN|HDG|
HDG|DNK,|DNK|IST|CAN|HDG|
HDG|DNZ,|DNZ|IST|CAN|HDG|
HDG|DOK,|DOK|IST|CAN|HDG|
HDG|DUS,|DUS|IST|CAN|HDG|
HDG|EDI,|EDI|IST|CAN|HDG|
HDG|ELQ,|ELQ|IST|CAN|HDG|
HDG|FDH,|FDH|IST|CAN|HDG|
HDG|GOA,|GOA|IST|CAN|HDG|
HDG|GOT,|GOT|IST|CAN|HDG|
