LIH|KVD,|KVD|IST|MUC|YVR|LIH|
LIH|KWI,|KWI|SAW|MUC|YVR|LIH|
LIH|KYA,|KYA|IST|MUC|YVR|LIH|
LIH|KZN,|KZN|IST|MUC|YVR|LIH|
LIH|KZR,|KZR|IST|MUC|YVR|LIH|
LIH|LED,|LED|VIE|ORD|SFO|LIH|
LIH|LEJ,|LEJ|IST|MUC|YVR|LIH|
LIH|LGW,|LGW|IST|MUC|YVR|LIH|
LIH|LHE,|LHE|IST|MUC|YVR|LIH|
LIH|LIS,|LIS|EWR|SFO|LIH|
LIH|LJU,|LJU|IST|MUC|YVR|LIH|
LIH|LOS,|LOS|IAH|LAX|LIH|
LIH|LUX,|LUX|IST|MUC|YVR|LIH|
LIH|LWO,|LWO|IST|MUC|YVR|LIH|
LIH|LYS,|LYS|IST|MUC|YVR|LIH|
LIH|MAD,|MAD|EWR|SFO|LIH|
LIH|MAN,|MAN|EWR|SFO|LIH|
LIH|MED,|MED|IST|MUC|YVR|LIH|
LIH|MHD,|MHD|IST|MUC|YVR|LIH|
LIH|MLA,|MLA|IST|MUC|YVR|LIH|
LIH|MRS,|MRS|IST|MUC|YVR|LIH|
LIH|MSQ,|MSQ|IST|MUC|YVR|LIH|
LIH|MXP,|MXP|EWR|SFO|LIH|
LIH|MZH,|MZH|IST|MUC|YVR|LIH|
LIH|MZR,|MZR|IST|MUC|YVR|LIH|
LIH|NAJ,|NAJ|IST|MUC|YVR|LIH|
LIH|NAV,|NAV|IST|MUC|YVR|LIH|
LIH|NCE,|NCE|IST|MUC|YVR|LIH|
LIH|NIM,|NIM|IST|MUC|YVR|LIH|
LIH|NJF,|NJF|IST|MUC|YVR|LIH|
LIH|NSI,|NSI|IST|MUC|YVR|LIH|
LIH|NUE,|NUE|IST|MUC|YVR|LIH|
LIH|ODS,|ODS|IST|MUC|YVR|LIH|
LIH|ORN,|ORN|IST|MUC|YVR|LIH|
LIH|OTP,|OTP|IST|MUC|YVR|LIH|
LIH|PRG,|PRG|BRU|YUL|SFO|LIH|
LIH|PRN,|PRN|IST|MUC|YVR|LIH|
LIH|RIX,|RIX|IST|MUC|YVR|LIH|
LIH|ROV,|ROV|IST|MUC|YVR|LIH|
