JJN|JMU,|JMU|PVG|WUH|JJN|
JJN|NDG,|NDG|PVG|WUH|JJN|
JJN|JXA,|JXA|SHE|HGH|JJN|
JJN|PUS,|PUS|SHE|HGH|JJN|
JJN|BKI,|BKI|SZX|JJN|
JJN|AKU,|AKU|URC|CSX|JJN|
JJN|ALA,|ALA|URC|CSX|JJN|
JJN|ASB,|ASB|URC|CSX|JJN|
JJN|DNH,|DNH|XIY|WUH|JJN|
JJN|DYU,|DYU|URC|CSX|JJN|
JJN|FRU,|FRU|URC|CSX|JJN|
JJN|GYD,|GYD|URC|CSX|JJN|
JJN|HTN,|HTN|URC|CSX|JJN|
JJN|IKA,|IKA|URC|CSX|JJN|
JJN|KCA,|KCA|URC|CSX|JJN|
JJN|KHG,|KHG|URC|CSX|JJN|
JJN|KRL,|KRL|URC|CSX|JJN|
JJN|KRY,|KRY|URC|CSX|JJN|
JJN|LBD,|LBD|URC|CSX|JJN|
JJN|NLT,|NLT|URC|CSX|JJN|
JJN|OSS,|OSS|URC|CSX|JJN|
JJN|OVB,|OVB|URC|CSX|JJN|
JJN|TBS,|TBS|URC|CSX|JJN|
JJN|TCG,|TCG|URC|CSX|JJN|
JJN|TSE,|TSE|URC|CSX|JJN|
JJN|YIN,|YIN|URC|CSX|JJN|
JJN|ENH,|ENH|WUH|JJN|
JJN|ENY,|ENY|XIY|WUH|JJN|
JJN|WXN,|WXN|XIY|WUH|JJN|
JJN|BLL,|BLL|IST|URC|CSX|JJN|
JJN|ESB,|ESB|SAW|TBS|URC|CSX|JJN|
JJN|SAW,|SAW|TBS|URC|CSX|JJN|
JJN|HAM,|HAM|IST|URC|CSX|JJN|
JJN|HRE,|HRE|ADD|IST|URC|CSX|JJN|
JJN|JUB,|JUB|CAI|IST|URC|CSX|JJN|
JJN|SSG,|SSG|DLA|IST|URC|CSX|JJN|
JJN|BGW,|BGW|ESB|SAW|TBS|URC|CSX|JJN|
JJN|EBL,|EBL|IST|URC|CSX|JJN|
JJN|VKO,|VKO|IST|URC|CSX|JJN|
JJN|MCT,|MCT|IST|URC|CSX|JJN|
JJN|AYT,|AYT|IST|URC|CSX|JJN|
JJN|SCQ,|SCQ|BIO|IST|URC|CSX|JJN|
JJN|AAL,|AAL|IST|URC|CSX|JJN|
JJN|AOE,|AOE|BRU|IST|URC|CSX|JJN|
JJN|JNB,|JNB|IST|URC|CSX|JJN|
JJN|LBV,|LBV|DLA|IST|URC|CSX|JJN|
JJN|ADA,|ADA|SAW|TBS|URC|CSX|JJN|
JJN|ADB,|ADB|IST|URC|CSX|JJN|
JJN|ADF,|ADF|ESB|SAW|TBS|URC|CSX|JJN|
JJN|AJI,|AJI|ESB|SAW|TBS|URC|CSX|JJN|
JJN|BAL,|BAL|ESB|SAW|TBS|URC|CSX|JJN|
JJN|BJV,|BJV|IST|URC|CSX|JJN|
JJN|CKZ,|CKZ|ESB|SAW|TBS|URC|CSX|JJN|
JJN|DIY,|DIY|SAW|TBS|URC|CSX|JJN|
JJN|ECN,|ECN|SAW|TBS|URC|CSX|JJN|
JJN|ERC,|ERC|ESB|SAW|TBS|URC|CSX|JJN|
JJN|ERZ,|ERZ|SAW|TBS|URC|CSX|JJN|
JJN|EZS,|EZS|SAW|TBS|URC|CSX|JJN|
JJN|GNY,|GNY|ESB|SAW|TBS|URC|CSX|JJN|
JJN|GZP,|GZP|ESB|SAW|TBS|URC|CSX|JJN|
JJN|GZT,|GZT|SAW|TBS|URC|CSX|JJN|
JJN|HTY,|HTY|SAW|TBS|URC|CSX|JJN|
JJN|KCM,|KCM|ESB|SAW|TBS|URC|CSX|JJN|
JJN|KSY,|KSY|SAW|TBS|URC|CSX|JJN|
JJN|MLX,|MLX|ESB|SAW|TBS|URC|CSX|JJN|
JJN|MQM,|MQM|SAW|TBS|URC|CSX|JJN|
JJN|MSR,|MSR|ESB|SAW|TBS|URC|CSX|JJN|
JJN|TEQ,|TEQ|ESB|SAW|TBS|URC|CSX|JJN|
JJN|TZX,|TZX|SAW|TBS|URC|CSX|JJN|
JJN|VAN,|VAN|SAW|TBS|URC|CSX|JJN|
JJN|ULN,|ULN|FRU|URC|CSX|JJN|
JJN|HIJ,|HIJ|ICN|DLC|HGH|JJN|
JJN|VVO,|VVO|ICN|DLC|HGH|JJN|
JJN|ACC,|ACC|IST|URC|CSX|JJN|
JJN|AER,|AER|IST|URC|CSX|JJN|
JJN|AGP,|AGP|IST|URC|CSX|JJN|
JJN|ALG,|ALG|IST|URC|CSX|JJN|
JJN|AMM,|AMM|IST|URC|CSX|JJN|
JJN|AQJ,|AQJ|IST|URC|CSX|JJN|
JJN|ARN,|ARN|IST|URC|CSX|JJN|
JJN|ASR,|ASR|SAW|TBS|URC|CSX|JJN|
JJN|ATH,|ATH|IST|URC|CSX|JJN|
JJN|BAH,|BAH|KWI|SAW|TBS|URC|CSX|JJN|
JJN|BEG,|BEG|IST|URC|CSX|JJN|
JJN|BEN,|BEN|IST|URC|CSX|JJN|
JJN|BEY,|BEY|IST|URC|CSX|JJN|
JJN|BHX,|BHX|IST|URC|CSX|JJN|
JJN|BIO,|BIO|IST|URC|CSX|JJN|
JJN|BLQ,|BLQ|IST|URC|CSX|JJN|
JJN|BOM,|BOM|IST|URC|CSX|JJN|
JJN|BRE,|BRE|IST|URC|CSX|JJN|
JJN|BSL,|BSL|IST|URC|CSX|JJN|
JJN|BSR,|BSR|IST|URC|CSX|JJN|
JJN|BUD,|BUD|IST|URC|CSX|JJN|
