FCO|MLE,|MLE|IST|FCO|
FCO|MNL,|MNL|CAN|IST|FCO|
FCO|MXZ,|MXZ|CAN|IST|FCO|
FCO|NAO,|NAO|PEK|IST|FCO|
FCO|NGB,|NGB|WUH|URC|IST|FCO|
FCO|NKG,|NKG|URC|IST|FCO|
FCO|NNY,|NNY|CGO|URC|IST|FCO|
FCO|PEN,|PEN|CAN|IST|FCO|
FCO|PER,|PER|BKK|IST|FCO|
FCO|PNH,|PNH|CAN|IST|FCO|
FCO|REP,|REP|CAN|IST|FCO|
FCO|RGN,|RGN|CAN|IST|FCO|
FCO|SGN,|SGN|BKK|IST|FCO|
FCO|SHA,|SHA|URC|IST|FCO|
FCO|SIN,|SIN|IST|FCO|
FCO|SVO,|SVO|URC|IST|FCO|
FCO|SYX,|SYX|CKG|URC|IST|FCO|
FCO|TAO,|TAO|TYN|URC|IST|FCO|
FCO|TEN,|TEN|CAN|IST|FCO|
FCO|TNA,|TNA|URC|IST|FCO|
FCO|TPE,|TPE|URC|IST|FCO|
FCO|TSN,|TSN|HET|URC|IST|FCO|
FCO|TXN,|TXN|TYN|URC|IST|FCO|
FCO|TYN,|TYN|URC|IST|FCO|
FCO|WNZ,|WNZ|XIY|URC|IST|FCO|
FCO|WUX,|WUX|CAN|IST|FCO|
FCO|XFN,|XFN|CAN|IST|FCO|
FCO|XIY,|XIY|URC|IST|FCO|
FCO|XUZ,|XUZ|INC|URC|IST|FCO|
FCO|YIH,|YIH|CKG|URC|IST|FCO|
FCO|YIW,|YIW|URC|IST|FCO|
FCO|YNT,|YNT|SHE|PEK|IST|FCO|
FCO|YNZ,|YNZ|WUH|URC|IST|FCO|
FCO|YTY,|YTY|CGO|URC|IST|FCO|
FCO|ZHA,|ZHA|CAN|IST|FCO|
FCO|ZYI,|ZYI|CAN|IST|FCO|
FCO|BAV,|BAV|URC|IST|FCO|
FCO|CJU,|CJU|DLC|PEK|IST|FCO|
FCO|DSN,|DSN|CGO|URC|IST|FCO|
FCO|HMI,|HMI|URC|IST|FCO|
FCO|INC,|INC|URC|IST|FCO|
FCO|KHH,|KHH|WUH|URC|IST|FCO|
FCO|UYN,|UYN|XIY|URC|IST|FCO|
FCO|XNN,|XNN|URC|IST|FCO|
FCO|ZUH,|ZUH|KWE|URC|IST|FCO|
FCO|YNJ,|YNJ|PEK|IST|FCO|
FCO|DAT,|DAT|TYN|URC|IST|FCO|
FCO|JHG,|JHG|KMG|CTU|URC|IST|FCO|
FCO|LJG,|LJG|KMG|CTU|URC|IST|FCO|
FCO|LXA,|LXA|CKG|URC|IST|FCO|
FCO|YCU,|YCU|CKG|URC|IST|FCO|
FCO|LZO,|LZO|CSX|URC|IST|FCO|
FCO|MDG,|MDG|DLC|PEK|IST|FCO|
FCO|NGO,|NGO|ICN|IST|FCO|
FCO|TOY,|TOY|DLC|PEK|IST|FCO|
FCO|MFM,|MFM|XMN|CSX|URC|IST|FCO|
FCO|TGO,|TGO|HET|URC|IST|FCO|
FCO|XIL,|XIL|HET|URC|IST|FCO|
FCO|HEK,|HEK|HRB|PEK|IST|FCO|
FCO|KIJ,|KIJ|HRB|PEK|IST|FCO|
FCO|LDS,|LDS|HRB|PEK|IST|FCO|
FCO|OHE,|OHE|HRB|PEK|IST|FCO|
FCO|HSN,|HSN|LYG|XUZ|INC|URC|IST|FCO|
FCO|DLU,|DLU|KMG|CTU|URC|IST|FCO|
FCO|SYM,|SYM|KMG|CTU|URC|IST|FCO|
FCO|ZAT,|ZAT|KMG|CTU|URC|IST|FCO|
FCO|LUN,|LUN|NBO|IST|FCO|
FCO|AOG,|AOG|PEK|IST|FCO|
FCO|GMP,|GMP|PEK|IST|FCO|
FCO|ISB,|ISB|IST|FCO|
FCO|TAS,|TAS|IST|FCO|
FCO|WUS,|WUS|PEK|IST|FCO|
FCO|JMU,|JMU|PVG|IST|FCO|
FCO|NDG,|NDG|PVG|IST|FCO|
FCO|JXA,|JXA|SHE|PEK|IST|FCO|
FCO|PUS,|PUS|SHE|PEK|IST|FCO|
FCO|BKI,|BKI|SZX|CKG|URC|IST|FCO|
FCO|AKU,|AKU|URC|IST|FCO|
FCO|ALA,|ALA|IST|FCO|
FCO|ASB,|ASB|IST|FCO|
FCO|DNH,|DNH|URC|IST|FCO|
FCO|DYU,|DYU|IST|FCO|
FCO|FRU,|FRU|IST|FCO|
FCO|GYD,|GYD|IST|FCO|
FCO|HTN,|HTN|URC|IST|FCO|
FCO|IKA,|IKA|IST|FCO|
FCO|KCA,|KCA|URC|IST|FCO|
FCO|KHG,|KHG|URC|IST|FCO|
FCO|KRL,|KRL|URC|IST|FCO|
FCO|KRY,|KRY|URC|IST|FCO|
FCO|LBD,|LBD|URC|IST|FCO|
FCO|NLT,|NLT|URC|IST|FCO|
FCO|OSS,|OSS|IST|FCO|
FCO|OVB,|OVB|IST|FCO|
FCO|TBS,|TBS|IST|FCO|
FCO|TCG,|TCG|URC|IST|FCO|
FCO|TSE,|TSE|IST|FCO|
FCO|YIN,|YIN|URC|IST|FCO|
FCO|ENH,|ENH|WUH|URC|IST|FCO|
FCO|ENY,|ENY|XIY|URC|IST|FCO|
FCO|WXN,|WXN|XIY|URC|IST|FCO|
FCO|BLL,|BLL|IST|FCO|
FCO|ESB,|ESB|IST|FCO|
FCO|SAW,|SAW|ADB|IST|FCO|
FCO|HAM,|HAM|IST|FCO|
FCO|HRE,|HRE|ADD|IST|FCO|
FCO|JUB,|JUB|CAI|IST|FCO|
FCO|SSG,|SSG|DLA|IST|FCO|
FCO|BGW,|BGW|IST|FCO|
FCO|EBL,|EBL|IST|FCO|
FCO|VKO,|VKO|IST|FCO|
FCO|MCT,|MCT|IST|FCO|
FCO|AYT,|AYT|IST|FCO|
FCO|SCQ,|SCQ|BIO|IST|FCO|
FCO|AAL,|AAL|IST|FCO|
FCO|AOE,|AOE|BRU|IST|FCO|
FCO|JNB,|JNB|IST|FCO|
FCO|LBV,|LBV|DLA|IST|FCO|
FCO|ADA,|ADA|IST|FCO|
FCO|ADB,|ADB|IST|FCO|
FCO|ADF,|ADF|IST|FCO|
FCO|AJI,|AJI|IST|FCO|
FCO|BAL,|BAL|IST|FCO|
FCO|BJV,|BJV|IST|FCO|
FCO|CKZ,|CKZ|ESB|IST|FCO|
FCO|DIY,|DIY|IST|FCO|
FCO|ECN,|ECN|IST|FCO|
FCO|ERC,|ERC|IST|FCO|
FCO|ERZ,|ERZ|IST|FCO|
FCO|EZS,|EZS|IST|FCO|
FCO|GNY,|GNY|IST|FCO|
FCO|GZP,|GZP|ESB|IST|FCO|
FCO|GZT,|GZT|IST|FCO|
FCO|HTY,|HTY|IST|FCO|
FCO|KCM,|KCM|IST|FCO|
FCO|KSY,|KSY|IST|FCO|
FCO|MLX,|MLX|IST|FCO|
FCO|MQM,|MQM|IST|FCO|
FCO|MSR,|MSR|IST|FCO|
FCO|TEQ,|TEQ|ESB|IST|FCO|
FCO|TZX,|TZX|IST|FCO|
FCO|VAN,|VAN|IST|FCO|
FCO|ULN,|ULN|FRU|IST|FCO|
FCO|HIJ,|HIJ|ICN|IST|FCO|
FCO|VVO,|VVO|ICN|IST|FCO|
FCO|ACC,|ACC|IST|FCO|
FCO|AER,|AER|IST|FCO|
FCO|AGP,|AGP|IST|FCO|
FCO|ALG,|ALG|IST|FCO|
FCO|AMM,|AMM|IST|FCO|
FCO|AQJ,|AQJ|IST|FCO|
FCO|ARN,|ARN|IST|FCO|
FCO|ASR,|ASR|IST|FCO|
FCO|ATH,|ATH|IST|FCO|
FCO|BAH,|BAH|IST|FCO|
FCO|BEG,|BEG|IST|FCO|
FCO|BEN,|BEN|IST|FCO|
FCO|BEY,|BEY|IST|FCO|
FCO|BHX,|BHX|IST|FCO|
FCO|BIO,|BIO|IST|FCO|
FCO|BLQ,|BLQ|IST|FCO|
FCO|BOM,|BOM|IST|FCO|
FCO|BRE,|BRE|IST|FCO|
FCO|BSL,|BSL|IST|FCO|
FCO|BSR,|BSR|IST|FCO|
FCO|BUD,|BUD|IST|FCO|
FCO|BUS,|BUS|IST|FCO|
FCO|CAI,|CAI|IST|FCO|
FCO|CGN,|CGN|IST|FCO|
FCO|CMN,|CMN|IST|FCO|
FCO|CND,|CND|IST|FCO|
FCO|DAR,|DAR|IST|FCO|
FCO|DLM,|DLM|IST|FCO|
FCO|DMM,|DMM|IST|FCO|
FCO|DNK,|DNK|IST|FCO|
FCO|DNZ,|DNZ|IST|FCO|
FCO|DOK,|DOK|IST|FCO|
FCO|DUS,|DUS|IST|FCO|
FCO|EDI,|EDI|IST|FCO|
FCO|ELQ,|ELQ|IST|FCO|
FCO|FDH,|FDH|IST|FCO|
FCO|GOA,|GOA|IST|FCO|
FCO|GOT,|GOT|IST|FCO|
FCO|HAJ,|HAJ|IST|FCO|
FCO|HBE,|HBE|IST|FCO|
FCO|HEL,|HEL|IST|FCO|
FCO|HRG,|HRG|IST|FCO|
FCO|IFN,|IFN|IST|FCO|
FCO|ISE,|ISE|IST|FCO|
FCO|ISU,|ISU|IST|FCO|
