CLE|KHH,|KHH|CGO|PEK|YYZ|CLE|
CLE|UYN,|UYN|CGO|PEK|YYZ|CLE|
CLE|XNN,|XNN|PEK|YYZ|CLE|
CLE|ZUH,|ZUH|PEK|YYZ|CLE|
CLE|YNJ,|YNJ|PEK|YYZ|CLE|
CLE|DAT,|DAT|CIH|PEK|YYZ|CLE|
CLE|JHG,|JHG|CKG|PEK|YYZ|CLE|
CLE|LJG,|LJG|CKG|PEK|YYZ|CLE|
CLE|LXA,|LXA|XIY|PEK|YYZ|CLE|
CLE|YCU,|YCU|CSX|PEK|YYZ|CLE|
CLE|LZO,|LZO|CSX|PEK|YYZ|CLE|
CLE|MDG,|MDG|DLC|PEK|YYZ|CLE|
CLE|NGO,|NGO|ICN|YVR|ORD|CLE|
CLE|TOY,|TOY|DLC|PEK|YYZ|CLE|
CLE|MFM,|MFM|XMN|PEK|YYZ|CLE|
CLE|TGO,|TGO|HET|DLC|PEK|YYZ|CLE|
CLE|XIL,|XIL|HET|DLC|PEK|YYZ|CLE|
CLE|HEK,|HEK|HRB|PEK|YYZ|CLE|
CLE|KIJ,|KIJ|HRB|PEK|YYZ|CLE|
CLE|LDS,|LDS|HRB|PEK|YYZ|CLE|
CLE|OHE,|OHE|HRB|PEK|YYZ|CLE|
CLE|HSN,|HSN|PEK|YYZ|CLE|
CLE|DLU,|DLU|KMG|PEK|YYZ|CLE|
CLE|SYM,|SYM|KMG|PEK|YYZ|CLE|
CLE|ZAT,|ZAT|KMG|PEK|YYZ|CLE|
CLE|LUN,|LUN|NBO|ZRH|YYZ|CLE|
CLE|AOG,|AOG|PEK|YYZ|CLE|
CLE|GMP,|GMP|PEK|YYZ|CLE|
CLE|ISB,|ISB|IST|YYZ|CLE|
CLE|TAS,|TAS|IST|YYZ|CLE|
CLE|WUS,|WUS|PEK|YYZ|CLE|
CLE|JMU,|JMU|PVG|YYZ|CLE|
CLE|NDG,|NDG|PVG|YYZ|CLE|
CLE|JXA,|JXA|SHE|PEK|YYZ|CLE|
CLE|PUS,|PUS|SHE|PEK|YYZ|CLE|
CLE|BKI,|BKI|SZX|PEK|YYZ|CLE|
CLE|AKU,|AKU|URC|TSE|FRA|YYZ|CLE|
CLE|ALA,|ALA|TSE|FRA|YYZ|CLE|
CLE|ASB,|ASB|GYD|FRA|YYZ|CLE|
CLE|DNH,|DNH|URC|TSE|FRA|YYZ|CLE|
CLE|DYU,|DYU|IST|YYZ|CLE|
CLE|FRU,|FRU|IST|YYZ|CLE|
CLE|GYD,|GYD|FRA|YYZ|CLE|
CLE|HTN,|HTN|URC|TSE|FRA|YYZ|CLE|
CLE|IKA,|IKA|SAW|VIE|YYZ|CLE|
CLE|KCA,|KCA|URC|TSE|FRA|YYZ|CLE|
CLE|KHG,|KHG|URC|TSE|FRA|YYZ|CLE|
CLE|KRL,|KRL|URC|TSE|FRA|YYZ|CLE|
CLE|KRY,|KRY|URC|TSE|FRA|YYZ|CLE|
CLE|LBD,|LBD|URC|TSE|FRA|YYZ|CLE|
CLE|NLT,|NLT|URC|TSE|FRA|YYZ|CLE|
CLE|OSS,|OSS|IST|YYZ|CLE|
CLE|OVB,|OVB|IST|YYZ|CLE|
CLE|TBS,|TBS|SAW|VIE|YYZ|CLE|
CLE|TCG,|TCG|URC|TSE|FRA|YYZ|CLE|
CLE|TSE,|TSE|FRA|YYZ|CLE|
CLE|YIN,|YIN|URC|TSE|FRA|YYZ|CLE|
CLE|ENH,|ENH|WUH|PEK|YYZ|CLE|
CLE|ENY,|ENY|XIY|PEK|YYZ|CLE|
CLE|WXN,|WXN|XIY|PEK|YYZ|CLE|
CLE|BLL,|BLL|IST|YYZ|CLE|
CLE|ESB,|ESB|VIE|YYZ|CLE|
CLE|SAW,|SAW|VIE|YYZ|CLE|
CLE|HAM,|HAM|EWR|CLE|
CLE|HRE,|HRE|ADD|JED|FRA|YYZ|CLE|
CLE|JUB,|JUB|CAI|IST|YYZ|CLE|
CLE|SSG,|SSG|DLA|BRU|YUL|YYZ|CLE|
