TPA|DIY,|DIY|ESB|FRA|EWR|TPA|
TPA|ECN,|ECN|IST|BHX|EWR|TPA|
TPA|ERC,|ERC|ESB|FRA|EWR|TPA|
TPA|ERZ,|ERZ|ESB|FRA|EWR|TPA|
TPA|EZS,|EZS|ESB|FRA|EWR|TPA|
TPA|GNY,|GNY|ESB|FRA|EWR|TPA|
TPA|GZP,|GZP|ESB|FRA|EWR|TPA|
TPA|GZT,|GZT|ESB|FRA|EWR|TPA|
TPA|HTY,|HTY|SAW|FRA|EWR|TPA|
TPA|KCM,|KCM|ESB|FRA|EWR|TPA|
TPA|KSY,|KSY|ESB|FRA|EWR|TPA|
TPA|MLX,|MLX|ESB|FRA|EWR|TPA|
TPA|MQM,|MQM|ESB|FRA|EWR|TPA|
TPA|MSR,|MSR|ESB|FRA|EWR|TPA|
TPA|TEQ,|TEQ|ESB|FRA|EWR|TPA|
TPA|TZX,|TZX|ESB|FRA|EWR|TPA|
TPA|VAN,|VAN|ESB|FRA|EWR|TPA|
TPA|ULN,|ULN|FRU|IST|BHX|EWR|TPA|
TPA|HIJ,|HIJ|ICN|YVR|DEN|TPA|
TPA|VVO,|VVO|ICN|YVR|DEN|TPA|
TPA|ACC,|ACC|IST|BHX|EWR|TPA|
TPA|AER,|AER|IST|BHX|EWR|TPA|
TPA|AGP,|AGP|IST|BHX|EWR|TPA|
TPA|ALG,|ALG|IST|BHX|EWR|TPA|
TPA|AMM,|AMM|IST|BHX|EWR|TPA|
TPA|AQJ,|AQJ|IST|BHX|EWR|TPA|
TPA|ARN,|ARN|EWR|TPA|
TPA|ASR,|ASR|SAW|FRA|EWR|TPA|
TPA|ATH,|ATH|IST|BHX|EWR|TPA|
TPA|BAH,|BAH|IST|BHX|EWR|TPA|
TPA|BEG,|BEG|IST|BHX|EWR|TPA|
TPA|BEN,|BEN|IST|BHX|EWR|TPA|
TPA|BEY,|BEY|IST|BHX|EWR|TPA|
TPA|BHX,|BHX|EWR|TPA|
TPA|BIO,|BIO|IST|BHX|EWR|TPA|
TPA|BLQ,|BLQ|IST|BHX|EWR|TPA|
TPA|BOM,|BOM|EWR|TPA|
TPA|BRE,|BRE|IST|BHX|EWR|TPA|
TPA|BSL,|BSL|IST|BHX|EWR|TPA|
TPA|BSR,|BSR|IST|BHX|EWR|TPA|
TPA|BUD,|BUD|IST|BHX|EWR|TPA|
TPA|BUS,|BUS|IST|BHX|EWR|TPA|
TPA|CAI,|CAI|JFK|IAD|TPA|
TPA|CGN,|CGN|IST|BHX|EWR|TPA|
TPA|CMN,|CMN|IST|BHX|EWR|TPA|
TPA|CND,|CND|IST|BHX|EWR|TPA|
TPA|DAR,|DAR|NBO|ZRH|EWR|TPA|
TPA|DLM,|DLM|IST|BHX|EWR|TPA|
TPA|DMM,|DMM|IST|BHX|EWR|TPA|
TPA|DNK,|DNK|IST|BHX|EWR|TPA|
TPA|DNZ,|DNZ|IST|BHX|EWR|TPA|
TPA|DOK,|DOK|IST|BHX|EWR|TPA|
TPA|DUS,|DUS|EWR|TPA|
TPA|EDI,|EDI|EWR|TPA|
TPA|ELQ,|ELQ|IST|BHX|EWR|TPA|
TPA|FDH,|FDH|IST|BHX|EWR|TPA|
TPA|GOA,|GOA|IST|BHX|EWR|TPA|
TPA|GOT,|GOT|BRU|EWR|TPA|
TPA|HAJ,|HAJ|BRU|EWR|TPA|
TPA|HBE,|HBE|IST|BHX|EWR|TPA|
TPA|HEL,|HEL|IST|BHX|EWR|TPA|
TPA|HRG,|HRG|IST|BHX|EWR|TPA|
TPA|IFN,|IFN|IST|BHX|EWR|TPA|
TPA|ISE,|ISE|IST|BHX|EWR|TPA|
TPA|ISU,|ISU|IST|BHX|EWR|TPA|
TPA|JIB,|JIB|IST|BHX|EWR|TPA|
TPA|JRO,|JRO|IST|BHX|EWR|TPA|
TPA|KAN,|KAN|IST|BHX|EWR|TPA|
TPA|KBL,|KBL|IST|BHX|EWR|TPA|
TPA|KBP,|KBP|IST|BHX|EWR|TPA|
TPA|KFS,|KFS|IST|BHX|EWR|TPA|
TPA|KHI,|KHI|IST|BHX|EWR|TPA|
TPA|KIV,|KIV|IST|BHX|EWR|TPA|
TPA|KRT,|KRT|IST|BHX|EWR|TPA|
TPA|KSH,|KSH|IST|BHX|EWR|TPA|
TPA|KVD,|KVD|IST|BHX|EWR|TPA|
TPA|KWI,|KWI|SAW|FRA|EWR|TPA|
TPA|KYA,|KYA|IST|BHX|EWR|TPA|
TPA|KZN,|KZN|IST|BHX|EWR|TPA|
TPA|KZR,|KZR|IST|BHX|EWR|TPA|
TPA|LED,|LED|VIE|IAD|TPA|
TPA|LEJ,|LEJ|IST|BHX|EWR|TPA|
TPA|LGW,|LGW|IST|BHX|EWR|TPA|
TPA|LHE,|LHE|IST|BHX|EWR|TPA|
TPA|LIS,|LIS|EWR|TPA|
TPA|LJU,|LJU|IST|BHX|EWR|TPA|
TPA|LOS,|LOS|IAH|TPA|
TPA|LUX,|LUX|IST|BHX|EWR|TPA|
TPA|LWO,|LWO|IST|BHX|EWR|TPA|
TPA|LYS,|LYS|IST|BHX|EWR|TPA|
TPA|MAD,|MAD|EWR|TPA|
TPA|MAN,|MAN|EWR|TPA|
TPA|MED,|MED|IST|BHX|EWR|TPA|
TPA|MHD,|MHD|IST|BHX|EWR|TPA|
TPA|MLA,|MLA|IST|BHX|EWR|TPA|
TPA|MRS,|MRS|IST|BHX|EWR|TPA|
TPA|MSQ,|MSQ|IST|BHX|EWR|TPA|
TPA|MXP,|MXP|EWR|TPA|
TPA|MZH,|MZH|IST|BHX|EWR|TPA|
TPA|MZR,|MZR|IST|BHX|EWR|TPA|
TPA|NAJ,|NAJ|IST|BHX|EWR|TPA|
TPA|NAV,|NAV|IST|BHX|EWR|TPA|
TPA|NCE,|NCE|IST|BHX|EWR|TPA|
TPA|NIM,|NIM|IST|BHX|EWR|TPA|
TPA|NJF,|NJF|IST|BHX|EWR|TPA|
TPA|NSI,|NSI|BRU|EWR|TPA|
TPA|NUE,|NUE|IST|BHX|EWR|TPA|
TPA|ODS,|ODS|IST|BHX|EWR|TPA|
TPA|ORN,|ORN|IST|BHX|EWR|TPA|
TPA|OTP,|OTP|IST|BHX|EWR|TPA|
TPA|PRG,|PRG|BRU|EWR|TPA|
TPA|PRN,|PRN|IST|BHX|EWR|TPA|
TPA|RIX,|RIX|IST|BHX|EWR|TPA|
TPA|ROV,|ROV|IST|BHX|EWR|TPA|
TPA|RTM,|RTM|IST|BHX|EWR|TPA|
TPA|RUH,|RUH|IST|BHX|EWR|TPA|
TPA|SAH,|SAH|IST|BHX|EWR|TPA|
TPA|SJJ,|SJJ|IST|BHX|EWR|TPA|
TPA|SKG,|SKG|IST|BHX|EWR|TPA|
TPA|SKP,|SKP|IST|BHX|EWR|TPA|
TPA|SSH,|SSH|IST|BHX|EWR|TPA|
TPA|STR,|STR|EWR|TPA|
TPA|SVX,|SVX|IST|BHX|EWR|TPA|
TPA|SYZ,|SYZ|IST|BHX|EWR|TPA|
TPA|SZG,|SZG|IST|BHX|EWR|TPA|
TPA|TBZ,|TBZ|IST|BHX|EWR|TPA|
TPA|TGD,|TGD|IST|BHX|EWR|TPA|
TPA|TIA,|TIA|IST|BHX|EWR|TPA|
TPA|TIF,|TIF|IST|BHX|EWR|TPA|
TPA|TIP,|TIP|IST|BHX|EWR|TPA|
TPA|TLL,|TLL|VNO|CPH|YYZ|TPA|
TPA|TLS,|TLS|IST|BHX|EWR|TPA|
TPA|TRN,|TRN|IST|BHX|EWR|TPA|
TPA|TUN,|TUN|IST|BHX|EWR|TPA|
TPA|TXL,|TXL|EWR|TPA|
TPA|UFA,|UFA|IST|BHX|EWR|TPA|
TPA|VAS,|VAS|SAW|FRA|EWR|TPA|
TPA|VCE,|VCE|IST|BHX|EWR|TPA|
TPA|YNB,|YNB|IST|BHX|EWR|TPA|
TPA|ZAG,|ZAG|IST|BHX|EWR|TPA|
TPA|MGQ,|MGQ|JIB|IST|BHX|EWR|TPA|
