AMM|NAV,|NAV|IST|AMM|
AMM|NCE,|NCE|IST|AMM|
AMM|NIM,|NIM|IST|AMM|
AMM|NJF,|NJF|IST|AMM|
AMM|NSI,|NSI|IST|AMM|
AMM|NUE,|NUE|IST|AMM|
AMM|ODS,|ODS|IST|AMM|
AMM|ORN,|ORN|IST|AMM|
AMM|OTP,|OTP|IST|AMM|
AMM|PRG,|PRG|IST|AMM|
AMM|PRN,|PRN|IST|AMM|
AMM|RIX,|RIX|IST|AMM|
AMM|ROV,|ROV|IST|AMM|
AMM|RTM,|RTM|IST|AMM|
AMM|RUH,|RUH|IST|AMM|
AMM|SAH,|SAH|IST|AMM|
AMM|SJJ,|SJJ|IST|AMM|
AMM|SKG,|SKG|IST|AMM|
AMM|SKP,|SKP|IST|AMM|
AMM|SSH,|SSH|IST|AMM|
AMM|STR,|STR|IST|AMM|
AMM|SVX,|SVX|IST|AMM|
AMM|SYZ,|SYZ|IST|AMM|
AMM|SZG,|SZG|IST|AMM|
AMM|TBZ,|TBZ|IST|AMM|
AMM|TGD,|TGD|IST|AMM|
AMM|TIA,|TIA|IST|AMM|
AMM|TIF,|TIF|IST|AMM|
AMM|TIP,|TIP|IST|AMM|
AMM|TLL,|TLL|IST|AMM|
AMM|TLS,|TLS|IST|AMM|
AMM|TRN,|TRN|IST|AMM|
AMM|TUN,|TUN|IST|AMM|
AMM|TXL,|TXL|IST|AMM|
AMM|UFA,|UFA|IST|AMM|
AMM|VAS,|VAS|IST|AMM|
AMM|VCE,|VCE|IST|AMM|
AMM|YNB,|YNB|IST|AMM|
AMM|ZAG,|ZAG|IST|AMM|
AMM|MGQ,|MGQ|JIB|IST|AMM|
AMM|CPT,|CPT|JNB|IST|AMM|
AMM|MBA,|MBA|JRO|IST|AMM|
AMM|NDJ,|NDJ|KAN|IST|AMM|
AMM|CMB,|CMB|MLE|IST|AMM|
AMM|ADE,|ADE|SAH|IST|AMM|
AMM|ASF,|ASF|SAW|ADB|IST|AMM|
AMM|STW,|STW|SAW|ADB|IST|AMM|
AMM|LFW,|LFW|ABJ|OUA|NIM|IST|AMM|
AMM|CEC,|CEC|ACV|SMF|SEA|FRA|IST|AMM|
AMM|SMF,|SMF|SEA|FRA|IST|AMM|
AMM|CDR,|CDR|AIA|DEN|FRA|IST|AMM|
AMM|FMN,|FMN|DEN|FRA|IST|AMM|
AMM|JST,|JST|IAD|IST|AMM|
AMM|JHW,|JHW|CLE|YYZ|IST|AMM|
AMM|SHD,|SHD|IAD|IST|AMM|
AMM|PTY,|PTY|MIA|ZRH|IST|AMM|
AMM|FNA,|FNA|BRU|IST|AMM|
AMM|SXB,|SXB|BRU|IST|AMM|
AMM|ACV,|ACV|SMF|SEA|FRA|IST|AMM|
AMM|MGW,|MGW|IAD|IST|AMM|
AMM|ALB,|ALB|EWR|BHX|IST|AMM|
AMM|AUS,|AUS|ORD|IST|AMM|
AMM|BFD,|BFD|CLE|YYZ|IST|AMM|
AMM|BUF,|BUF|EWR|BHX|IST|AMM|
AMM|CHS,|CHS|EWR|BHX|IST|AMM|
AMM|DAY,|DAY|CLE|YYZ|IST|AMM|
AMM|DUJ,|DUJ|CLE|YYZ|IST|AMM|
AMM|ERI,|ERI|CLE|YYZ|IST|AMM|
AMM|FKL,|FKL|CLE|YYZ|IST|AMM|
AMM|FNT,|FNT|CLE|YYZ|IST|AMM|
AMM|GRR,|GRR|CLE|YYZ|IST|AMM|
AMM|GSP,|GSP|EWR|BHX|IST|AMM|
AMM|PBI,|PBI|EWR|BHX|IST|AMM|
AMM|PKB,|PKB|CLE|YYZ|IST|AMM|
AMM|RIC,|RIC|EWR|BHX|IST|AMM|
AMM|SDF,|SDF|CLE|YYZ|IST|AMM|
AMM|GUM,|GUM|FUK|ICN|IST|AMM|
AMM|WRL,|WRL|CYS|DEN|FRA|IST|AMM|
AMM|LBL,|AMM|
AMM|ABQ,|ABQ|DEN|FRA|IST|AMM|
