PTY|KZN,|KZN|IST|ZRH|MIA|PTY|
PTY|KZR,|KZR|IST|ZRH|MIA|PTY|
PTY|LED,|LED|VIE|JFK|PTY|
PTY|LEJ,|LEJ|IST|ZRH|MIA|PTY|
PTY|LGW,|LGW|IST|ZRH|MIA|PTY|
PTY|LHE,|LHE|IST|ZRH|MIA|PTY|
PTY|LIS,|LIS|MIA|PTY|
PTY|LJU,|LJU|IST|ZRH|MIA|PTY|
PTY|LOS,|LOS|IAH|PTY|
PTY|LUX,|LUX|IST|ZRH|MIA|PTY|
PTY|LWO,|LWO|IST|ZRH|MIA|PTY|
PTY|LYS,|LYS|IST|ZRH|MIA|PTY|
PTY|MAD,|MAD|EWR|PTY|
PTY|MAN,|MAN|EWR|PTY|
PTY|MED,|MED|IST|ZRH|MIA|PTY|
PTY|MHD,|MHD|IST|ZRH|MIA|PTY|
PTY|MLA,|MLA|IST|ZRH|MIA|PTY|
PTY|MRS,|MRS|IST|ZRH|MIA|PTY|
PTY|MSQ,|MSQ|IST|ZRH|MIA|PTY|
PTY|MXP,|MXP|EWR|PTY|
PTY|MZH,|MZH|IST|ZRH|MIA|PTY|
PTY|MZR,|MZR|IST|ZRH|MIA|PTY|
PTY|NAJ,|NAJ|IST|ZRH|MIA|PTY|
PTY|NAV,|NAV|IST|ZRH|MIA|PTY|
PTY|NCE,|NCE|IST|ZRH|MIA|PTY|
PTY|NIM,|NIM|IST|ZRH|MIA|PTY|
PTY|NJF,|NJF|IST|ZRH|MIA|PTY|
PTY|NSI,|NSI|BRU|JFK|PTY|
PTY|NUE,|NUE|IST|ZRH|MIA|PTY|
PTY|ODS,|ODS|IST|ZRH|MIA|PTY|
PTY|ORN,|ORN|IST|ZRH|MIA|PTY|
PTY|OTP,|OTP|IST|ZRH|MIA|PTY|
PTY|PRG,|PRG|BRU|JFK|PTY|
PTY|PRN,|PRN|IST|ZRH|MIA|PTY|
PTY|RIX,|RIX|IST|ZRH|MIA|PTY|
PTY|ROV,|ROV|IST|ZRH|MIA|PTY|
PTY|RTM,|RTM|IST|ZRH|MIA|PTY|
PTY|RUH,|RUH|IST|ZRH|MIA|PTY|
PTY|SAH,|SAH|IST|ZRH|MIA|PTY|
PTY|SJJ,|SJJ|IST|ZRH|MIA|PTY|
PTY|SKG,|SKG|IST|ZRH|MIA|PTY|
PTY|SKP,|SKP|IST|ZRH|MIA|PTY|
PTY|SSH,|SSH|IST|ZRH|MIA|PTY|
PTY|STR,|STR|EWR|PTY|
PTY|SVX,|SVX|IST|ZRH|MIA|PTY|
PTY|SYZ,|SYZ|IST|ZRH|MIA|PTY|
PTY|SZG,|SZG|IST|ZRH|MIA|PTY|
PTY|TBZ,|TBZ|IST|ZRH|MIA|PTY|
