JST|ZHA,|ZHA|CAN|PEK|IAD|JST|
JST|ZYI,|ZYI|PEK|IAD|JST|
JST|BAV,|BAV|CGO|PEK|IAD|JST|
JST|CJU,|CJU|DLC|PEK|IAD|JST|
JST|DSN,|DSN|CGO|PEK|IAD|JST|
JST|HMI,|HMI|URC|TSE|FRA|IAD|JST|
JST|INC,|INC|PEK|IAD|JST|
JST|KHH,|KHH|CGO|PEK|IAD|JST|
JST|UYN,|UYN|CGO|PEK|IAD|JST|
JST|XNN,|XNN|PEK|IAD|JST|
JST|ZUH,|ZUH|PEK|IAD|JST|
JST|YNJ,|YNJ|ICN|JFK|IAD|JST|
JST|DAT,|DAT|CIH|PEK|IAD|JST|
JST|JHG,|JHG|CKG|PEK|IAD|JST|
JST|LJG,|LJG|CKG|PEK|IAD|JST|
JST|LXA,|LXA|XIY|PEK|IAD|JST|
JST|YCU,|YCU|CSX|PEK|IAD|JST|
JST|LZO,|LZO|CSX|PEK|IAD|JST|
JST|MDG,|MDG|ICN|JFK|IAD|JST|
JST|NGO,|NGO|ICN|JFK|IAD|JST|
JST|TOY,|TOY|DLC|PEK|IAD|JST|
JST|MFM,|MFM|XMN|PEK|IAD|JST|
JST|TGO,|TGO|HET|DLC|PEK|IAD|JST|
JST|XIL,|XIL|HET|DLC|PEK|IAD|JST|
JST|HEK,|HEK|HRB|PEK|IAD|JST|
JST|KIJ,|KIJ|HRB|PEK|IAD|JST|
JST|LDS,|LDS|HRB|PEK|IAD|JST|
JST|OHE,|OHE|HRB|PEK|IAD|JST|
JST|HSN,|HSN|PEK|IAD|JST|
JST|DLU,|DLU|KMG|PEK|IAD|JST|
JST|SYM,|SYM|KMG|PEK|IAD|JST|
JST|ZAT,|ZAT|KMG|PEK|IAD|JST|
JST|LUN,|LUN|NBO|ZRH|IAD|JST|
JST|AOG,|AOG|PEK|IAD|JST|
JST|GMP,|GMP|PEK|IAD|JST|
JST|ISB,|ISB|IST|IAD|JST|
JST|TAS,|TAS|IST|IAD|JST|
JST|WUS,|WUS|PEK|IAD|JST|
JST|JMU,|JMU|PVG|YYZ|IAD|JST|
JST|NDG,|NDG|PVG|YYZ|IAD|JST|
JST|JXA,|JXA|SHE|PEK|IAD|JST|
JST|PUS,|PUS|SHE|PEK|IAD|JST|
JST|BKI,|BKI|SZX|PEK|IAD|JST|
JST|AKU,|AKU|URC|TSE|FRA|IAD|JST|
JST|ALA,|ALA|TSE|FRA|IAD|JST|
JST|ASB,|ASB|GYD|FRA|IAD|JST|
JST|DNH,|DNH|URC|TSE|FRA|IAD|JST|
JST|DYU,|DYU|IST|IAD|JST|
JST|FRU,|FRU|IST|IAD|JST|
JST|GYD,|GYD|FRA|IAD|JST|
JST|HTN,|HTN|URC|TSE|FRA|IAD|JST|
JST|IKA,|IKA|SAW|FRA|IAD|JST|
JST|KCA,|KCA|URC|TSE|FRA|IAD|JST|
JST|KHG,|KHG|URC|TSE|FRA|IAD|JST|
JST|KRL,|KRL|URC|TSE|FRA|IAD|JST|
JST|KRY,|KRY|URC|TSE|FRA|IAD|JST|
JST|LBD,|LBD|URC|TSE|FRA|IAD|JST|
JST|NLT,|NLT|URC|TSE|FRA|IAD|JST|
JST|OSS,|OSS|IST|IAD|JST|
JST|OVB,|OVB|IST|IAD|JST|
JST|TBS,|TBS|SAW|FRA|IAD|JST|
JST|TCG,|TCG|URC|TSE|FRA|IAD|JST|
JST|TSE,|TSE|FRA|IAD|JST|
JST|YIN,|YIN|URC|TSE|FRA|IAD|JST|
JST|ENH,|ENH|WUH|PEK|IAD|JST|
JST|ENY,|ENY|XIY|PEK|IAD|JST|
JST|WXN,|WXN|XIY|PEK|IAD|JST|
JST|BLL,|BLL|IST|IAD|JST|
JST|ESB,|ESB|VIE|IAD|JST|
JST|SAW,|SAW|FRA|IAD|JST|
JST|HAM,|HAM|EWR|IAD|JST|
JST|HRE,|HRE|ADD|JED|FRA|IAD|JST|
JST|JUB,|JUB|CAI|JFK|IAD|JST|
JST|SSG,|SSG|DLA|BRU|IAD|JST|
JST|BGW,|BGW|ESB|VIE|IAD|JST|
JST|EBL,|EBL|IST|IAD|JST|
JST|VKO,|VKO|IST|IAD|JST|
JST|MCT,|MCT|IST|IAD|JST|
JST|AYT,|AYT|IST|IAD|JST|
JST|SCQ,|SCQ|BIO|IST|IAD|JST|
JST|AAL,|AAL|IST|IAD|JST|
JST|AOE,|AOE|BRU|IAD|JST|
JST|JNB,|JNB|DKR|IAD|JST|
JST|LBV,|LBV|DLA|BRU|IAD|JST|
JST|ADA,|ADA|SAW|FRA|IAD|JST|
JST|ADB,|ADB|HAM|EWR|IAD|JST|
JST|ADF,|ADF|ESB|VIE|IAD|JST|
JST|AJI,|AJI|ESB|VIE|IAD|JST|
JST|BAL,|BAL|ESB|VIE|IAD|JST|
JST|BJV,|BJV|IST|IAD|JST|
JST|CKZ,|CKZ|ESB|VIE|IAD|JST|
JST|DIY,|DIY|ESB|VIE|IAD|JST|
JST|ECN,|ECN|IST|IAD|JST|
JST|ERC,|ERC|ESB|VIE|IAD|JST|
JST|ERZ,|ERZ|ESB|VIE|IAD|JST|
JST|EZS,|EZS|ESB|VIE|IAD|JST|
JST|GNY,|GNY|ESB|VIE|IAD|JST|
JST|GZP,|GZP|ESB|VIE|IAD|JST|
JST|GZT,|GZT|ESB|VIE|IAD|JST|
JST|HTY,|HTY|SAW|FRA|IAD|JST|
JST|KCM,|KCM|ESB|VIE|IAD|JST|
JST|KSY,|KSY|ESB|VIE|IAD|JST|
JST|MLX,|MLX|ESB|VIE|IAD|JST|
JST|MQM,|MQM|ESB|VIE|IAD|JST|
JST|MSR,|MSR|ESB|VIE|IAD|JST|
JST|TEQ,|TEQ|ESB|VIE|IAD|JST|
JST|TZX,|TZX|ESB|VIE|IAD|JST|
JST|VAN,|VAN|ESB|VIE|IAD|JST|
JST|ULN,|ULN|FRU|IST|IAD|JST|
JST|HIJ,|HIJ|ICN|JFK|IAD|JST|
JST|VVO,|VVO|ICN|JFK|IAD|JST|
JST|ACC,|ACC|IST|IAD|JST|
JST|AER,|AER|IST|IAD|JST|
JST|AGP,|AGP|IST|IAD|JST|
JST|ALG,|ALG|IST|IAD|JST|
JST|AMM,|AMM|IST|IAD|JST|
JST|AQJ,|AQJ|IST|IAD|JST|
JST|ARN,|ARN|EWR|IAD|JST|
JST|ASR,|ASR|SAW|FRA|IAD|JST|
JST|ATH,|ATH|IST|IAD|JST|
JST|BAH,|BAH|KWI|IAD|JST|
JST|BEG,|BEG|IST|IAD|JST|
JST|BEN,|BEN|IST|IAD|JST|
JST|BEY,|BEY|IST|IAD|JST|
JST|BHX,|BHX|EWR|IAD|JST|
JST|BIO,|BIO|IST|IAD|JST|
JST|BLQ,|BLQ|IST|IAD|JST|
JST|BOM,|BOM|EWR|IAD|JST|
JST|BRE,|BRE|IST|IAD|JST|
JST|BSL,|BSL|IST|IAD|JST|
JST|BSR,|BSR|IST|IAD|JST|
JST|BUD,|BUD|IST|IAD|JST|
JST|BUS,|BUS|IST|IAD|JST|
JST|CAI,|CAI|JFK|IAD|JST|
JST|CGN,|CGN|IST|IAD|JST|
JST|CMN,|CMN|IST|IAD|JST|
JST|CND,|CND|IST|IAD|JST|
JST|DAR,|DAR|NBO|ZRH|IAD|JST|
JST|DLM,|DLM|IST|IAD|JST|
JST|DMM,|DMM|IST|IAD|JST|
JST|DNK,|DNK|IST|IAD|JST|
JST|DNZ,|DNZ|IST|IAD|JST|
JST|DOK,|DOK|IST|IAD|JST|
JST|DUS,|DUS|EWR|IAD|JST|
JST|EDI,|EDI|EWR|IAD|JST|
JST|ELQ,|ELQ|IST|IAD|JST|
JST|FDH,|FDH|IST|IAD|JST|
JST|GOA,|GOA|IST|IAD|JST|
JST|GOT,|GOT|BRU|IAD|JST|
JST|HAJ,|HAJ|BRU|IAD|JST|
JST|HBE,|HBE|IST|IAD|JST|
JST|HEL,|HEL|IST|IAD|JST|
JST|HRG,|HRG|IST|IAD|JST|
JST|IFN,|IFN|IST|IAD|JST|
JST|ISE,|ISE|IST|IAD|JST|
JST|ISU,|ISU|IST|IAD|JST|
JST|JIB,|JIB|IST|IAD|JST|
JST|JRO,|JRO|IST|IAD|JST|
JST|KAN,|KAN|IST|IAD|JST|
JST|KBL,|KBL|IST|IAD|JST|
JST|KBP,|KBP|IST|IAD|JST|
JST|KFS,|KFS|IST|IAD|JST|
JST|KHI,|KHI|IST|IAD|JST|
JST|KIV,|KIV|IST|IAD|JST|
JST|KRT,|KRT|IST|IAD|JST|
JST|KSH,|KSH|IST|IAD|JST|
JST|KVD,|KVD|IST|IAD|JST|
JST|KWI,|KWI|IAD|JST|
JST|KYA,|KYA|IST|IAD|JST|
JST|KZN,|KZN|IST|IAD|JST|
JST|KZR,|KZR|IST|IAD|JST|
JST|LED,|LED|VIE|IAD|JST|
JST|LEJ,|LEJ|IST|IAD|JST|
JST|LGW,|LGW|IST|IAD|JST|
JST|LHE,|LHE|IST|IAD|JST|
JST|LIS,|LIS|EWR|IAD|JST|
JST|LJU,|LJU|IST|IAD|JST|
JST|LOS,|LOS|FRA|IAD|JST|
JST|LUX,|LUX|IST|IAD|JST|
JST|LWO,|LWO|IST|IAD|JST|
JST|LYS,|LYS|IST|IAD|JST|
JST|MAD,|MAD|EWR|IAD|JST|
JST|MAN,|MAN|IAD|JST|
JST|MED,|MED|IST|IAD|JST|
JST|MHD,|MHD|IST|IAD|JST|
JST|MLA,|MLA|IST|IAD|JST|
JST|MRS,|MRS|IST|IAD|JST|
JST|MSQ,|MSQ|IST|IAD|JST|
JST|MXP,|MXP|EWR|IAD|JST|
JST|MZH,|MZH|IST|IAD|JST|
JST|MZR,|MZR|IST|IAD|JST|
JST|NAJ,|NAJ|IST|IAD|JST|
JST|NAV,|NAV|IST|IAD|JST|
JST|NCE,|NCE|IST|IAD|JST|
JST|NIM,|NIM|IST|IAD|JST|
JST|NJF,|NJF|IST|IAD|JST|
JST|NSI,|NSI|BRU|IAD|JST|
JST|NUE,|NUE|IST|IAD|JST|
JST|ODS,|ODS|IST|IAD|JST|
JST|ORN,|ORN|IST|IAD|JST|
JST|OTP,|OTP|IST|IAD|JST|
JST|PRG,|PRG|BRU|IAD|JST|
JST|PRN,|PRN|IST|IAD|JST|
JST|RIX,|RIX|IST|IAD|JST|
JST|ROV,|ROV|IST|IAD|JST|
JST|RTM,|RTM|IST|IAD|JST|
JST|RUH,|RUH|IST|IAD|JST|
JST|SAH,|SAH|IST|IAD|JST|
