EBB|CZX,|CZX|TYN|URC|IST|EBB|
EBB|DAC,|DAC|IST|EBB|
EBB|DAD,|DAD|CAN|IST|EBB|
EBB|DEL,|DEL|IST|EBB|
EBB|DIG,|DIG|KMG|CTU|URC|IST|EBB|
EBB|DLC,|DLC|PEK|IST|EBB|
EBB|DPS,|DPS|CAN|IST|EBB|
EBB|DXB,|DXB|IST|EBB|
EBB|DYG,|DYG|CSX|URC|IST|EBB|
EBB|FUG,|FUG|CAN|IST|EBB|
EBB|FUK,|FUK|ICN|IST|EBB|
EBB|HAK,|HAK|CTU|URC|IST|EBB|
EBB|HAN,|HAN|CAN|IST|EBB|
EBB|HDG,|HDG|CAN|IST|EBB|
EBB|HET,|HET|URC|IST|EBB|
EBB|HFE,|HFE|XIY|URC|IST|EBB|
EBB|HJJ,|HJJ|CSX|URC|IST|EBB|
EBB|HKT,|HKT|KWE|URC|IST|EBB|
EBB|HRB,|HRB|PEK|IST|EBB|
EBB|HZH,|HZH|CAN|IST|EBB|
EBB|JIU,|JIU|CAN|IST|EBB|
EBB|JJN,|JJN|CSX|URC|IST|EBB|
EBB|JNG,|JNG|CAN|IST|EBB|
EBB|KHN,|KHN|XIY|URC|IST|EBB|
EBB|KIX,|KIX|IST|EBB|
EBB|KOW,|KOW|CAN|IST|EBB|
EBB|KTM,|KTM|IST|EBB|
EBB|KUL,|KUL|IST|EBB|
EBB|KWE,|KWE|URC|IST|EBB|
EBB|KWL,|KWL|CKG|URC|IST|EBB|
EBB|LHW,|LHW|URC|IST|EBB|
EBB|LYA,|LYA|KHN|XIY|URC|IST|EBB|
EBB|LYG,|LYG|XUZ|INC|URC|IST|EBB|
EBB|LZH,|LZH|CAN|IST|EBB|
EBB|MEL,|MEL|BKK|IST|EBB|
EBB|MIG,|MIG|CSX|URC|IST|EBB|
EBB|MLE,|MLE|IST|EBB|
EBB|MNL,|MNL|CAN|IST|EBB|
EBB|MXZ,|MXZ|CAN|IST|EBB|
EBB|NAO,|NAO|PEK|IST|EBB|
EBB|NGB,|NGB|WUH|URC|IST|EBB|
EBB|NKG,|NKG|URC|IST|EBB|
