MBS|TNA,|TNA|DLC|PEK|ORD|MBS|
MBS|TPE,|TPE|PVG|ORD|MBS|
MBS|TSN,|TSN|DLC|PEK|ORD|MBS|
MBS|TXN,|TXN|DLC|PEK|ORD|MBS|
MBS|TYN,|TYN|DAT|CIH|PEK|ORD|MBS|
MBS|WNZ,|WNZ|CGO|PEK|ORD|MBS|
MBS|WUX,|WUX|CAN|PEK|ORD|MBS|
MBS|XFN,|XFN|XMN|PEK|ORD|MBS|
MBS|XIY,|XIY|PEK|ORD|MBS|
MBS|XUZ,|XUZ|LYG|HSN|PEK|ORD|MBS|
MBS|YIH,|YIH|CKG|PEK|ORD|MBS|
MBS|YIW,|YIW|PEK|ORD|MBS|
MBS|YNT,|YNT|SHE|PEK|ORD|MBS|
MBS|YNZ,|YNZ|DLC|PEK|ORD|MBS|
MBS|YTY,|YTY|DLC|PEK|ORD|MBS|
MBS|ZHA,|ZHA|CAN|PEK|ORD|MBS|
MBS|ZYI,|ZYI|PEK|ORD|MBS|
MBS|BAV,|BAV|CGO|PEK|ORD|MBS|
MBS|CJU,|CJU|DLC|PEK|ORD|MBS|
MBS|DSN,|DSN|CGO|PEK|ORD|MBS|
MBS|HMI,|HMI|CGO|PEK|ORD|MBS|
MBS|INC,|INC|PEK|ORD|MBS|
MBS|KHH,|KHH|CGO|PEK|ORD|MBS|
MBS|UYN,|UYN|CGO|PEK|ORD|MBS|
MBS|XNN,|XNN|PEK|ORD|MBS|
MBS|ZUH,|ZUH|PEK|ORD|MBS|
MBS|YNJ,|YNJ|PEK|ORD|MBS|
MBS|DAT,|DAT|CIH|PEK|ORD|MBS|
MBS|JHG,|JHG|CKG|PEK|ORD|MBS|
MBS|LJG,|LJG|CKG|PEK|ORD|MBS|
MBS|LXA,|LXA|XIY|PEK|ORD|MBS|
MBS|YCU,|YCU|CSX|PEK|ORD|MBS|
MBS|LZO,|LZO|CSX|PEK|ORD|MBS|
MBS|MDG,|MDG|ICN|YVR|ORD|MBS|
MBS|NGO,|NGO|ICN|YVR|ORD|MBS|
MBS|TOY,|TOY|DLC|PEK|ORD|MBS|
MBS|MFM,|MFM|XMN|PEK|ORD|MBS|
MBS|TGO,|TGO|HET|DLC|PEK|ORD|MBS|
MBS|XIL,|XIL|HET|DLC|PEK|ORD|MBS|
MBS|HEK,|HEK|HRB|PEK|ORD|MBS|
MBS|KIJ,|KIJ|HRB|PEK|ORD|MBS|
MBS|LDS,|LDS|HRB|PEK|ORD|MBS|
MBS|OHE,|OHE|HRB|PEK|ORD|MBS|
MBS|HSN,|HSN|PEK|ORD|MBS|
MBS|DLU,|DLU|KMG|PEK|ORD|MBS|
MBS|SYM,|SYM|KMG|PEK|ORD|MBS|
MBS|ZAT,|ZAT|KMG|PEK|ORD|MBS|
MBS|LUN,|LUN|NBO|ZRH|ORD|MBS|
MBS|AOG,|AOG|PEK|ORD|MBS|
MBS|GMP,|GMP|PEK|ORD|MBS|
MBS|ISB,|ISB|IST|ORD|MBS|
MBS|TAS,|TAS|IST|ORD|MBS|
MBS|WUS,|WUS|PEK|ORD|MBS|
MBS|JMU,|JMU|PVG|ORD|MBS|
MBS|NDG,|NDG|PVG|ORD|MBS|
MBS|JXA,|JXA|SHE|PEK|ORD|MBS|
MBS|PUS,|PUS|SHE|PEK|ORD|MBS|
MBS|BKI,|BKI|SZX|PEK|ORD|MBS|
MBS|AKU,|AKU|URC|TSE|FRA|ORD|MBS|
MBS|ALA,|ALA|TSE|FRA|ORD|MBS|
MBS|ASB,|ASB|GYD|FRA|ORD|MBS|
MBS|DNH,|DNH|XIY|PEK|ORD|MBS|
MBS|DYU,|DYU|IST|ORD|MBS|
MBS|FRU,|FRU|IST|ORD|MBS|
MBS|GYD,|GYD|FRA|ORD|MBS|
MBS|HTN,|HTN|URC|TSE|FRA|ORD|MBS|
MBS|IKA,|IKA|SAW|VIE|ORD|MBS|
MBS|KCA,|KCA|URC|TSE|FRA|ORD|MBS|
MBS|KHG,|KHG|URC|TSE|FRA|ORD|MBS|
MBS|KRL,|KRL|URC|TSE|FRA|ORD|MBS|
MBS|KRY,|KRY|URC|TSE|FRA|ORD|MBS|
MBS|LBD,|LBD|URC|TSE|FRA|ORD|MBS|
MBS|NLT,|NLT|URC|TSE|FRA|ORD|MBS|
MBS|OSS,|OSS|IST|ORD|MBS|
MBS|OVB,|OVB|IST|ORD|MBS|
MBS|TBS,|TBS|SAW|VIE|ORD|MBS|
MBS|TCG,|TCG|URC|TSE|FRA|ORD|MBS|
MBS|TSE,|TSE|FRA|ORD|MBS|
MBS|YIN,|YIN|URC|TSE|FRA|ORD|MBS|
MBS|ENH,|ENH|WUH|PEK|ORD|MBS|
MBS|ENY,|ENY|XIY|PEK|ORD|MBS|
MBS|WXN,|WXN|XIY|PEK|ORD|MBS|
MBS|BLL,|BLL|IST|ORD|MBS|
MBS|ESB,|ESB|VIE|ORD|MBS|
MBS|SAW,|SAW|VIE|ORD|MBS|
