NSI|CMN,|CMN|IST|DLA|NSI|
NSI|CND,|CND|IST|DLA|NSI|
NSI|DAR,|DAR|NBO|LUN|HRE|ADD|DLA|NSI|
NSI|DLM,|DLM|IST|DLA|NSI|
NSI|DMM,|DMM|IST|DLA|NSI|
NSI|DNK,|DNK|IST|DLA|NSI|
NSI|DNZ,|DNZ|IST|DLA|NSI|
NSI|DOK,|DOK|IST|DLA|NSI|
NSI|DUS,|DUS|IST|DLA|NSI|
NSI|EDI,|EDI|IST|DLA|NSI|
NSI|ELQ,|ELQ|IST|DLA|NSI|
NSI|FDH,|FDH|IST|DLA|NSI|
NSI|GOA,|GOA|IST|DLA|NSI|
NSI|GOT,|GOT|BRU|NSI|
NSI|HAJ,|HAJ|BRU|NSI|
NSI|HBE,|HBE|IST|DLA|NSI|
NSI|HEL,|HEL|IST|DLA|NSI|
NSI|HRG,|HRG|IST|DLA|NSI|
NSI|IFN,|IFN|IST|DLA|NSI|
NSI|ISE,|ISE|IST|DLA|NSI|
NSI|ISU,|ISU|IST|DLA|NSI|
NSI|JIB,|JIB|IST|DLA|NSI|
NSI|JRO,|JRO|IST|DLA|NSI|
NSI|KAN,|KAN|IST|DLA|NSI|
NSI|KBL,|KBL|IST|DLA|NSI|
NSI|KBP,|KBP|IST|DLA|NSI|
NSI|KFS,|KFS|IST|DLA|NSI|
NSI|KHI,|KHI|IST|DLA|NSI|
NSI|KIV,|KIV|IST|DLA|NSI|
NSI|KRT,|KRT|IST|DLA|NSI|
NSI|KSH,|KSH|IST|DLA|NSI|
NSI|KVD,|KVD|IST|DLA|NSI|
NSI|KWI,|KWI|IST|DLA|NSI|
NSI|KYA,|KYA|IST|DLA|NSI|
NSI|KZN,|KZN|IST|DLA|NSI|
NSI|KZR,|KZR|IST|DLA|NSI|
NSI|LED,|LED|IST|DLA|NSI|
NSI|LEJ,|LEJ|IST|DLA|NSI|
NSI|LGW,|LGW|IST|DLA|NSI|
