TBS|FNA,|FNA|BRU|SAW|TBS|
TBS|SXB,|SXB|BRU|SAW|TBS|
TBS|ACV,|ACV|SMF|SEA|FRA|SAW|TBS|
TBS|MGW,|MGW|IAD|FRA|SAW|TBS|
TBS|ALB,|ALB|EWR|FRA|SAW|TBS|
TBS|AUS,|AUS|ORD|VIE|SAW|TBS|
TBS|BFD,|BFD|CLE|YYZ|VIE|SAW|TBS|
TBS|BUF,|BUF|EWR|FRA|SAW|TBS|
TBS|CHS,|CHS|EWR|FRA|SAW|TBS|
TBS|DAY,|DAY|CLE|YYZ|VIE|SAW|TBS|
TBS|DUJ,|DUJ|CLE|YYZ|VIE|SAW|TBS|
TBS|ERI,|ERI|CLE|YYZ|VIE|SAW|TBS|
TBS|FKL,|FKL|CLE|YYZ|VIE|SAW|TBS|
TBS|FNT,|FNT|CLE|YYZ|VIE|SAW|TBS|
TBS|GRR,|GRR|CLE|YYZ|VIE|SAW|TBS|
TBS|GSP,|GSP|EWR|FRA|SAW|TBS|
