ACV|CSX,|CSX|ICN|SFO|ACV|
ACV|SHE,|SHE|ICN|SFO|ACV|
ACV|SJW,|SJW|DLC|ICN|SFO|ACV|
ACV|WUH,|WUH|ICN|SFO|ACV|
ACV|SZX,|SZX|PVG|SFO|ACV|
ACV|CKG,|CKG|PEK|SFO|ACV|
ACV|KMG,|KMG|PEK|SFO|ACV|
ACV|FOC,|FOC|HGH|DLC|ICN|SFO|ACV|
ACV|NNG,|NNG|CSX|ICN|SFO|ACV|
ACV|SWA,|SWA|WUH|ICN|SFO|ACV|
ACV|ACX,|ACX|CAN|PVG|SFO|ACV|
ACV|AQG,|AQG|CAN|PVG|SFO|ACV|
ACV|AVA,|AVA|CAN|PVG|SFO|ACV|
ACV|BFJ,|BFJ|CAN|PVG|SFO|ACV|
ACV|BHY,|BHY|CSX|ICN|SFO|ACV|
ACV|BNE,|BNE|CAN|PVG|SFO|ACV|
ACV|CGD,|CGD|PEK|SFO|ACV|
ACV|CGK,|CGK|CAN|PVG|SFO|ACV|
ACV|CGQ,|CGQ|NRT|SFO|ACV|
ACV|CIH,|CIH|PEK|SFO|ACV|
ACV|CNX,|CNX|CAN|PVG|SFO|ACV|
ACV|CZX,|CZX|SHE|ICN|SFO|ACV|
ACV|DAC,|DAC|CAN|PVG|SFO|ACV|
ACV|DAD,|DAD|CAN|PVG|SFO|ACV|
ACV|DEL,|DEL|CAN|PVG|SFO|ACV|
ACV|DIG,|DIG|KMG|PEK|SFO|ACV|
ACV|DLC,|DLC|ICN|SFO|ACV|
ACV|DPS,|DPS|SZX|PVG|SFO|ACV|
ACV|DXB,|DXB|IST|FRA|SEA|SMF|ACV|
ACV|DYG,|DYG|PEK|SFO|ACV|
ACV|FUG,|FUG|CAN|PVG|SFO|ACV|
ACV|FUK,|FUK|ICN|SFO|ACV|
ACV|HAK,|HAK|PVG|SFO|ACV|
ACV|HAN,|HAN|PEK|SFO|ACV|
ACV|HDG,|HDG|CAN|PVG|SFO|ACV|
ACV|HET,|HET|DLC|ICN|SFO|ACV|
ACV|HFE,|HFE|TYN|DLC|ICN|SFO|ACV|
ACV|HJJ,|HJJ|CSX|ICN|SFO|ACV|
ACV|HKT,|HKT|CAN|PVG|SFO|ACV|
ACV|HRB,|HRB|ICN|SFO|ACV|
ACV|HZH,|HZH|CAN|PVG|SFO|ACV|
ACV|JIU,|JIU|CAN|PVG|SFO|ACV|
ACV|JJN,|JJN|HGH|DLC|ICN|SFO|ACV|
ACV|JNG,|JNG|CAN|PVG|SFO|ACV|
ACV|KHN,|KHN|DLC|ICN|SFO|ACV|
ACV|KIX,|KIX|SFO|ACV|
ACV|KOW,|KOW|PEK|SFO|ACV|
ACV|KTM,|KTM|CAN|PVG|SFO|ACV|
ACV|KUL,|KUL|PVG|SFO|ACV|
ACV|KWE,|KWE|PEK|SFO|ACV|
ACV|KWL,|KWL|WUH|ICN|SFO|ACV|
ACV|LHW,|LHW|CGO|PEK|SFO|ACV|
ACV|LYA,|LYA|KHN|DLC|ICN|SFO|ACV|
ACV|LYG,|LYG|HSN|PEK|SFO|ACV|
ACV|LZH,|LZH|CAN|PVG|SFO|ACV|
ACV|MEL,|MEL|SYD|SFO|ACV|
ACV|MIG,|MIG|CSX|ICN|SFO|ACV|
ACV|MLE,|MLE|CAN|PVG|SFO|ACV|
ACV|MNL,|MNL|XMN|YNZ|DLC|ICN|SFO|ACV|
ACV|MXZ,|MXZ|CAN|PVG|SFO|ACV|
ACV|NAO,|NAO|PEK|SFO|ACV|
ACV|NGB,|NGB|DLC|ICN|SFO|ACV|
ACV|NKG,|NKG|DLC|ICN|SFO|ACV|
ACV|NNY,|NNY|CGO|PEK|SFO|ACV|
ACV|PEN,|PEN|CAN|PVG|SFO|ACV|
ACV|PER,|PER|CAN|PVG|SFO|ACV|
ACV|PNH,|PNH|CAN|PVG|SFO|ACV|
ACV|REP,|REP|CAN|PVG|SFO|ACV|
ACV|RGN,|RGN|CAN|PVG|SFO|ACV|
ACV|SGN,|SGN|HKG|SFO|ACV|
ACV|SHA,|SHA|PEK|SFO|ACV|
ACV|SIN,|SIN|NRT|SFO|ACV|
