SDF|CND,|CND|IST|YYZ|CLE|SDF|
SDF|DAR,|DAR|NBO|ZRH|YYZ|CLE|SDF|
SDF|DLM,|DLM|IST|YYZ|CLE|SDF|
SDF|DMM,|DMM|IST|YYZ|CLE|SDF|
SDF|DNK,|DNK|IST|YYZ|CLE|SDF|
SDF|DNZ,|DNZ|IST|YYZ|CLE|SDF|
SDF|DOK,|DOK|IST|YYZ|CLE|SDF|
SDF|DUS,|DUS|EWR|SDF|
SDF|EDI,|EDI|EWR|SDF|
SDF|ELQ,|ELQ|IST|YYZ|CLE|SDF|
SDF|FDH,|FDH|IST|YYZ|CLE|SDF|
SDF|GOA,|GOA|IST|YYZ|CLE|SDF|
SDF|GOT,|GOT|BRU|YUL|YYZ|CLE|SDF|
SDF|HAJ,|HAJ|BRU|YUL|YYZ|CLE|SDF|
SDF|HBE,|HBE|IST|YYZ|CLE|SDF|
SDF|HEL,|HEL|IST|YYZ|CLE|SDF|
SDF|HRG,|HRG|IST|YYZ|CLE|SDF|
SDF|IFN,|IFN|IST|YYZ|CLE|SDF|
SDF|ISE,|ISE|IST|YYZ|CLE|SDF|
SDF|ISU,|ISU|IST|YYZ|CLE|SDF|
SDF|JIB,|JIB|IST|YYZ|CLE|SDF|
SDF|JRO,|JRO|IST|YYZ|CLE|SDF|
SDF|KAN,|KAN|IST|YYZ|CLE|SDF|
SDF|KBL,|KBL|IST|YYZ|CLE|SDF|
SDF|KBP,|KBP|IST|YYZ|CLE|SDF|
SDF|KFS,|KFS|IST|YYZ|CLE|SDF|
SDF|KHI,|KHI|IST|YYZ|CLE|SDF|
SDF|KIV,|KIV|IST|YYZ|CLE|SDF|
SDF|KRT,|KRT|IST|YYZ|CLE|SDF|
SDF|KSH,|KSH|IST|YYZ|CLE|SDF|
SDF|KVD,|KVD|IST|YYZ|CLE|SDF|
SDF|KWI,|KWI|SAW|VIE|YYZ|CLE|SDF|
SDF|KYA,|KYA|IST|YYZ|CLE|SDF|
SDF|KZN,|KZN|IST|YYZ|CLE|SDF|
SDF|KZR,|KZR|IST|YYZ|CLE|SDF|
SDF|LED,|LED|VIE|YYZ|CLE|SDF|
SDF|LEJ,|LEJ|IST|YYZ|CLE|SDF|
SDF|LGW,|LGW|IST|YYZ|CLE|SDF|
SDF|LHE,|LHE|IST|YYZ|CLE|SDF|
SDF|LIS,|LIS|EWR|SDF|
SDF|LJU,|LJU|IST|YYZ|CLE|SDF|
SDF|LOS,|LOS|IAH|SDF|
SDF|LUX,|LUX|IST|YYZ|CLE|SDF|
SDF|LWO,|LWO|IST|YYZ|CLE|SDF|
SDF|LYS,|LYS|IST|YYZ|CLE|SDF|
SDF|MAD,|MAD|EWR|SDF|
SDF|MAN,|MAN|EWR|SDF|
SDF|MED,|MED|IST|YYZ|CLE|SDF|
SDF|MHD,|MHD|IST|YYZ|CLE|SDF|
SDF|MLA,|MLA|IST|YYZ|CLE|SDF|
SDF|MRS,|MRS|IST|YYZ|CLE|SDF|
SDF|MSQ,|MSQ|IST|YYZ|CLE|SDF|
SDF|MXP,|MXP|EWR|SDF|
SDF|MZH,|MZH|IST|YYZ|CLE|SDF|
SDF|MZR,|MZR|IST|YYZ|CLE|SDF|
SDF|NAJ,|NAJ|IST|YYZ|CLE|SDF|
SDF|NAV,|NAV|IST|YYZ|CLE|SDF|
SDF|NCE,|NCE|IST|YYZ|CLE|SDF|
SDF|NIM,|NIM|IST|YYZ|CLE|SDF|
SDF|NJF,|NJF|IST|YYZ|CLE|SDF|
SDF|NSI,|NSI|BRU|YUL|YYZ|CLE|SDF|
SDF|NUE,|NUE|IST|YYZ|CLE|SDF|
SDF|ODS,|ODS|IST|YYZ|CLE|SDF|
SDF|ORN,|ORN|IST|YYZ|CLE|SDF|
SDF|OTP,|OTP|IST|YYZ|CLE|SDF|
SDF|PRG,|PRG|BRU|YUL|YYZ|CLE|SDF|
SDF|PRN,|PRN|IST|YYZ|CLE|SDF|
