PIA|DOK,|DOK|IST|ORD|PIA|
PIA|DUS,|DUS|ORD|PIA|
PIA|EDI,|EDI|EWR|ORD|PIA|
PIA|ELQ,|ELQ|IST|ORD|PIA|
PIA|FDH,|FDH|IST|ORD|PIA|
PIA|GOA,|GOA|IST|ORD|PIA|
PIA|GOT,|GOT|BRU|ORD|PIA|
PIA|HAJ,|HAJ|BRU|ORD|PIA|
PIA|HBE,|HBE|IST|ORD|PIA|
PIA|HEL,|HEL|IST|ORD|PIA|
PIA|HRG,|HRG|IST|ORD|PIA|
PIA|IFN,|IFN|IST|ORD|PIA|
PIA|ISE,|ISE|IST|ORD|PIA|
PIA|ISU,|ISU|IST|ORD|PIA|
PIA|JIB,|JIB|IST|ORD|PIA|
PIA|JRO,|JRO|IST|ORD|PIA|
PIA|KAN,|KAN|IST|ORD|PIA|
PIA|KBL,|KBL|IST|ORD|PIA|
PIA|KBP,|KBP|IST|ORD|PIA|
PIA|KFS,|KFS|IST|ORD|PIA|
PIA|KHI,|KHI|IST|ORD|PIA|
PIA|KIV,|KIV|IST|ORD|PIA|
PIA|KRT,|KRT|IST|ORD|PIA|
PIA|KSH,|KSH|IST|ORD|PIA|
PIA|KVD,|KVD|IST|ORD|PIA|
PIA|KWI,|KWI|SAW|VIE|ORD|PIA|
PIA|KYA,|KYA|IST|ORD|PIA|
PIA|KZN,|KZN|IST|ORD|PIA|
PIA|KZR,|KZR|IST|ORD|PIA|
PIA|LED,|LED|VIE|ORD|PIA|
PIA|LEJ,|LEJ|IST|ORD|PIA|
PIA|LGW,|LGW|IST|ORD|PIA|
PIA|LHE,|LHE|IST|ORD|PIA|
PIA|LIS,|LIS|EWR|ORD|PIA|
PIA|LJU,|LJU|IST|ORD|PIA|
PIA|LOS,|LOS|FRA|ORD|PIA|
PIA|LUX,|LUX|IST|ORD|PIA|
PIA|LWO,|LWO|IST|ORD|PIA|
PIA|LYS,|LYS|IST|ORD|PIA|
PIA|MAD,|MAD|EWR|ORD|PIA|
PIA|MAN,|MAN|EWR|ORD|PIA|
PIA|MED,|MED|IST|ORD|PIA|
PIA|MHD,|MHD|IST|ORD|PIA|
PIA|MLA,|MLA|IST|ORD|PIA|
PIA|MRS,|MRS|IST|ORD|PIA|
PIA|MSQ,|MSQ|IST|ORD|PIA|
PIA|MXP,|MXP|EWR|ORD|PIA|
PIA|MZH,|MZH|IST|ORD|PIA|
PIA|MZR,|MZR|IST|ORD|PIA|
PIA|NAJ,|NAJ|IST|ORD|PIA|
PIA|NAV,|NAV|IST|ORD|PIA|
PIA|NCE,|NCE|IST|ORD|PIA|
PIA|NIM,|NIM|IST|ORD|PIA|
PIA|NJF,|NJF|IST|ORD|PIA|
PIA|NSI,|NSI|BRU|ORD|PIA|
PIA|NUE,|NUE|IST|ORD|PIA|
PIA|ODS,|ODS|IST|ORD|PIA|
PIA|ORN,|ORN|IST|ORD|PIA|
PIA|OTP,|OTP|IST|ORD|PIA|
PIA|PRG,|PRG|BRU|ORD|PIA|
PIA|PRN,|PRN|IST|ORD|PIA|
PIA|RIX,|RIX|IST|ORD|PIA|
PIA|ROV,|ROV|IST|ORD|PIA|
PIA|RTM,|RTM|IST|ORD|PIA|
PIA|RUH,|RUH|IST|ORD|PIA|
PIA|SAH,|SAH|IST|ORD|PIA|
PIA|SJJ,|SJJ|IST|ORD|PIA|
