ABE|TZX,|TZX|ESB|VIE|ORD|ABE|
ABE|VAN,|VAN|ESB|VIE|ORD|ABE|
ABE|ULN,|ULN|FRU|IST|ORD|ABE|
ABE|HIJ,|HIJ|ICN|YVR|ORD|ABE|
ABE|VVO,|VVO|ICN|YVR|ORD|ABE|
ABE|ACC,|ACC|IST|ORD|ABE|
ABE|AER,|AER|IST|ORD|ABE|
ABE|AGP,|AGP|IST|ORD|ABE|
ABE|ALG,|ALG|IST|ORD|ABE|
ABE|AMM,|AMM|IST|ORD|ABE|
ABE|AQJ,|AQJ|IST|ORD|ABE|
ABE|ARN,|ARN|EWR|ORD|ABE|
ABE|ASR,|ASR|SAW|VIE|ORD|ABE|
ABE|ATH,|ATH|IST|ORD|ABE|
ABE|BAH,|BAH|IST|ORD|ABE|
ABE|BEG,|BEG|IST|ORD|ABE|
ABE|BEN,|BEN|IST|ORD|ABE|
ABE|BEY,|BEY|IST|ORD|ABE|
ABE|BHX,|BHX|EWR|ORD|ABE|
ABE|BIO,|BIO|IST|ORD|ABE|
ABE|BLQ,|BLQ|IST|ORD|ABE|
ABE|BOM,|BOM|IST|ORD|ABE|
ABE|BRE,|BRE|IST|ORD|ABE|
ABE|BSL,|BSL|IST|ORD|ABE|
ABE|BSR,|BSR|IST|ORD|ABE|
ABE|BUD,|BUD|IST|ORD|ABE|
ABE|BUS,|BUS|IST|ORD|ABE|
ABE|CAI,|CAI|IST|ORD|ABE|
ABE|CGN,|CGN|IST|ORD|ABE|
ABE|CMN,|CMN|IST|ORD|ABE|
ABE|CND,|CND|IST|ORD|ABE|
ABE|DAR,|DAR|NBO|ZRH|ORD|ABE|
ABE|DLM,|DLM|IST|ORD|ABE|
ABE|DMM,|DMM|IST|ORD|ABE|
ABE|DNK,|DNK|IST|ORD|ABE|
ABE|DNZ,|DNZ|IST|ORD|ABE|
ABE|DOK,|DOK|IST|ORD|ABE|
ABE|DUS,|DUS|ORD|ABE|
ABE|EDI,|EDI|EWR|ORD|ABE|
ABE|ELQ,|ELQ|IST|ORD|ABE|
ABE|FDH,|FDH|IST|ORD|ABE|
ABE|GOA,|GOA|IST|ORD|ABE|
ABE|GOT,|GOT|BRU|ORD|ABE|
ABE|HAJ,|HAJ|BRU|ORD|ABE|
ABE|HBE,|HBE|IST|ORD|ABE|
ABE|HEL,|HEL|IST|ORD|ABE|
ABE|HRG,|HRG|IST|ORD|ABE|
ABE|IFN,|IFN|IST|ORD|ABE|
ABE|ISE,|ISE|IST|ORD|ABE|
ABE|ISU,|ISU|IST|ORD|ABE|
ABE|JIB,|JIB|IST|ORD|ABE|
ABE|JRO,|JRO|IST|ORD|ABE|
ABE|KAN,|KAN|IST|ORD|ABE|
ABE|KBL,|KBL|IST|ORD|ABE|
ABE|KBP,|KBP|IST|ORD|ABE|
ABE|KFS,|KFS|IST|ORD|ABE|
ABE|KHI,|KHI|IST|ORD|ABE|
ABE|KIV,|KIV|IST|ORD|ABE|
ABE|KRT,|KRT|IST|ORD|ABE|
ABE|KSH,|KSH|IST|ORD|ABE|
ABE|KVD,|KVD|IST|ORD|ABE|
ABE|KWI,|KWI|SAW|VIE|ORD|ABE|
ABE|KYA,|KYA|IST|ORD|ABE|
ABE|KZN,|KZN|IST|ORD|ABE|
ABE|KZR,|KZR|IST|ORD|ABE|
ABE|LED,|LED|VIE|ORD|ABE|
ABE|LEJ,|LEJ|IST|ORD|ABE|
ABE|LGW,|LGW|IST|ORD|ABE|
ABE|LHE,|LHE|IST|ORD|ABE|
ABE|LIS,|LIS|EWR|ORD|ABE|
ABE|LJU,|LJU|IST|ORD|ABE|
ABE|LOS,|LOS|FRA|ORD|ABE|
ABE|LUX,|LUX|IST|ORD|ABE|
ABE|LWO,|LWO|IST|ORD|ABE|
ABE|LYS,|LYS|IST|ORD|ABE|
ABE|MAD,|MAD|EWR|ORD|ABE|
ABE|MAN,|MAN|EWR|ORD|ABE|
ABE|MED,|MED|IST|ORD|ABE|
ABE|MHD,|MHD|IST|ORD|ABE|
ABE|MLA,|MLA|IST|ORD|ABE|
ABE|MRS,|MRS|IST|ORD|ABE|
ABE|MSQ,|MSQ|IST|ORD|ABE|
ABE|MXP,|MXP|EWR|ORD|ABE|
ABE|MZH,|MZH|IST|ORD|ABE|
ABE|MZR,|MZR|IST|ORD|ABE|
ABE|NAJ,|NAJ|IST|ORD|ABE|
ABE|NAV,|NAV|IST|ORD|ABE|
ABE|NCE,|NCE|IST|ORD|ABE|
ABE|NIM,|NIM|IST|ORD|ABE|
ABE|NJF,|NJF|IST|ORD|ABE|
ABE|NSI,|NSI|BRU|ORD|ABE|
ABE|NUE,|NUE|IST|ORD|ABE|
ABE|ODS,|ODS|IST|ORD|ABE|
ABE|ORN,|ORN|IST|ORD|ABE|
ABE|OTP,|OTP|IST|ORD|ABE|
ABE|PRG,|PRG|BRU|ORD|ABE|
ABE|PRN,|PRN|IST|ORD|ABE|
ABE|RIX,|RIX|IST|ORD|ABE|
ABE|ROV,|ROV|IST|ORD|ABE|
ABE|RTM,|RTM|IST|ORD|ABE|
ABE|RUH,|RUH|IST|ORD|ABE|
ABE|SAH,|SAH|IST|ORD|ABE|
ABE|SJJ,|SJJ|IST|ORD|ABE|
ABE|SKG,|SKG|IST|ORD|ABE|
ABE|SKP,|SKP|IST|ORD|ABE|
ABE|SSH,|SSH|IST|ORD|ABE|
ABE|STR,|STR|EWR|ORD|ABE|
ABE|SVX,|SVX|IST|ORD|ABE|
ABE|SYZ,|SYZ|IST|ORD|ABE|
ABE|SZG,|SZG|IST|ORD|ABE|
ABE|TBZ,|TBZ|IST|ORD|ABE|
ABE|TGD,|TGD|IST|ORD|ABE|
ABE|TIA,|TIA|IST|ORD|ABE|
ABE|TIF,|TIF|IST|ORD|ABE|
ABE|TIP,|TIP|IST|ORD|ABE|
ABE|TLL,|TLL|VNO|CPH|YYZ|ORD|ABE|
ABE|TLS,|TLS|IST|ORD|ABE|
ABE|TRN,|TRN|IST|ORD|ABE|
ABE|TUN,|TUN|IST|ORD|ABE|
ABE|TXL,|TXL|EWR|ORD|ABE|
ABE|UFA,|UFA|IST|ORD|ABE|
ABE|VAS,|VAS|SAW|VIE|ORD|ABE|
ABE|VCE,|VCE|IST|ORD|ABE|
ABE|YNB,|YNB|IST|ORD|ABE|
ABE|ZAG,|ZAG|IST|ORD|ABE|
ABE|MGQ,|MGQ|JIB|IST|ORD|ABE|
